mx,mc,hx,hc,loocv_rmse,design,hc_min
0.2,0.3,0.281405,0.615497,0.00417415,Llama 3,0.601986
0.2,0.45,0.281405,0.923246,0.00462223,Llama 3,0.601986
0.2,0.6,0.281405,1.23099,0.00508076,Llama 3,0.601986
0.2,0.8,0.281405,1.64133,0.00917285,Llama 3,0.601986
0.2,1,0.281405,2.05166,0.0106949,Llama 3,0.601986
0.2,1.3,0.281405,2.66716,0.0100465,Llama 3,0.601986
0.2,1.6,0.281405,3.28265,0.00927801,Llama 3,0.601986
0.2,2,0.281405,4.10332,0.00848582,Llama 3,0.601986
0.2,3,0.281405,6.15497,0.00749424,Llama 3,0.601986
0.3,0.3,0.422107,0.615497,0.00357135,Llama 3,0.601986
0.3,0.45,0.422107,0.923246,0.00378396,Llama 3,0.601986
0.3,0.6,0.422107,1.23099,0.00380626,Llama 3,0.601986
0.3,0.8,0.422107,1.64133,0.00360074,Llama 3,0.601986
0.3,1,0.422107,2.05166,0.0042757,Llama 3,0.601986
0.3,1.3,0.422107,2.66716,0.00556321,Llama 3,0.601986
0.3,1.6,0.422107,3.28265,0.00590925,Llama 3,0.601986
0.3,2,0.422107,4.10332,0.00585441,Llama 3,0.601986
0.3,3,0.422107,6.15497,0.00552989,Llama 3,0.601986
0.45,0.3,0.633161,0.615497,0.00282717,Llama 3,0.601986
0.45,0.45,0.633161,0.923246,0.00271871,Llama 3,0.601986
0.45,0.6,0.633161,1.23099,0.00267542,Llama 3,0.601986
0.45,0.8,0.633161,1.64133,0.00271629,Llama 3,0.601986
0.45,1,0.633161,2.05166,0.00276319,Llama 3,0.601986
0.45,1.3,0.633161,2.66716,0.00268917,Llama 3,0.601986
0.45,1.6,0.633161,3.28265,0.0028156,Llama 3,0.601986
0.45,2,0.633161,4.10332,0.00298959,Llama 3,0.601986
0.45,3,0.633161,6.15497,0.00312825,Llama 3,0.601986
0.6,0.3,0.844214,0.615497,0.00242573,Llama 3,0.601986
0.6,0.45,0.844214,0.923246,0.0024636,Llama 3,0.601986
0.6,0.6,0.844214,1.23099,0.00240387,Llama 3,0.601986
0.6,0.8,0.844214,1.64133,0.00242132,Llama 3,0.601986
0.6,1,0.844214,2.05166,0.00242908,Llama 3,0.601986
0.6,1.3,0.844214,2.66716,0.00251488,Llama 3,0.601986
0.6,1.6,0.844214,3.28265,0.00266165,Llama 3,0.601986
0.6,2,0.844214,4.10332,0.00280072,Llama 3,0.601986
0.6,3,0.844214,6.15497,0.0029289,Llama 3,0.601986
0.8,0.3,1.12562,0.615497,0.00224821,Llama 3,0.601986
0.8,0.45,1.12562,0.923246,0.00225536,Llama 3,0.601986
0.8,0.6,1.12562,1.23099,0.00230147,Llama 3,0.601986
0.8,0.8,1.12562,1.64133,0.00240357,Llama 3,0.601986
0.8,1,1.12562,2.05166,0.00247393,Llama 3,0.601986
0.8,1.3,1.12562,2.66716,0.00260621,Llama 3,0.601986
0.8,1.6,1.12562,3.28265,0.0027316,Llama 3,0.601986
0.8,2,1.12562,4.10332,0.0028386,Llama 3,0.601986
0.8,3,1.12562,6.15497,0.00294757,Llama 3,0.601986
1,0.3,1.40702,0.615497,0.00216778,Llama 3,0.601986
1,0.45,1.40702,0.923246,0.00219471,Llama 3,0.601986
1,0.6,1.40702,1.23099,0.00228319,Llama 3,0.601986
1,0.8,1.40702,1.64133,0.00241203,Llama 3,0.601986
1,1,1.40702,2.05166,0.0025098,Llama 3,0.601986
1,1.3,1.40702,2.66716,0.00266563,Llama 3,0.601986
1,1.6,1.40702,3.28265,0.00279387,Llama 3,0.601986
1,2,1.40702,4.10332,0.0029024,Llama 3,0.601986
1,3,1.40702,6.15497,0.00301996,Llama 3,0.601986
1.3,0.3,1.82913,0.615497,0.00212861,Llama 3,0.601986
1.3,0.45,1.82913,0.923246,0.0021853,Llama 3,0.601986
1.3,0.6,1.82913,1.23099,0.00230571,Llama 3,0.601986
1.3,0.8,1.82913,1.64133,0.00243899,Llama 3,0.601986
1.3,1,1.82913,2.05166,0.00255216,Llama 3,0.601986
1.3,1.3,1.82913,2.66716,0.00273043,Llama 3,0.601986
1.3,1.6,1.82913,3.28265,0.00287271,Llama 3,0.601986
1.3,2,1.82913,4.10332,0.0029958,Llama 3,0.601986
1.3,3,1.82913,6.15497,0.00313671,Llama 3,0.601986
1.6,0.3,2.25124,0.615497,0.00213003,Llama 3,0.601986
1.6,0.45,2.25124,0.923246,0.00220389,Llama 3,0.601986
1.6,0.6,2.25124,1.23099,0.00233846,Llama 3,0.601986
1.6,0.8,2.25124,1.64133,0.00246965,Llama 3,0.601986
1.6,1,2.25124,2.05166,0.00258914,Llama 3,0.601986
1.6,1.3,2.25124,2.66716,0.00278129,Llama 3,0.601986
1.6,1.6,2.25124,3.28265,0.00293535,Llama 3,0.601986
1.6,2,2.25124,4.10332,0.00307109,Llama 3,0.601986
1.6,3,2.25124,6.15497,0.00323077,Llama 3,0.601986
2,0.3,2.81405,0.615497,0.00214875,Llama 3,0.601986
2,0.45,2.81405,0.923246,0.00223362,Llama 3,0.601986
2,0.6,2.81405,1.23099,0.00237278,Llama 3,0.601986
2,0.8,2.81405,1.64133,0.00250244,Llama 3,0.601986
