C_b,cc,u,M,N,D,lnw_local,neff,lnw_chin_full,lnw_chin_M100,lnw_kappa_full,lnw_kappa_M100,design
3e+21,49.4529,2.46587,11.7737,6.5167e+09,7.67259e+10,-0.492182,12.6458,-0.033128,-0.139675,-0.0486287,-0.141494,Llama 3
3e+21,49.4529,2.58486,13.2615,6.1403e+09,8.14293e+10,-0.394142,12.6282,0.0025199,-0.104879,0.00416795,-0.0855647,Llama 3
3e+21,49.4529,2.70385,14.9372,5.78563e+09,8.64209e+10,-0.300609,12.6113,0.0381678,-0.0700827,0.0569646,-0.0296349,Llama 3
3e+21,49.4529,2.82284,16.8246,5.45146e+09,9.17186e+10,-0.210942,12.5956,0.0738156,-0.0352863,0.109761,0.026295,Llama 3
3e+21,49.4529,2.94183,18.9505,5.13658e+09,9.7341e+10,-0.124613,12.5814,0.109463,-0.000489994,0.162558,0.0822248,Llama 3
3e+21,49.4529,3.06082,21.3451,4.83989e+09,1.03308e+11,-0.0411747,12.5689,0.145111,0.0343063,0.215355,0.138155,Llama 3
3e+21,49.4529,3.17981,24.0422,4.56034e+09,1.09641e+11,0.0397571,12.5585,0.180759,0.0691027,0.268151,0.194084,Llama 3
3e+21,49.4529,3.2988,27.0802,4.29694e+09,1.16362e+11,0.118516,12.5505,0.216407,0.103899,0.320948,0.250014,Llama 3
3e+21,49.4529,3.41779,30.502,4.04875e+09,1.23495e+11,0.195395,12.5451,0.252055,0.138695,0.373744,0.305944,Llama 3
3e+21,49.4529,3.53678,34.3562,3.81489e+09,1.31065e+11,0.270659,12.5427,0.287703,0.173492,0.426541,0.361874,Llama 3
3e+21,49.4529,3.65577,38.6974,3.59455e+09,1.391e+11,0.344545,12.5435,0.323351,0.208288,0.479338,0.417804,Llama 3
3e+21,49.4529,3.77476,43.5872,3.38693e+09,1.47627e+11,0.417274,12.5476,0.358999,0.243084,0.532134,0.473733,Llama 3
1e+22,50.6569,1.78102,5.93589,1.67564e+10,9.94643e+10,,6.14875,-0.218954,-0.34111,-0.33915,-0.479494,Llama 3
1e+22,50.6569,2.14135,8.51093,1.39938e+10,1.191e+11,,6.50626,-0.111003,-0.235737,-0.179267,-0.310123,Llama 3
1e+22,50.6569,2.50169,12.2031,1.16866e+10,1.42613e+11,-1.57002,6.8493,-0.00305091,-0.130364,-0.0193838,-0.140752,Llama 3
1e+22,50.6569,2.86202,17.4969,9.75987e+09,1.70767e+11,-0.792096,7.15402,0.104901,-0.0249908,0.140499,0.028619,Llama 3
1e+22,50.6569,3.22236,25.0872,8.15076e+09,2.0448e+11,-0.309044,7.39019,0.212853,0.0803823,0.300382,0.19799,Llama 3
1e+22,50.6569,3.58269,35.9703,6.80695e+09,2.44848e+11,0.0615215,7.52287,0.320804,0.185755,0.460265,0.367361,Llama 3
1e+22,50.6569,3.94303,51.5746,5.68469e+09,2.93185e+11,0.37711,7.51577,0.428756,0.291128,0.620148,0.536732,Llama 3
1e+22,50.6569,4.30336,73.9481,4.74745e+09,3.51065e+11,0.664864,7.33639,0.536708,0.396501,0.780031,0.706103,Llama 3
1e+22,50.6569,4.6637,106.028,3.96474e+09,4.20372e+11,0.941434,6.96418,0.644659,0.501874,0.939914,0.875475,Llama 3
1e+22,50.6569,5.02403,152.023,3.31108e+09,5.03361e+11,1.21989,6.40264,0.752611,0.607247,1.0998,1.04485,Llama 3
1e+22,50.6569,5.38437,217.973,2.76518e+09,6.02734e+11,1.5136,5.69138,0.860563,0.712621,1.25968,1.21422,Llama 3
1e+22,50.6569,5.74471,312.532,2.30928e+09,7.21724e+11,1.84026,4.90544,0.968514,0.817994,1.41956,1.38359,Llama 3
1e+22,50.6569,6.10504,448.111,1.92855e+09,8.64206e+11,2.22999,4.13311,1.07647,0.923367,1.57945,1.55296,Llama 3
1e+22,50.6569,6.46538,642.506,1.61059e+09,1.03482e+12,2.75036,3.44458,1.18442,1.02874,1.73933,1.72233,Llama 3
