uid,unit,unit_type,reading,bound,unit_kind,id_class,own_cap,syn_protocol,syn_fixlist,R_CO,R_INF,R_DEV,deployment_rationale,model,gen,dev,date,year,N,D,M,Cmp,tier,serve_model,emb_share,w_ref,s_ref,W_unit,s_unit,unit_year,C_unit,codes_file
B:stabilityai/stablelm-2-1_6b,B:stabilityai/stablelm-2-1_6b,model,,point (member),singleton,point,0,0,0,0,1,1,1,stablelm-2-1_6b,StableLM-2,Stability AI,2024-01-18 00:00:00,2024,1644515328.0,2000000000000.0,1216.1637936402378,1.9734183936e+22,0,0,0.2499470725517008,5.537133264337139,0.819401131910501,5.537133264337139,0.819401131910501,2024,1.9734183936e+22,readings_final.csv
B:stabilityai/stablelm-base-alpha-7b,StableLM-alpha,family,choice,point (family share),common-budget,point,0,0,0,0,0,0,0,stablelm-base-alpha-7b,StableLM-alpha,Stability AI,2023-04-11 05:55:14,2023,7869358080.0,800000000000.0,101.6601343930711,3.7772918784e+22,1,0,0.0787495510688465,1.9206086121113135,0.4793317109514021,2.1065461753521495,0.5252893045020336,2023,5.52378433536e+22,readings_final.csv
B:HuggingFaceTB/SmolLM-135M,SmolLM#1,family,cap or choice,lower bound,common-budget,lower bound,0,1,1,0,1,1,1,SmolLM-135M,SmolLM,Hugging Face,2024-07-14 21:45:18,2024,134515008.0,600000000000.0,4460.468827389134,4.842540288e+20,0,0,0.2104713252516774,9.54032853240347,0.8951818067267258,6.911367626988243,0.8553108365853535,2024,1.7868100608e+21,readings_final.csv
B:HuggingFaceTB/SmolLM-360M,SmolLM#1,family,cap or choice,lower bound,common-budget,lower bound,0,1,1,0,1,1,1,SmolLM-360M,SmolLM,Hugging Face,2024-07-14 21:48:37,2024,361821120.0,600000000000.0,1658.277991069178,1.302556032e+21,0,0,0.1304122877072515,6.269117719213783,0.8404879211415716,6.911367626988243,0.8553108365853535,2024,1.7868100608e+21,readings_final.csv
B:HuggingFaceTB/SmolLM-1.7B,B:HuggingFaceTB/SmolLM-1.7B,model,,lower bound,size-specific member,lower bound,1,1,1,0,1,1,1,SmolLM-1.7B,SmolLM,Hugging Face,2024-07-16 00:00:00,2024,1711376384.0,1000000000000.0,584.3249967389991,1.0268258304e+22,0,0,0.0588200801069368,4.039604719344119,0.752451026900879,4.039604719344119,0.752451026900879,2024,1.0268258304e+22,readings_final.csv
B:cerebras/btlm-3b-8k-base,B:cerebras/btlm-3b-8k-base,model,,point (member),singleton,point,0,0,0,0,1,1,1,btlm-3b-8k-base,BTLM,Cerebras,2023-09-20 00:00:00,2023,3000000000.0,627000000000.0,209.0,1.1286e+22,1,0,0.0428859733333333,2.6038064478688514,0.6159468762286558,2.6038064478688514,0.6159468762286558,2023,1.1286e+22,readings_final.csv
B:h2oai/h2o-danube-1.8b-base,B:h2oai/h2o-danube-1.8b-base,model,,point (member),singleton,point,0,0,0,0,0,0,0,h2o-danube-1.8b-base,H2O-Danube1,H2O.ai,2024-01-23 11:25:25,2024,1831201280.0,1000000000000.0,546.0896139172642,1.098720768e+22,0,0,0.0894713223442045,3.9252446146294586,0.7452388072139551,3.9252446146294586,0.7452388072139551,2024,1.098720768e+22,readings_final.csv
B:h2oai/h2o-danube3-500m-base,B:h2oai/h2o-danube3-500m-base,model,,point (member),size-specific member,point,0,1,0,0,1,1,1,h2o-danube3-500m-base,H2O-Danube3,H2O.ai,2024-07-04 13:16:04,2024,513590784.0,4000000000000.0,7788.301746473706,1.2326178816e+22,0,0,0.1914053037213378,12.228305415430633,0.9182225201262866,12.228305415430633,0.9182225201262866,2024,1.2326178816e+22,readings_final.csv
B:h2oai/h2o-danube3-4b-base,B:h2oai/h2o-danube3-4b-base,model,,point (member),size-specific member,point,0,1,0,0,1,1,1,h2o-danube3-4b-base,H2O-Danube3,H2O.ai,2024-07-04 13:24:14,2024,3961839360.0,6000000000000.0,1514.4480769659474,1.4262621696e+23,0,0,0.0620317932325251,6.11861536258296,0.8365643302052815,6.11861536258296,0.8365643302052815,2024,1.4262621696e+23,readings_final.csv
B:allenai/OLMo-1B-hf,B:allenai/OLMo-1B-hf,model,,lower bound,size-specific member,lower bound,1,0,0,0,0,0,0,OLMo-1B-hf,OLMo-1,AI2,2024-02-01 00:00:00,2024,1176764416.0,3000000000000.0,2549.3632873412785,2.1181759488e+22,0,0,0.0875473379371797,7.599357530431011,0.8684099286030982,7.599357530431011,0.8684099286030982,2024,2.1181759488e+22,readings_final.csv
B:allenai/OLMo-7B-hf,B:allenai/OLMo-7B-hf,model,,lower bound,size-specific member,lower bound,1,0,0,0,0,0,0,OLMo-7B-hf,OLMo-1,AI2,2024-02-01 00:00:00,2024,6888095744.0,2500000000000.0,362.94501309417336,1.0332143616e+23,1,0,0.059826457603897,3.3191740354760872,0.6987202269866623,3.3191740354760872,0.6987202269866623,2024,1.0332143616e+23,readings_final.csv
B:allenai/OLMo-7B-0424-hf,B:allenai/OLMo-7B-0424-hf,model,,point (member),singleton,point,0,0,0,0,0,0,0,OLMo-7B-0424-hf,OLMo-1.7,AI2,2024-04-17 00:00:00,2024,6888095744.0,2050000000000.0,297.6149107372222,8.47235776512e+22,1,0,0.059826457603897,3.047365754006383,0.6718477266191969,3.047365754006383,0.6718477266191969,2024,8.47235776512e+22,readings_final.csv
B:TinyLlama/TinyLlama_v1.1,B:TinyLlama/TinyLlama_v1.1,model,,lower bound,singleton,lower bound,1,0,0,0,1,1,1,TinyLlama_v1.1,TinyLlama,TinyLlama,2024-03-09 09:39:41,2024,1100000000.0,2000000000000.0,1818.1818181818185,1.32e+22,0,0,0.1191563636363636,6.567457328636474,0.8477340696772188,6.567457328636474,0.8477340696772188,2024,1.32e+22,readings_final.csv
B:Qwen/Qwen2.5-0.5B,Qwen2.5,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,1,0,1,1,1,Qwen2.5-0.5B,Qwen2.5,Alibaba,2024-09-15 12:15:39,2024,494032768.0,18000000000000.0,36434.83016899802,5.3355538944e+22,0,1,0.2755579484152759,23.75456335588343,0.957902825447965,3.5278519291198953,0.7165413911661895,2024,1.4361776921088e+25,readings_final.csv
B:Qwen/Qwen2.5-1.5B,Qwen2.5,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,1,0,1,1,1,Qwen2.5-1.5B,Qwen2.5,Alibaba,2024-09-19 00:00:00,2024,1543714304.0,18000000000000.0,11660.188645890788,1.66721144832e+23,0,1,0.1511767400193759,14.647700988645516,0.9317299007690578,3.5278519291198953,0.7165413911661895,2024,1.4361776921088e+25,readings_final.csv
B:Qwen/Qwen2.5-3B,Qwen2.5,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,1,0,1,1,1,Qwen2.5-3B,Qwen2.5,Alibaba,2024-09-19 00:00:00,2024,3085938688.0,18000000000000.0,5832.9091468974775,3.33281378304e+23,1,1,0.1008331530402719,10.917259405209094,0.9084019200347244,3.5278519291198953,0.7165413911661895,2024,1.4361776921088e+25,readings_final.csv
B:Qwen/Qwen2.5-7B,Qwen2.5,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,1,0,1,1,1,Qwen2.5-7B,Qwen2.5,Alibaba,2024-09-19 00:00:00,2024,7615616512.0,18000000000000.0,2363.564390569986,8.22486583296e+23,1,1,0.1431262656519646,7.440978376597239,0.8656090705564851,3.5278519291198953,0.7165413911661895,2024,1.4361776921088e+25,readings_final.csv
B:Qwen/Qwen2.5-14B,Qwen2.5,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,1,0,1,1,1,Qwen2.5-14B,Qwen2.5,Alibaba,2024-09-19 00:00:00,2024,14770033664.0,18000000000000.0,1218.6837491015756,1.595163635712e+24,1,1,0.1054253087990795,5.6176148296012,0.821988507519126,3.5278519291198953,0.7165413911661895,2024,1.4361776921088e+25,readings_final.csv
B:Qwen/Qwen2.5-32B,Qwen2.5,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,1,0,1,1,1,Qwen2.5-32B,Qwen2.5,Alibaba,2024-09-17 00:00:00,2024,32763876352.0,18000000000000.0,549.3855429869253,3.538498646016e+24,1,1,0.0475259808476522,4.006064001046801,0.7503784263709476,3.5278519291198953,0.7165413911661895,2024,1.4361776921088e+25,readings_final.csv
B:Qwen/Qwen2.5-72B,Qwen2.5,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,1,0,1,1,1,Qwen2.5-72B,Qwen2.5,Alibaba,2024-09-19 00:00:00,2024,72706203648.0,18000000000000.0,247.57172148810363,7.852269993984e+24,1,1,0.0342669050369064,2.856372829713397,0.6499056462106391,3.5278519291198953,0.7165413911661895,2024,1.4361776921088e+25,readings_final.csv
B:Qwen/Qwen3-0.6B-Base,Qwen3,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,1,0,0,1,1,Qwen3-0.6B-Base,Qwen3,Alibaba,2025-04-29 00:00:00,2025,596049920.0,36000000000000.0,60397.62575590984,1.2874678272e+23,0,1,0.2610225398570643,29.563227837013635,0.96617419432299,9.12634690657012,0.89042713253864,2025,6.328397279232e+24,readings_final.csv
B:Qwen/Qwen3-1.7B-Base,Qwen3,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,1,0,0,1,1,Qwen3-1.7B-Base,Qwen3,Alibaba,2025-04-29 00:00:00,2025,1720574976.0,36000000000000.0,20923.23816291514,3.71644194816e+23,0,1,0.1808493860136205,18.85301394765291,0.9469580830536384,9.12634690657012,0.89042713253864,2025,6.328397279232e+24,readings_final.csv
B:Qwen/Qwen3-4B-Base,Qwen3,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,1,0,0,1,1,Qwen3-4B-Base,Qwen3,Alibaba,2025-04-29 00:00:00,2025,4022468096.0,36000000000000.0,8949.729156534248,8.68853108736e+23,0,1,0.0966958968268222,13.148285196780728,0.923944454730504,9.12634690657012,0.89042713253864,2025,6.328397279232e+24,readings_final.csv
B:Qwen/Qwen3-8B-Base,Qwen3,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,1,0,0,1,1,Qwen3-8B-Base,Qwen3,Alibaba,2025-04-29 00:00:00,2025,8190735360.0,36000000000000.0,4395.209760506778,1.76919883776e+24,1,1,0.1519594587414432,9.723311454394326,0.8971543794837444,9.12634690657012,0.89042713253864,2025,6.328397279232e+24,readings_final.csv
B:Qwen/Qwen3-14B-Base,Qwen3,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,1,0,0,1,1,Qwen3-14B-Base,Qwen3,Alibaba,2025-04-29 00:00:00,2025,14768307200.0,36000000000000.0,2437.6524345322396,3.1899543552e+24,1,1,0.1053488811500346,7.571378670676145,0.8679236578309063,9.12634690657012,0.89042713253864,2025,6.328397279232e+24,readings_final.csv
B:allenai/OLMo-2-0425-1B,OLMo-2#1,family,choice,point (family share),common-budget,point,0,1,1,0,0,0,0,OLMo-2-0425-1B,OLMo-2,AI2,2025-04-17 22:45:45,2025,1484916736.0,4050000000000.0,2727.4256541209866,3.60834766848e+22,0,0,0.2768113403497931,7.834719517998362,0.8723630121406716,4.347239149835123,0.7699689468342392,2024,2.13439878144e+23,readings_final.csv
B:allenai/OLMo-2-1124-7B,OLMo-2#1,family,choice,point (family share),common-budget,point,0,1,1,0,0,0,0,OLMo-2-1124-7B,OLMo-2,AI2,2024-12-31 00:00:00,2024,7298617344.0,4050000000000.0,554.8996212727055,1.773564014592e+23,1,0,0.1126355233126193,3.986234596660721,0.7491366913433287,4.347239149835123,0.7699689468342392,2024,2.13439878144e+23,readings_final.csv
B:allenai/OLMo-2-1124-13B,B:allenai/OLMo-2-1124-13B,model,,lower bound,size-specific member,lower bound,1,1,1,0,0,0,0,OLMo-2-1124-13B,OLMo-2,AI2,2024-12-31 00:00:00,2024,13716198400.0,5150000000000.0,375.46846799766325,4.2383053056e+23,1,0,0.0749190446239097,3.3823441819031577,0.704347060435072,3.3823441819031577,0.704347060435072,2024,4.2383053056e+23,readings_final.csv
B:allenai/OLMo-2-0325-32B,B:allenai/OLMo-2-0325-32B,model,,lower bound,size-specific member,lower bound,1,1,1,0,0,0,0,OLMo-2-0325-32B,OLMo-2,AI2,2025-03-13 00:00:00,2025,32234279936.0,6150000000000.0,190.79067415839916,1.1894449296384e+24,1,0,0.0318792441475432,2.540531887552256,0.6063816380736409,2.540531887552256,0.6063816380736409,2025,1.1894449296384e+24,readings_final.csv
B:allenai/Olmo-3-1025-7B,Olmo-3,family,choice,point (family share),common-budget,point,0,1,0,0,0,1,1,Olmo-3-1025-7B,Olmo-3,AI2,2025-09-12 19:24:57,2025,7298011136.0,6030000000000.0,826.2525073790187,2.6404204290048e+23,1,0,0.1125618145398237,4.731512601723413,0.788651096557207,2.6960441531478128,0.6290861932537593,2025,1.34708838801408e+24,readings_final.csv
B:allenai/Olmo-3-1125-32B,Olmo-3,family,choice,point (family share),common-budget,point,0,1,0,0,0,1,1,Olmo-3-1125-32B,Olmo-3,AI2,2025-11-20 00:00:00,2025,32233522176.0,5600000000000.0,173.73217762002974,1.0830463451136e+24,1,0,0.0318564851334973,2.4401251592773328,0.5901849558011361,2.6960441531478128,0.6290861932537593,2025,1.34708838801408e+24,readings_final.csv
B:HuggingFaceTB/SmolLM2-135M,B:HuggingFaceTB/SmolLM2-135M,model,,point (member),size-specific member,point,0,1,1,0,1,1,1,SmolLM2-135M,SmolLM2,Hugging Face,2024-10-31 00:46:04,2024,134515008.0,2000000000000.0,14868.229424630446,1.614180096e+21,0,0,0.2104713252516774,16.020520283377447,0.9375800546853912,16.020520283377447,0.9375800546853913,2024,1.614180096e+21,readings_final.csv
