uid,tech,N_used,M_tech,w,w_lo,w_hi,sd_lnw,TD,TD_lo,TD_hi,T,CE,CE_lo,CE_hi,M_extrap,C_extrap,N_extrap
A:Baichuan 1-13B,chin,13264901120.0,105.5416838267393,1.8535860652843115,1.4913014495020056,2.4917550866325957,0.13098376466333675,2.5607581958529346,1.4739043485060168,4.475265259897787,3585061474194.1084,0.7703344730991559,0.599336853820081,0.8917254433893774,False,True,False
A:InternLM,chin,104000000000.0,15.384615384615385,0.9521290970106736,0.7431791451522376,1.3231057527093417,0.15461894632884784,-0.14361270896797917,-0.7704625645432872,0.9693172581280252,-229780334348.7667,0.9983168353179852,0.9279166100668406,0.9999898953018889,False,True,True
A:CodeGen2.5,chin,7000000000.0,199.71428571428572,2.3131311755819506,1.8783829158800576,3.0988342082587996,0.12527572093149383,3.9393935267458517,2.635148747640173,6.296502624776399,5507272150390.701,0.62199761588173,0.46503880088797156,0.7550655290398121,False,True,False
A:LongNet,chin,2700000000.0,111.11111111111111,1.8301287186162705,1.5757712071397427,2.231361146381025,0.08739637687130564,2.490386155848811,1.7273136214192282,3.6940834391430744,747115846754.6434,0.7784456197950713,0.669257285763812,0.8625787368665488,False,False,False
A:Polyglot-Ko-12.8B,chin,12898631680.0,12.947109751101909,0.857402826306187,0.7372265863413151,1.0367497447457126,0.09261799003172808,-0.4277915210814389,-0.7883202409760547,0.11024923423713773,-71441184020.6003,0.9835655100155185,0.9364577126789805,0.9999267666916979,False,False,False
A:Baichuan1-7B,chin,7000559616.0,171.41486764248992,2.1869313608504086,1.7854185815630803,2.9036802439537146,0.12230980433750943,3.560794082551226,2.356255744689241,5.711040731861144,4272952899061.471,0.6602843495096534,0.5044454985957635,0.7887985562658101,False,True,False
A:WeLM,chin,10000000000.0,26.2,1.1050736727658348,0.9401104888314764,1.3552753882973372,0.09744912401300031,0.3152210182975044,-0.17966853350557077,1.0658261648920115,82587906793.94615,0.9930478793305064,0.93972193156898,0.9999716390833145,False,True,False
A:PaLM 2,chin,340000000000.0,10.588235294117647,0.8498361469718512,0.6367721207435666,1.2568766113695675,0.18191507604514542,-0.4504915590844465,-1.0896836377693002,0.7706298341087026,-1621769612704.0073,0.9816357537584863,0.8671805666897994,0.9998841763546567,False,True,True
A:StarCoder,chin,15500000000.0,13.14516129032258,0.8653473274883853,0.7379263473790123,1.0608300435834959,0.09802847027538152,-0.40395801753484417,-0.7862209578629631,0.1824901307504876,-82306446072.7245,0.9854625444674411,0.9367988081114408,0.999938758665529,False,True,False
A:ruGPT-3.5 13B,chin,13000000000.0,69.23076923076923,1.5870855996738873,1.294305735266337,2.0943799308356335,0.12249343119410405,1.7612567990216619,0.8829172057990109,3.2831397925069004,1585131119119.4956,0.8629719611923677,0.7153709684420787,0.953237143413514,False,True,False
A:Incoder-6.7B,chin,6700000000.0,7.7611940298507465,0.7013468213347263,0.6274881198628602,0.8051637261485384,0.06654766567762245,-0.8959595359958212,-1.1175356404114192,-0.5845088215543849,-46589895871.78271,0.9158530664019356,0.859556218152539,0.9675799581103481,False,False,False
