uid,w_eq3,Mstar_eq3_ownC
B:deepseek-ai/deepseek-llm-7b-base,2.0531612428331982,74.64753162923544
B:deepseek-ai/deepseek-moe-16b-base,,
B:stabilityai/stablelm-base-alpha-3b,3.0267310088170243,52.93002352604766
B:stabilityai/stablelm-base-alpha-7b-v2,1.6280052082647811,62.98963619338293
B:stabilityai/stablelm-2-1_6b,4.914557116426642,46.992254466159416
B:stabilityai/stablelm-base-alpha-7b,1.8260694969759057,68.92047016046597
B:RWKV/rwkv-4-169m-pile,8.009617220337976,25.17032213224765
B:RWKV/rwkv-4-430m-pile,4.665391010992993,27.01930211465255
B:RWKV/rwkv-4-1b5-pile,2.4928696002384023,32.40053300795544
B:RWKV/rwkv-4-7b-pile,1.0480388608647275,45.52891160303562
B:RWKV/rwkv-4-14b-pile,0.6496523936746275,54.98259552046907
B:RWKV/rwkv-4-3b-pile,1.7134737520708583,37.30958091981033
B:togethercomputer/RedPajama-INCITE-Base-7B-v0.1,1.5593750003753175,61.53959778830955
B:togethercomputer/RedPajama-INCITE-Base-3B-v1,2.3580869339036403,45.628929040227185
B:LLM360/Amber,1.7052385674257515,65.606773418759
B:Salesforce/codegen-6B-nl,1.1950291049180308,44.65409795728966
B:Salesforce/codegen-16B-nl,0.6086009781726025,58.48780777187376
B:HuggingFaceTB/SmolLM-135M,9.867667713708808,25.926218921997204
B:HuggingFaceTB/SmolLM-360M,6.057111407315641,28.728755725345707
B:HuggingFaceTB/SmolLM-1.7B,3.3588887871593243,42.35864835627004
B:cerebras/Cerebras-GPT-111M,,
B:cerebras/Cerebras-GPT-256M,,
B:cerebras/Cerebras-GPT-590M,,
B:cerebras/Cerebras-GPT-1.3B,,
B:cerebras/Cerebras-GPT-2.7B,,
B:cerebras/Cerebras-GPT-6.7B,,
B:cerebras/btlm-3b-8k-base,,
B:h2oai/h2o-danube-1.8b-base,3.300483486820743,42.703449877670614
B:h2oai/h2o-danube2-1.8b-base,4.832060902717482,56.822397123216106
B:h2oai/h2o-danube3-500m-base,11.067041260037733,42.6659545074752
B:h2oai/h2o-danube3-4b-base,3.917635652058019,90.91298330475755
B:allenai/OLMo-1B-hf,6.084217032257821,50.355450058276524
B:allenai/OLMo-7B-hf,2.1461817831078784,81.60029909282066
B:allenai/OLMo-7B-0424-hf,2.0099152364755644,76.46271037394926
B:TinyLlama/TinyLlama_v1.1,5.558945460819899,44.26443295153738
B:EleutherAI/pythia-70m,14.311380704772459,26.933285227886746
B:EleutherAI/pythia-160m,7.906840760476695,25.12376116306729
B:EleutherAI/pythia-410m,4.640540146366092,26.604572129494738
B:EleutherAI/pythia-1b,3.001197098274895,29.681010590291
B:EleutherAI/pythia-1.4b,2.4838590101099607,31.53760246143679
B:EleutherAI/pythia-2.8b,1.7290076106431675,35.96838570229396
B:EleutherAI/pythia-6.9b,1.0251861950026273,44.235092899351
B:EleutherAI/pythia-12b,0.7101714354842964,51.07217634357358
B:meta-llama/Llama-3.2-1B,9.361768964395218,67.0576437007068
B:meta-llama/Llama-3.2-3B,5.202093509331072,95.06804812905875
B:meta-llama/Llama-4-Scout-17B-16E,,
B:meta-llama/Llama-4-Maverick-17B-128E,,
B:Qwen/Qwen2.5-0.5B,21.024232227866744,61.13759877677234
B:Qwen/Qwen2.5-1.5B,9.986162607572714,92.69297224279997
B:Qwen/Qwen2.5-3B,6.5157492263764265,121.4104953823992
B:Qwen/Qwen2.5-7B,3.9557678756413805,169.19817710889407
B:Qwen/Qwen2.5-14B,2.549602883057793,226.60568922986616
B:Qwen/Qwen2.5-32B,1.3829574056718035,330.3635865644094
B:Qwen/Qwen2.5-72B,0.6462723008249351,481.0050624776294
