uid,band_lo,band_hi,pt_min,pt_max,band_lo_nohoff,band_hi_nohoff,band_lo_core,band_hi_core,n_tech,techs_used
A:GLM-4-9B-0414,2.7855097460515283,11.71467934807806,2.8091939942467,6.145155496697279,2.7855097460515283,11.71467934807806,2.849550294682841,7.801289326668188,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:GLM-4-32B-0414,1.5163474106542185,8.854040573990215,1.8268963908811866,4.633487046498537,1.5163474106542185,8.854040573990215,1.5163474106542185,5.026177937268886,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Pangu Ultra,0.7024580715099779,6.7861344667482975,0.9796955401721602,3.240877816766751,0.7024580715099779,6.7861344667482975,0.7024580715099779,2.95324908337969,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Hunyuan-TurboS,1.169453065402108,7.998855545960832,1.5390785839056291,4.168048569047403,1.169453065402108,7.998855545960832,1.169453065402108,4.23925277592969,5,"chin,besi,hoff,farseer_emb,gadre_rw"
"A:Ling-lite-1.5 (""Bailing"")",3.3776859201510536,12.539419205687276,3.6310684165311984,6.900164276231474,3.3776859201510536,12.539419205687276,4.234881423110305,9.514906662839115,5,"chin,besi,hoff,farseer_emb,gadre_rw"
"A:Ling-Plus (""Bailing"")",1.361358512087295,7.557328004951636,1.6369301574558959,4.0907903976214826,1.361358512087295,7.557328004951636,1.361358512087295,4.173548779816372,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:YandexGPT 5 Lite,2.8960531406489114,12.109772036583747,2.941334990608027,6.347098903661454,2.8960531406489114,12.109772036583747,3.0370131039912898,8.204637794972756,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Step-1,0.3004100520597491,2.467854341279677,0.41452546567052323,1.4504979020456863,0.3004100520597491,2.467854341279677,0.3004100520597491,0.9194959399626755,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Mistral Small 3,1.4443360442913311,7.520913061447273,1.6838952616600822,4.117269936505371,1.4443360442913311,7.520913061447273,1.4443360442913311,4.228139527558882,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:MiniMax-Text-01,1.010515432883197,6.3821959384541165,1.3114736103036708,3.456759759836413,1.010515432883197,6.3821959384541165,1.010515432883197,3.249268601045032,5,"chin,besi,hoff,farseer_emb,gadre_rw"
