model,hf,family,lab,org,country,date,date_src,open_weights,arch,moe,N_total,N_active,N,N_src,N_rep,N_gap,N_emb,tied,N_nonemb,D,D_src,D_card_verified,D_obs,epoch_model,epoch_D,epoch_DC,D_vs_epoch,confidence,M,C6,code,distilled,synthetic,continued,mm,base_released,dl30,dl_all,dl30_instruct,dlall_instruct,n_instruct_found,dl30_total,dlall_total,likes,hf_found,in_A,sample,note
gpt-neo-2.7B,EleutherAI/gpt-neo-2.7B,GPT-Neo/J,EleutherAI,EleutherAI,United States of America,2021-03-21 00:00:00,Epoch publication date,True,dense,False,2651307520.0,2651307520.0,2651307520.0,HF safetensors (float tensors),2700000000.0,-0.018034251851851812,128657920.0,True,2522649600.0,420000000000.0,ObsScaling,,420000000000.0,GPT-Neo-2.7B,420000000000.0,496610316507.78357,0.0,Confident,158.41240475944488,6.6812949504e+21,False,False,False,False,False,True,18926.0,10475257.0,0.0,0.0,0,18926.0,10475257.0,504.0,True,True,B,
gpt-neo-1.3B,EleutherAI/gpt-neo-1.3B,GPT-Neo/J,EleutherAI,,,2021-03-21 00:00:00,release date (paper/Epoch sibling),True,dense,False,1315575808.0,1315575808.0,1315575808.0,HF safetensors (float tensors),1300000000.0,0.01198139076923077,102926336.0,True,1212649472.0,380000000000.0,ObsScaling,,380000000000.0,,,,,,288.84690467035404,2.99951284224e+21,False,False,False,False,False,True,47152.0,11555451.0,0.0,0.0,0,47152.0,11555451.0,326.0,True,False,B,
gpt-neo-125m,EleutherAI/gpt-neo-125m,GPT-Neo/J,EleutherAI,,,2021-03-21 00:00:00,release date (paper/Epoch sibling),True,dense,False,125198592.0,125198592.0,125198592.0,HF safetensors (float tensors),125000000.0,0.0015887359999999795,38597376.0,True,86601216.0,300000000000.0,ObsScaling,,300000000000.0,,,,,,2396.1930817880125,2.253574656e+20,False,False,False,False,False,True,541247.0,10733917.0,0.0,0.0,0,541247.0,10733917.0,229.0,True,False,B,
gpt-j-6b,EleutherAI/gpt-j-6b,GPT-Neo/J,EleutherAI,"EleutherAI,LAION","United States of America,Germany",2021-05-01 00:00:00,Epoch publication date,True,dense,False,6050000000.0,6050000000.0,6050000000.0,reported,6050000000.0,,412876800.0,False,5637123200.0,402000000000.0,ObsScaling,,402000000000.0,GPT-J-6B,400000000000.0,413223140495.8678,0.0021660617565076304,Confident,66.44628099173553,1.45926e+22,False,False,False,False,False,True,343962.0,9198560.0,0.0,0.0,0,343962.0,9198560.0,1525.0,True,True,B,
opt-6.7b,facebook/opt-6.7b,OPT,Meta,Meta AI,United States of America,2022-06-21 00:00:00,Epoch publication date,True,dense,False,6700000000.0,6700000000.0,6700000000.0,reported,6700000000.0,,205914112.0,True,6494085888.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,180000000000.0,OPT-6.7B,300600000000.0,300000000000.02484,-0.0008677215312269355,Confident,44.776119402985074,1.206e+22,False,False,False,False,False,True,58736.0,4572313.0,0.0,0.0,0,58736.0,4572313.0,121.0,True,True,B,
opt-1.3b,facebook/opt-1.3b,OPT,Meta,Meta AI,United States of America,2022-06-21 00:00:00,Epoch publication date,True,dense,False,1300000000.0,1300000000.0,1300000000.0,reported,1300000000.0,,102957056.0,True,1197042944.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,180000000000.0,OPT-1.3B,300600000000.0,,-0.0008677215312269355,Confident,230.76923076923077,2.34e+21,False,False,False,False,False,True,92513.0,30725240.0,0.0,0.0,0,92513.0,30725240.0,186.0,True,True,B,
opt-350m,facebook/opt-350m,OPT,Meta,Meta AI,United States of America,2022-06-21 00:00:00,Epoch publication date,True,dense,False,350000000.0,350000000.0,350000000.0,reported,350000000.0,,51478528.0,True,298521472.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,180000000000.0,OPT-350M,300600000000.0,,-0.0008677215312269355,Confident,857.1428571428571,6.3e+20,False,False,False,False,False,True,293640.0,9540511.0,0.0,0.0,0,293640.0,9540511.0,150.0,True,True,B,
opt-13b,facebook/opt-13b,OPT,Meta,,,2022-05-02 00:00:00,release date (paper/Epoch sibling),True,dense,False,13000000000.0,13000000000.0,13000000000.0,reported,13000000000.0,,257392640.0,True,12742607360.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,180000000000.0,,,,,,23.076923076923077,2.34e+22,False,False,False,False,False,True,10462.0,1546750.0,0.0,0.0,0,10462.0,1546750.0,66.0,True,False,B,
opt-2.7b,facebook/opt-2.7b,OPT,Meta,Meta AI,United States of America,2022-06-21 00:00:00,Epoch publication date,True,dense,False,2700000000.0,2700000000.0,2700000000.0,reported,2700000000.0,,128696320.0,True,2571303680.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,180000000000.0,OPT-2.7B,300600000000.0,,-0.0008677215312269355,Confident,111.11111111111111,4.86e+21,False,False,False,False,False,True,45573.0,4839813.0,0.0,0.0,0,45573.0,4839813.0,89.0,True,True,B,
opt-30b,facebook/opt-30b,OPT,Meta,Meta AI,United States of America,2022-06-21 00:00:00,Epoch publication date,True,dense,False,30000000000.0,30000000000.0,30000000000.0,reported,30000000000.0,,360349696.0,True,29639650304.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,180000000000.0,OPT-30B,300600000000.0,300000000000.00555,-0.0008677215312269355,Confident,10.0,5.4e+22,False,False,False,False,False,True,3405.0,1119136.0,0.0,0.0,0,3405.0,1119136.0,137.0,True,True,B,
opt-125m,facebook/opt-125m,OPT,Meta,,,2022-05-02 00:00:00,release date (paper/Epoch sibling),True,dense,False,125000000.0,125000000.0,125000000.0,reported,125000000.0,,38608896.0,True,86391104.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,180000000000.0,,,,,,2400.0,2.25e+20,False,False,False,False,False,True,6819255.0,214498698.0,0.0,0.0,0,6819255.0,214498698.0,324.0,True,False,B,
opt-66b,facebook/opt-66b,OPT,Meta,Meta AI,United States of America,2022-06-21 00:00:00,Epoch publication date,True,dense,False,66000000000.0,66000000000.0,66000000000.0,reported,66000000000.0,,463306752.0,True,65536693248.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,180000000000.0,OPT-66B,300600000000.0,277777777778.0303,-0.0008677215312269355,Confident,4.545454545454546,1.188e+23,False,False,False,False,False,True,7428.0,1624343.0,0.0,0.0,0,7428.0,1624343.0,174.0,True,True,B,
mpt-30b,mosaicml/mpt-30b,MPT,MosaicML,MosaicML,United States of America,2023-06-22 00:00:00,Epoch publication date,True,dense,False,30000000000.0,30000000000.0,30000000000.0,reported,30000000000.0,,,,,1000000000000.0,ObsScaling,,1000000000000.0,MPT-30B,1050000000000.0,1050000000000.0555,-0.021189299069938095,Confident,33.333333333333336,1.8e+23,False,False,False,False,False,True,,,0.0,0.0,0,0.0,0.0,,,True,B,
mpt-7b,mosaicml/mpt-7b,MPT,MosaicML,MosaicML,United States of America,2023-05-05 00:00:00,Epoch publication date,True,dense,False,7000000000.0,7000000000.0,7000000000.0,reported,7000000000.0,,,,,1000000000000.0,ObsScaling,,1000000000000.0,MPT-7B,,999999999999.9999,,Confident,142.85714285714286,4.2e+22,False,False,False,False,False,True,,,0.0,0.0,0,0.0,0.0,,,False,B,
xglm-564M,facebook/xglm-564M,XGLM,Meta,,,2021-12-20 00:00:00,release date (paper/Epoch sibling),True,dense,False,564000000.0,564000000.0,564000000.0,reported,564000000.0,,262152192.0,True,301847808.0,500000000000.0,ObsScaling,,500000000000.0,,,,,,886.5248226950355,1.692e+21,False,False,False,False,False,True,111660.0,1685794.0,0.0,0.0,0,111660.0,1685794.0,54.0,True,False,B,
xglm-1.7B,facebook/xglm-1.7B,XGLM,Meta,,,2021-12-20 00:00:00,release date (paper/Epoch sibling),True,dense,False,1700000000.0,1700000000.0,1700000000.0,reported,1700000000.0,,524304384.0,True,1175695616.0,500000000000.0,ObsScaling,,500000000000.0,,,,,,294.11764705882354,5.1e+21,False,False,False,False,False,True,1967.0,160188.0,0.0,0.0,0,1967.0,160188.0,20.0,True,False,B,
xglm-4.5B,facebook/xglm-4.5B,XGLM,Meta,,,2021-12-20 00:00:00,release date (paper/Epoch sibling),True,dense,False,5076815872.0,5076815872.0,5076815872.0,HF safetensors (float tensors),4500000000.0,0.1281813048888889,524304384.0,True,4552511488.0,500000000000.0,ObsScaling,,500000000000.0,,,,,,98.48692814676104,1.5230447616e+22,False,False,False,False,False,True,433.0,194754.0,0.0,0.0,0,433.0,194754.0,21.0,True,False,B,
xglm-7.5B,facebook/xglm-7.5B,XGLM,Meta,"Meta AI,Facebook AI Research","United States of America,United States of America,France",2021-12-20 00:00:00,Epoch publication date,True,dense,False,7500000000.0,7500000000.0,7500000000.0,reported,7500000000.0,,1048608768.0,True,6451391232.0,500000000000.0,ObsScaling,,500000000000.0,XGLM-7.5B,500000000000.0,500000000000.0,0.0,Confident,66.66666666666667,2.25e+22,False,False,False,False,False,True,612.0,174958.0,0.0,0.0,0,612.0,174958.0,60.0,True,True,B,
CodeLlama-7b-hf,codellama/CodeLlama-7b-hf,CodeLlama,Meta,,,2023-08-24 16:31:11,HF upload date,True,dense,False,6738546688.0,6738546688.0,6738546688.0,HF safetensors (float tensors),7000000000.0,-0.03735047314285711,262275072.0,False,6476271616.0,2520000000000.0,ObsScaling,,2520000000000.0,,,,,,373.96787715185155,1.0188682592256e+23,True,False,False,True,False,True,325535.0,4193503.0,0.0,0.0,0,325535.0,4193503.0,379.0,True,False,B,
CodeLlama-13b-hf,codellama/CodeLlama-13b-hf,CodeLlama,Meta,,,2023-08-24 16:31:44,HF upload date,True,dense,False,13016028160.0,13016028160.0,13016028160.0,HF safetensors (float tensors),13000000000.0,0.0012329353846154412,327843840.0,False,12688184320.0,2520000000000.0,ObsScaling,,2520000000000.0,,,,,,193.6074483723305,1.968023457792e+23,True,False,False,True,False,True,2157.0,450890.0,0.0,0.0,0,2157.0,450890.0,118.0,True,False,B,
CodeLlama-34b-hf,codellama/CodeLlama-34b-hf,CodeLlama,Meta,,,2023-08-24 16:34:39,HF upload date,True,dense,False,33743970304.0,33743970304.0,33743970304.0,HF safetensors (float tensors),34000000000.0,-0.007530285176470586,524288000.0,False,33219682304.0,2520000000000.0,ObsScaling,,2520000000000.0,,,,,,74.6800088222363,5.1020883099648e+23,True,False,False,True,False,True,1810.0,1723994.0,0.0,0.0,0,1810.0,1723994.0,176.0,True,False,B,
CodeLlama-70b-hf,codellama/CodeLlama-70b-hf,CodeLlama,Meta,,,2024-01-29 10:59:03,HF upload date,True,dense,False,68976910336.0,68976910336.0,68976910336.0,HF safetensors (float tensors),70000000000.0,-0.014615566628571441,524550144.0,False,68452360192.0,3020000000000.0,ObsScaling,,3020000000000.0,,,,,,43.78276709248052,1.24986161528832e+24,True,False,False,True,False,True,285.0,65449.0,0.0,0.0,0,285.0,65449.0,324.0,True,False,B,
starcoderbase-1b,bigcode/starcoderbase-1b,StarCoder,BigCode,,,2023-07-03 13:08:44,HF upload date,True,dense,False,1137207296.0,1137207296.0,1137207296.0,HF safetensors (float tensors),1000000000.0,0.13720729599999992,,,,1000000000000.0,ObsScaling,,1000000000000.0,,,,,,879.3471546633482,6.823243776e+21,True,False,False,False,False,True,3252.0,725108.0,0.0,0.0,0,3252.0,725108.0,114.0,True,False,B,
starcoderbase-3b,bigcode/starcoderbase-3b,StarCoder,BigCode,,,2023-06-30 16:48:35,HF upload date,True,dense,False,3000000000.0,3000000000.0,3000000000.0,reported,3000000000.0,,,,,1000000000000.0,ObsScaling,,1000000000000.0,,,,,,333.3333333333333,1.8e+22,True,False,False,False,False,True,479.0,103844.0,0.0,0.0,0,479.0,103844.0,29.0,True,False,B,
starcoderbase-7b,bigcode/starcoderbase-7b,StarCoder,BigCode,,,2023-07-26 12:10:50,HF upload date,True,dense,False,7528589824.0,7528589824.0,7528589824.0,HF safetensors (float tensors),7000000000.0,0.07551283200000003,,,,1000000000000.0,ObsScaling,,1000000000000.0,,,,,,132.82699992661998,4.5171538944e+22,True,False,False,False,False,True,508.0,84061.0,0.0,0.0,0,508.0,84061.0,35.0,True,False,B,
starcoderbase,bigcode/starcoderbase,StarCoder,BigCode,,,2023-05-03 15:16:10,HF upload date,True,dense,False,15500000000.0,15500000000.0,15500000000.0,reported,15500000000.0,,,,,1000000000000.0,ObsScaling,,1000000000000.0,,,,,,64.51612903225806,9.3e+22,True,False,False,False,False,True,5612.0,242420.0,0.0,0.0,0,5612.0,242420.0,418.0,True,False,B,
starcoder2-15b,bigcode/starcoder2-15b,StarCoder2,BigCode,,,2024-02-20 17:58:19,HF upload date,True,dense,False,15957889024.0,15957889024.0,15957889024.0,HF safetensors (float tensors),15000000000.0,0.06385926826666677,603979776.0,False,15353909248.0,4300000000000.0,ObsScaling,,4300000000000.0,,,,,,269.4591993673461,4.117135368192e+23,True,False,False,False,False,True,4891.0,572202.0,0.0,0.0,0,4891.0,572202.0,681.0,True,False,B,
starcoder2-7b,bigcode/starcoder2-7b,StarCoder2,BigCode,,,2024-02-20 18:00:27,HF upload date,True,dense,False,7173923840.0,7173923840.0,7173923840.0,HF safetensors (float tensors),7000000000.0,0.024846262857142865,226492416.0,True,6947431424.0,3700000000000.0,ObsScaling,,3700000000000.0,,,,,,515.7567995592215,1.59261109248e+23,True,False,False,False,False,True,26433.0,892406.0,0.0,0.0,0,26433.0,892406.0,223.0,True,False,B,
starcoder2-3b,bigcode/starcoder2-3b,StarCoder2,BigCode,,,2023-11-29 15:22:51,HF upload date,True,dense,False,3030371328.0,3030371328.0,3030371328.0,HF safetensors (float tensors),3000000000.0,0.010123775999999918,150994944.0,True,2879376384.0,3300000000000.0,ObsScaling,,3300000000000.0,,,,,,1088.9754564098093,6.00013522944e+22,True,False,False,False,False,True,58726.0,7539247.0,0.0,0.0,0,58726.0,7539247.0,223.0,True,False,B,
deepseek-coder-1.3b-base,deepseek-ai/deepseek-coder-1.3b-base,DeepSeek-Coder,DeepSeek,,,2023-10-28 07:42:03,HF upload date,True,dense,False,1300000000.0,1300000000.0,1300000000.0,reported,1300000000.0,,132120576.0,False,1167879424.0,2000000000000.0,ObsScaling,,2000000000000.0,,,,,,1538.4615384615386,1.56e+22,True,False,False,False,False,True,33266.0,1458253.0,0.0,0.0,0,33266.0,1458253.0,116.0,True,False,B,
deepseek-coder-6.7b-base,deepseek-ai/deepseek-coder-6.7b-base,DeepSeek-Coder,DeepSeek,,,2023-10-23 16:15:39,HF upload date,True,dense,False,6740512768.0,6740512768.0,6740512768.0,HF safetensors (float tensors),6700000000.0,0.006046681791044728,264241152.0,False,6476271616.0,2000000000000.0,ObsScaling,,2000000000000.0,,,,,,296.713331587298,8.0886153216e+22,True,False,False,False,False,True,89071.0,2109869.0,0.0,0.0,0,89071.0,2109869.0,128.0,True,False,B,
deepseek-coder-33b-base,deepseek-ai/deepseek-coder-33b-base,DeepSeek-Coder,DeepSeek,,,2023-10-28 08:14:27,HF upload date,True,dense,False,33342991360.0,33342991360.0,33342991360.0,HF safetensors (float tensors),33000000000.0,0.010393677575757598,462422016.0,False,32880569344.0,2000000000000.0,ObsScaling,,2000000000000.0,,,,,,59.98262058752488,4.0011589632e+23,True,False,False,False,False,True,1927.0,119753.0,0.0,0.0,0,1927.0,119753.0,78.0,True,False,B,
open_llama_3b_v2,openlm-research/open_llama_3b_v2,OpenLlamaV2,OpenLM Research,,,2023-07-16 00:39:43,HF upload date,True,dense,False,3000000000.0,3000000000.0,3000000000.0,reported,3000000000.0,,204800000.0,False,2795200000.0,1000000000000.0,ObsScaling,,1000000000000.0,,,,,,333.3333333333333,1.8e+22,False,False,False,False,False,True,16105.0,2280058.0,0.0,0.0,0,16105.0,2280058.0,160.0,True,False,B,
open_llama_7b_v2,openlm-research/open_llama_7b_v2,OpenLlamaV2,OpenLM Research,,,2023-07-06 08:23:04,HF upload date,True,dense,False,7000000000.0,7000000000.0,7000000000.0,reported,7000000000.0,,262144000.0,False,6737856000.0,1000000000000.0,ObsScaling; fix: ObsScaling lists 13B; a 7B model,,1000000000000.0,,,,,,142.85714285714286,4.2e+22,False,False,False,False,False,True,589.0,601354.0,0.0,0.0,0,589.0,601354.0,122.0,True,False,B,
open_llama_7b,openlm-research/open_llama_7b,OpenLlama,OpenLM Research,,,2023-06-07 08:54:38,HF upload date,True,dense,False,7000000000.0,7000000000.0,7000000000.0,reported,7000000000.0,,262144000.0,False,6737856000.0,1000000000000.0,ObsScaling,,1000000000000.0,,,,,,142.85714285714286,4.2e+22,False,False,False,False,False,True,97255.0,1493882.0,0.0,0.0,0,97255.0,1493882.0,139.0,True,False,B,
open_llama_3b,openlm-research/open_llama_3b,OpenLlama,OpenLM Research,,,2023-06-07 09:06:48,HF upload date,True,dense,False,3000000000.0,3000000000.0,3000000000.0,reported,3000000000.0,,204800000.0,False,2795200000.0,1000000000000.0,ObsScaling,,1000000000000.0,,,,,,333.3333333333333,1.8e+22,False,False,False,False,False,True,8282.0,1546966.0,0.0,0.0,0,8282.0,1546966.0,166.0,True,False,B,
open_llama_13b,openlm-research/open_llama_13b,OpenLlama,OpenLM Research,OpenLM Research,United States of America,2023-05-01 00:00:00,Epoch publication date,True,dense,False,13000000000.0,13000000000.0,13000000000.0,reported,13000000000.0,,327680000.0,False,12672320000.0,1000000000000.0,ObsScaling; fix: ObsScaling 0.6T; final OpenLLaMA-13B trained on 1T (Epoch 1e12),,600000000000.0,OpenLLaMA-13B,1000000000000.0,1000000000000.0,0.0,Confident,76.92307692307692,7.8e+22,False,False,False,False,False,True,528.0,494234.0,0.0,0.0,0,528.0,494234.0,454.0,True,True,B,
deepseek-llm-67b-base,deepseek-ai/deepseek-llm-67b-base,DeepSeek-LLM,DeepSeek,DeepSeek,China,2024-01-05 00:00:00,Epoch publication date,True,dense,False,67000000000.0,67000000000.0,67000000000.0,reported,67000000000.0,,1677721600.0,False,65322278400.0,2000000000000.0,ObsScaling,,2000000000000.0,DeepSeek LLM 67B,2000000000000.0,2000000000000.0,0.0,Confident,29.850746268656717,8.04e+23,False,False,False,False,False,True,9420.0,272046.0,1831.0,151305.0,1,11251.0,423351.0,132.0,True,True,B,
deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-base,DeepSeek-LLM,DeepSeek,DeepSeek,China,2024-01-05 00:00:00,Epoch publication date,True,dense,False,7000000000.0,7000000000.0,7000000000.0,reported,7000000000.0,,838860800.0,False,6161139200.0,2000000000000.0,ObsScaling,,2000000000000.0,DeepSeek LLM 7B,2000000000000.0,1999999999999.9998,0.0,Confident,285.7142857142857,8.4e+22,False,False,False,False,False,True,23796.0,856830.0,23696.0,2142014.0,1,47492.0,2998844.0,146.0,True,True,B,
deepseek-moe-16b-base,deepseek-ai/deepseek-moe-16b-base,DeepSeek-MoE,DeepSeek,DeepSeek,China,2024-01-11 00:00:00,Epoch publication date,True,moe,True,16375728128.0,2800000000.0,2800000000.0,HF safetensors (float tensors),16399999999.999998,-0.0014799921951218487,419430400.0,False,,2000000000000.0,ObsScaling,,2000000000000.0,DeepSeekMoE-16B,2000000000000.0,2023809523809.524,0.0,Likely,714.2857142857143,3.36e+22,False,False,False,False,False,True,13288.0,759253.0,22428.0,420191.0,1,35716.0,1179444.0,157.0,True,True,B,
stablelm-base-alpha-3b,stabilityai/stablelm-base-alpha-3b,StableLM-alpha,Stability AI,,,2023-04-17 22:14:52,HF upload date,True,dense,False,3000000000.0,3000000000.0,3000000000.0,reported,3000000000.0,,415236096.0,False,2584763904.0,1500000000000.0,ObsScaling,,1500000000000.0,,,,,,500.0,2.7e+22,False,False,False,False,False,True,2202.0,135861.0,0.0,0.0,0,2202.0,135861.0,82.0,True,False,B,
stablelm-base-alpha-7b-v2,stabilityai/stablelm-base-alpha-7b-v2,StableLM-alpha-v2,Stability AI,Stability AI,United Kingdom,2023-08-05 00:00:00,Epoch publication date,True,dense,False,6889414656.0,6889414656.0,6889414656.0,HF safetensors (float tensors),7000000000.0,-0.015797906285714314,413138944.0,False,6476275712.0,1100000000000.0,ObsScaling,,1100000000000.0,StableLM-Base-Alpha-7B,1100000000000.0,1088626592314.0858,0.0,Confident,159.66523353939925,4.54701367296e+22,False,False,False,False,False,True,586.0,91253.0,0.0,0.0,0,586.0,91253.0,44.0,True,True,B,
stablelm-2-1_6b,stabilityai/stablelm-2-1_6b,StableLM-2,Stability AI,Stability AI,United Kingdom,2024-01-18 00:00:00,Epoch publication date,True,dense,False,1644515328.0,1644515328.0,1644515328.0,HF safetensors (float tensors),1600000000.0,0.02782207999999997,411041792.0,False,1233473536.0,2000000000000.0,ObsScaling,,2000000000000.0,StableLM-2-1.6B,2000000000000.0,1945862069824.3806,0.0,Confident,1216.1637936402378,1.9734183936e+22,False,False,False,False,False,True,9830.0,365807.0,12967.0,630180.0,2,22797.0,995987.0,196.0,True,True,B,
stablelm-base-alpha-7b,stabilityai/stablelm-base-alpha-7b,StableLM-alpha,Stability AI,,,2023-04-11 05:55:14,HF upload date,True,dense,False,7000000000.0,7000000000.0,7000000000.0,reported,7000000000.0,,619708416.0,False,6380291584.0,1500000000000.0,ObsScaling,,1500000000000.0,,,,,,214.28571428571428,6.3e+22,False,False,False,False,False,True,729.0,113478.0,0.0,0.0,0,729.0,113478.0,208.0,True,False,B,
rwkv-4-169m-pile,RWKV/rwkv-4-169m-pile,RWKV,RWKV,,,2023-05-04 13:36:31,HF upload date,True,ssm/hybrid,False,169000000.0,169000000.0,169000000.0,reported,169000000.0,,77225472.0,False,91774528.0,330000000000.0,"ObsScaling; fix: Pile, 330B tokens (Sloth; Epoch RWKV-4 14B)",,,,,,,,1952.6627218934912,3.3462e+20,False,False,False,False,False,True,9669.0,200577.0,0.0,0.0,0,9669.0,200577.0,9.0,True,False,B,
rwkv-4-430m-pile,RWKV/rwkv-4-430m-pile,RWKV,RWKV,,,2023-05-04 13:38:41,HF upload date,True,ssm/hybrid,False,430000000.0,430000000.0,430000000.0,reported,430000000.0,,102967296.0,False,327032704.0,330000000000.0,"ObsScaling; fix: Pile, 330B tokens",,,,,,,,767.4418604651163,8.514e+20,False,False,False,False,False,True,520.0,77349.0,0.0,0.0,0,520.0,77349.0,7.0,True,False,B,
rwkv-4-1b5-pile,RWKV/rwkv-4-1b5-pile,RWKV,RWKV,,,2023-05-04 13:42:33,HF upload date,True,ssm/hybrid,False,1500000000.0,1500000000.0,1500000000.0,reported,1500000000.0,,205934592.0,False,1294065408.0,330000000000.0,"ObsScaling; fix: Pile, 330B tokens",,,,,,,,220.0,2.97e+21,False,False,False,False,False,True,308.0,61334.0,0.0,0.0,0,308.0,61334.0,6.0,True,False,B,
rwkv-4-7b-pile,RWKV/rwkv-4-7b-pile,RWKV,RWKV,,,2023-05-05 11:18:03,HF upload date,True,ssm/hybrid,False,7000000000.0,7000000000.0,7000000000.0,reported,7000000000.0,,411869184.0,False,6588130816.0,330000000000.0,"ObsScaling; fix: Pile, 330B tokens",,,,,,,,47.142857142857146,1.386e+22,False,False,False,False,False,True,287.0,57878.0,0.0,0.0,0,287.0,57878.0,0.0,True,False,B,
rwkv-4-14b-pile,RWKV/rwkv-4-14b-pile,RWKV,RWKV,RWKV Foundation,Multinational,2023-05-22 00:00:00,Epoch publication date,True,ssm/hybrid,False,14000000000.0,14000000000.0,14000000000.0,reported,14000000000.0,,514836480.0,False,13485163520.0,330000000000.0,"ObsScaling; fix: Pile, 330B tokens",,,RWKV-4 14B,330000000000.0,330952380952.381,0.0,Confident,23.571428571428573,2.772e+22,False,False,False,False,False,True,258.0,55057.0,0.0,0.0,0,258.0,55057.0,3.0,True,True,B,
rwkv-4-3b-pile,RWKV/rwkv-4-3b-pile,RWKV,RWKV,,,2023-05-04 13:49:10,HF upload date,True,ssm/hybrid,False,3000000000.0,3000000000.0,3000000000.0,reported,3000000000.0,,257418240.0,False,2742581760.0,330000000000.0,"ObsScaling; fix: Pile, 330B tokens",,,,,,,,110.0,5.94e+21,False,False,False,False,False,True,339.0,62866.0,0.0,0.0,0,339.0,62866.0,2.0,True,False,B,
RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,RedPajama-INCITE-Base,Together,Together,United States of America,2023-06-06 00:00:00,Epoch publication date,True,dense,False,7000000000.0,7000000000.0,7000000000.0,reported,7000000000.0,,413138944.0,False,6586861056.0,1000000000000.0,ObsScaling,,1000000000000.0,RedPajama-INCITE-7B-Base,1001000000000.0,976190476190.4762,-0.00043407747931862597,Confident,142.85714285714286,4.2e+22,False,False,False,False,False,True,988.0,132227.0,1652.0,246792.0,2,2640.0,379019.0,92.0,True,True,B,
RedPajama-INCITE-Base-3B-v1,togethercomputer/RedPajama-INCITE-Base-3B-v1,RedPajama-INCITE-Base,Together,,,2023-05-04 05:51:02,HF upload date,True,dense,False,3000000000.0,3000000000.0,3000000000.0,reported,3000000000.0,,258211840.0,False,2741788160.0,800000000000.0,ObsScaling,,800000000000.0,,,,,,266.6666666666667,1.44e+22,False,False,False,False,False,True,4030.0,266752.0,2349.0,415013.0,2,6379.0,681765.0,90.0,True,False,B,
Amber,LLM360/Amber,Amber,LLM360,"Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Petuum,University of Southern California,Carnegie Mellon University (CMU),University of Illinois Urbana-Champaign (UIUC),University of California San Diego,LLM360","United Arab Emirates,United States of America,United States of America,United States of America,United States of America,United States of America",2023-12-11 00:00:00,Epoch publication date,True,dense,False,6738415616.0,6738415616.0,6738415616.0,HF safetensors (float tensors),7000000000.0,-0.03736919771428571,262144000.0,False,6476271616.0,1259000000000.0,ObsScaling,,1259000000000.0,Amber,,1184701561157.0137,,Confident,186.83917284807623,5.0901991563264e+22,False,False,False,False,False,True,2831.0,258635.0,269.0,35016.0,1,3100.0,293651.0,74.0,True,True,B,
codegen-6B-nl,Salesforce/codegen-6B-nl,Codegen-NL,Salesforce,,,2022-03-25 00:00:00,release date (paper/Epoch sibling),True,dense,False,6000000000.0,6000000000.0,6000000000.0,reported,6000000000.0,,419430400.0,False,5580569600.0,360000000000.0,ObsScaling,,360000000000.0,,,,,,60.0,1.296e+22,False,False,False,False,False,True,214.0,69601.0,0.0,0.0,0,214.0,69601.0,4.0,True,False,B,
codegen-16B-nl,Salesforce/codegen-16B-nl,Codegen-NL,Salesforce,,,2022-03-25 00:00:00,release date (paper/Epoch sibling),True,dense,False,16000000000.0,16000000000.0,16000000000.0,reported,16000000000.0,,629145600.0,False,15370854400.0,360000000000.0,ObsScaling,,360000000000.0,,,,,,22.5,3.456e+22,False,False,False,False,False,True,201.0,82588.0,0.0,0.0,0,201.0,82588.0,18.0,True,False,B,
