model,epoch_model,org,org_cat,country,date,open_weights,accessibility,arch,moe,N_total,N_active,N,D,D_src,D_flag,D_epoch,epochs,C_epoch,C_method,confidence,C_D_ratio,D_C_mismatch,code,distilled,notable,frontier,hf_dev,core,in_B,M,C6,sample
RWKV-6 (Finch) 3B,RWKV-6 (Finch) 3B,"RWKV Foundation,EleutherAI,Ohio State University,University of California Santa Barbara (UCSB),Wroclaw Tech (Wrocław University of Science and Technology),Guangdong Laboratory of Artificial Intelligence and Digital Economy (Pazhou Lab),New York University (NYU),Harvard University,Contextual AI,University of Chinese Academy of Sciences,University of California Santa Cruz,Tsinghua University,University of Edinburgh,University of British Columbia (UBC),Pennsylvania State University","Research collective,Research collective,Academia,Academia,Government,Academia,Academia,Industry,Academia,Academia,Academia,Academia,Academia,Academia","Multinational,United States of America,United States of America,United States of America,Poland,China,United States of America,United States of America,United States of America,China,United States of America,China,United Kingdom,Canada,United States of America",2024-09-26,True,Open weights (unrestricted),ssm/hybrid,False,3100000000.0,3100000000.0,3100000000.0,1126021505376.344,Epoch C/(6N) (operation counting),D from compute,,,2.0944e+22,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,363.23274366978836,2.0944e+22,A
Llama 3.2 1B,Llama 3.2 1B,Meta AI,Industry,United States of America,2024-09-24,True,Open weights (restricted use),dense,False,1230000000.0,1230000000.0,1230000000.0,9000000000000.0,Epoch dataset size x epochs,,9000000000000.0,,6.642e+22,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,,True,True,7317.073170731707,6.642e+22,A
Llama 3.2 3B,Llama 3.2 3B,Meta AI,Industry,United States of America,2024-09-24,True,Open weights (restricted use),dense,False,3210000000.0,3210000000.0,3210000000.0,9000000000000.0,Epoch dataset size x epochs,,9000000000000.0,,1.7334e+23,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,,True,True,2803.7383177570096,1.7334e+23,A
Telechat2-115B,Telechat2-115B,China Telecom,Industry,China,2024-09-20,True,Open weights (restricted use),dense,False,115000000000.0,115000000000.0,115000000000.0,10000000000000.0,Epoch dataset size x epochs,,10000000000000.0,1.0,6.899999999999999e+24,Operation counting,Confident,0.9999999999999999,False,False,False,True,False,Tele-AI,True,False,86.95652173913044,6.9e+24,A
Qwen2.5-72B,Qwen2.5-72B,Alibaba,Industry,China,2024-09-19,True,Open weights (unrestricted),dense,False,72700000000.0,72700000000.0,72700000000.0,18000000000000.0,Epoch dataset size x epochs,,18000000000000.0,1.0,7.8e+24,Operation counting,Confident,0.9934280910897142,False,False,False,True,False,Qwen,True,True,247.59284731774414,7.8516e+24,A
Qwen2.5-3B,Qwen2.5-3B,Alibaba,Industry,China,2024-09-19,True,Open weights (non-commercial),dense,False,3090000000.0,3090000000.0,3090000000.0,18000000000000.0,Epoch C/(6N) (operation counting),D from compute,,1.0,3.3372e+23,Operation counting,Confident,1.0,False,False,False,False,False,Qwen,True,True,5825.242718446602,3.3372e+23,A
Qwen2.5-7B,Qwen2.5-7B,Alibaba,Industry,China,2024-09-19,True,Open weights (unrestricted),dense,False,7610000000.0,7610000000.0,7610000000.0,18000000000000.0,Epoch C/(6N) (operation counting),D from compute,,1.0,8.2188e+23,Operation counting,Confident,1.0,False,False,False,False,False,Qwen,True,True,2365.3088042049935,8.2188e+23,A
Qwen2.5-1.5B,Qwen2.5-1.5B,Alibaba,Industry,China,2024-09-19,True,Open weights (unrestricted),dense,False,1540000000.0,1540000000.0,1540000000.0,18000000000000.0,Epoch C/(6N) (operation counting),D from compute,,1.0,1.6632e+23,Operation counting,Confident,1.0,False,False,False,False,False,Qwen,True,True,11688.311688311689,1.6632e+23,A
Qwen2.5-14B,Qwen2.5-14B,Alibaba,Industry,China,2024-09-19,True,Open weights (unrestricted),dense,False,14700000000.0,14700000000.0,14700000000.0,18000000000000.113,Epoch C/(6N) (operation counting),D from compute,,1.0,1.58760000000001e+24,Operation counting,Confident,1.0,False,False,False,False,False,Qwen,True,True,1224.489795918375,1.58760000000001e+24,A
Qwen2.5-Coder (7B),Qwen2.5-Coder (7B),Alibaba,Industry,China,2024-09-18,True,Open weights (unrestricted),dense,False,7610000000.0,7610000000.0,7610000000.0,5500000000000.0,Epoch C/(6N) (operation counting),D from compute,,,2.5113e+23,Operation counting,Confident,1.0,False,True,False,False,False,Qwen,False,False,722.7332457293036,2.5113e+23,A
