unit,unit_type,family,dev,n_members,members,reading,bound,fam_class,year,date,C_total,N_flagship,D_flagship,M_cw,w_ref,s_ref,w_lab1,s_lab1,w_ra2primary,s_ra2primary,serve_any,serve_all,serve_flagship,serve_hi_any,serve_developer,tier_share,tier_any,ondevice,local,has_lab,lab_path,unit_kind,id_class,own_cap,syn_protocol,syn_fixlist,R_CO,R_INF,R_DEV,deployment_rationale,codes_file,emb_share_min,emb_share_max,emb_share_cw,N_emb_share_flagship,w_band_ptmin,w_band_ptmax,all_tech_gt1,w_ref_lo,w_ref_hi,w_lab1_lo,w_lab1_hi
B:HuggingFaceTB/SmolLM-1.7B,model,SmolLM,Hugging Face,1,SmolLM-1.7B,,lower bound,size-specific-D,2024,2024-07-16 00:00:00,1.0268258304e+22,1711376384.0,1000000000000.0,584.3249967389993,4.039604719344119,0.752451026900879,4.039604719344119,0.752451026900879,4.039604719344119,0.752451026900879,0,0,0,0,0,0.0,0,1,1,0,,size-specific member,lower bound,1,1,1,0,1,1,1,readings_final.csv,0.058820080106936845,0.058820080106936845,0.058820080106936845,0.058820080106936845,1.2677638051556164,8.845168540976413,True,3.4061233348181563,4.843403087446316,3.4061233348181563,4.843403087446316
B:cerebras/btlm-3b-8k-base,model,BTLM,Cerebras,1,btlm-3b-8k-base,,point (member),singleton,2023,2023-09-20 00:00:00,1.1286e+22,3000000000.0,627000000000.0,208.99999999999997,2.6038064478688514,0.6159468762286558,2.6038064478688514,0.6159468762286558,2.6038064478688514,0.6159468762286558,0,0,0,0,0,1.0,1,0,0,0,,singleton,point,0,0,0,0,1,1,1,readings_final.csv,0.04288597333333333,0.04288597333333333,0.04288597333333333,0.04288597333333333,0.9629428790174663,3.270248690979157,False,2.244062031869325,3.0186979224679282,2.244062031869325,3.0186979224679282
B:h2oai/h2o-danube-1.8b-base,model,H2O-Danube1,H2O.ai,1,h2o-danube-1.8b-base,,point (member),singleton,2024,2024-01-23 11:25:25,1.098720768e+22,1831201280.0,1000000000000.0,546.0896139172644,3.9252446146294586,0.7452388072139551,3.9252446146294586,0.7452388072139551,3.9252446146294586,0.7452388072139551,0,0,0,0,0,0.0,0,0,0,0,,singleton,point,0,0,0,0,0,0,0,readings_final.csv,0.08947132234420452,0.08947132234420452,0.08947132234420452,0.08947132234420452,1.2551192959362079,8.230274394821556,True,3.3155684371949175,4.69933301883769,3.3155684371949175,4.69933301883769
B:h2oai/h2o-danube3-500m-base,model,H2O-Danube3,H2O.ai,1,h2o-danube3-500m-base,,point (member),size-specific-D,2024,2024-07-04 13:16:04,1.2326178816e+22,513590784.0,4000000000000.0,7788.301746473709,12.228305415430633,0.9182225201262866,12.228305415430633,0.9182225201262866,12.228305415430633,0.9182225201262866,0,0,0,0,0,0.0,0,1,1,0,,size-specific member,point,0,1,0,0,1,1,1,readings_final.csv,0.1914053037213378,0.1914053037213378,0.1914053037213378,0.1914053037213378,1.8329579157906546,103.69662246199367,True,9.522077868879485,16.062486189928748,9.522077868879485,16.062486189928748
B:h2oai/h2o-danube3-4b-base,model,H2O-Danube3,H2O.ai,1,h2o-danube3-4b-base,,point (member),size-specific-D,2024,2024-07-04 13:24:14,1.4262621696e+23,3961839360.0,6000000000000.0,1514.448076965947,6.11861536258296,0.8365643302052815,6.11861536258296,0.8365643302052815,6.11861536258296,0.8365643302052815,0,0,0,0,0,0.0,0,1,1,0,,size-specific member,point,0,1,0,0,1,1,1,readings_final.csv,0.06203179323252517,0.06203179323252517,0.06203179323252517,0.06203179323252517,1.46776029607032,16.63369521325456,True,4.843525500392683,7.819315213440261,4.843525500392683,7.819315213440261
B:allenai/OLMo-1B-hf,model,OLMo-1,AI2,1,OLMo-1B-hf,,lower bound,size-specific-D,2024,2024-02-01 00:00:00,2.1181759488e+22,1176764416.0,3000000000000.0,2549.3632873412816,7.599357530431011,0.8684099286030982,4.979801598129115,0.7991887868834584,19.20026205220526,0.9479173775190665,0,0,0,0,0,0.0,0,0,0,1,ai2,size-specific member,lower bound,1,0,0,0,0,0,0,readings_final.csv,0.08754733793717973,0.08754733793717973,0.08754733793717973,0.08754733793717973,1.6113440074203322,33.57708536071939,True,6.098595380516931,9.607976806796174,3.488209887092021,7.4951599943551726
B:allenai/OLMo-7B-hf,model,OLMo-1,AI2,1,OLMo-7B-hf,,lower bound,size-specific-D,2024,2024-02-01 00:00:00,1.0332143616e+23,6888095744.0,2500000000000.0,362.9450130941733,3.3191740354760872,0.6987202269866623,1.7982130425366203,0.4438923662852728,2.944878859146488,0.660427458027992,0,0,0,0,0,1.0,1,0,0,1,ai2,size-specific member,lower bound,1,0,0,0,0,0,0,readings_final.csv,0.05982645760389704,0.05982645760389704,0.05982645760389704,0.05982645760389704,1.0454920545848847,4.381125472564687,True,2.7249132152086264,4.041831860057774,1.498662433019443,2.2033715138505987
B:allenai/OLMo-7B-0424-hf,model,OLMo-1.7,AI2,1,OLMo-7B-0424-hf,,point (member),singleton,2024,2024-04-17 00:00:00,8.47235776512e+22,6888095744.0,2050000000000.0,297.6149107372221,3.047365754006383,0.6718477266191969,1.6636031371631816,0.3988950984396282,2.5519376252892503,0.6081408925946399,0,0,0,0,0,1.0,1,0,0,1,ai2,singleton,point,0,0,0,0,0,0,0,readings_final.csv,0.05982645760389704,0.05982645760389704,0.05982645760389704,0.05982645760389704,0.9988445923173721,3.8880808508444415,False,2.527137656800787,3.6699424376452234,1.4006088189842127,2.011535968410405
B:TinyLlama/TinyLlama_v1.1,model,TinyLlama,TinyLlama,1,TinyLlama_v1.1,,lower bound,singleton,2024,2024-03-09 09:39:41,1.32e+22,1100000000.0,2000000000000.0,1818.181818181818,6.567457328636474,0.8477340696772188,6.567457328636474,0.8477340696772188,6.567457328636474,0.8477340696772188,0,0,0,0,0,0.0,0,0,0,0,,singleton,lower bound,1,0,0,0,1,1,1,readings_final.csv,0.11915636363636362,0.11915636363636362,0.11915636363636362,0.11915636363636362,1.5696596330932688,25.54664642019187,True,5.353477887889399,8.170177213623607,5.353477887889399,8.170177213623607
Qwen2.5,family,Qwen2.5,Alibaba,7,Qwen2.5-0.5B; Qwen2.5-1.5B; Qwen2.5-3B; Qwen2.5-7B; Qwen2.5-14B; Qwen2.5-32B; Qwen2.5-72B,cap or choice,lower bound (point if choice),common-D,2024,2024-09-15 12:15:39,1.4361776921088e+25,72706203648.0,18000000000000.0,469.1468532799272,3.5278519291198953,0.7165413911661895,3.5278519291198953,0.7165413911661895,3.5278519291198953,0.7165413911661895,1,1,1,1,1,0.7142857142857143,1,0,0,0,,common-budget,lower bound (point if choice),0,1,1,0,1,1,1,readings_final.csv,0.034266905036906437,0.2755579484152759,0.05546990318825035,0.034266905036906437,0.967750643360258,4.607086647754898,False,2.685347960668636,4.591506875375912,2.685347960668636,4.591506875375912
Qwen3,family,Qwen3,Alibaba,5,Qwen3-0.6B-Base; Qwen3-1.7B-Base; Qwen3-4B-Base; Qwen3-8B-Base; Qwen3-14B-Base,cap or choice,lower bound (point if choice),common-D,2025,2025-04-29 00:00:00,6.328397279232e+24,14768307200.0,36000000000000.0,4161.816997190978,9.12634690657012,0.89042713253864,9.12634690657012,0.89042713253864,9.12634690657012,0.89042713253864,1,1,1,1,1,0.4,1,0,0,0,,common-budget,lower bound (point if choice),0,1,1,0,0,1,1,readings_final.csv,0.09669589682682223,0.26102253985706436,0.12479251102892841,0.1053488811500346,1.5448286514907936,27.129842722384023,True,6.766888430952909,12.41573557011429,6.766888430952909,12.41573557011429
OLMo-2#1,family,OLMo-2,AI2,2,OLMo-2-0425-1B; OLMo-2-1124-7B,choice,point (family share),size-specific-D,2024,2024-12-31 00:00:00,2.13439878144e+23,7298617344.0,4050000000000.0,726.312900616423,4.347239149835123,0.7699689468342392,2.3721627233052,0.5784437592853359,4.68548635904534,0.7865749842448057,0,0,0,0,0,0.5,1,0,0,1,ai2,common-budget,point,0,1,1,0,0,0,0,readings_final.csv,0.11263552331261939,0.27681134034979316,0.14039057226496238,0.11263552331261939,1.2542689535709637,7.205742305582622,True,3.4962418954516754,5.401607573003156,1.9147058144967175,3.035440112372916
