unit,unit_type,family,dev,n_members,members,reading,bound,fam_class,year,date,C_total,N_flagship,D_flagship,M_cw,w_ref,s_ref,w_lab1,s_lab1,w_ra2primary,s_ra2primary,serve_any,serve_all,serve_flagship,serve_hi_any,serve_developer,tier_share,tier_any,ondevice,local,has_lab,lab_path,emb_share_min,emb_share_max,emb_share_cw,N_emb_share_flagship
B:Qwen/Qwen2-7B,model,Qwen2,Alibaba,1,Qwen2-7B,,point (member),size-specific-D,2024,2024-06-07 00:00:00,3.19855893504e+23,7615616512.0,7000000000000.0,919.1639296661057,4.954946435161385,0.7981814711651006,4.954946435161385,0.7981814711651006,4.954946435161385,0.7981814711651006,1,1,1,1,1,1.0,1,0,0,0,,0.14312626565196462,0.14312626565196462,0.14312626565196462,0.14312626565196462
B:Qwen/Qwen2-1.5B,model,Qwen2,Alibaba,1,Qwen2-1.5B,,point (member),size-specific-D,2024,2024-06-07 00:00:00,6.4836000768e+22,1543714304.0,7000000000000.0,4534.517806735306,9.753901990263435,0.8974769275928524,9.753901990263435,0.8974769275928524,9.753901990263435,0.8974769275928524,1,1,1,1,1,0.0,0,0,0,0,,0.15117674001937598,0.15117674001937598,0.15117674001937598,0.15117674001937598
B:Qwen/Qwen2-0.5B,model,Qwen2,Alibaba,1,Qwen2-0.5B,,point (member),size-specific-D,2024,2024-06-07 00:00:00,3.5570359296e+22,494032768.0,12000000000000.0,24289.886779331995,19.949639618661116,0.9498737812253717,19.949639618661116,0.9498737812253717,19.949639618661116,0.9498737812253717,1,1,1,1,1,0.0,0,0,0,0,,0.2755579484152759,0.2755579484152759,0.2755579484152759,0.2755579484152759
Yi,family,Yi,01.AI,2,Yi-6B; Yi-34B,cap+menu,none,common-D,2023,2023-11-02 00:00:00,7.280991498239999e+23,34388917248.0,3000000000000.0,113.15224009427111,1.9683458240456289,0.4919591934588733,1.9683458240456289,0.4919591934588733,1.9683458240456289,0.4919591934588733,0,0,0,1,0,0.0,0,0,0,0,,0.026680223555260674,0.08650139044227212,0.035643848789376154,0.026680223555260674
B:google/gemma-7b,model,Gemma,Google,1,gemma-7b,,point (member),size-specific-D,2024,2024-02-21 00:00:00,3.07356512256e+23,8537680896.0,6000000000000.0,702.766954292127,4.417266311464716,0.7736156415553738,4.417266311464716,0.7736156415553738,4.417266311464716,0.7736156415553738,0,0,0,0,1,1.0,1,0,1,0,,0.09211307023297766,0.09211307023297766,0.09211307023297766,0.09211307023297766
B:google/gemma-2b,model,Gemma,Google,1,gemma-2b,,point (member),size-specific-D,2024,2024-02-21 00:00:00,4.5111103488e+22,2506172416.0,3000000000000.0,1197.0445372582074,5.513796343727807,0.8186367544863087,5.513796343727807,0.8186367544863087,5.513796343727807,0.8186367544863087,0,0,0,0,1,1.0,1,0,1,0,,0.20919869545001013,0.20919869545001013,0.20919869545001013,0.20919869545001013
B:google/gemma-2-27b,model,Gemma-2,Google,1,gemma-2-27b,,point (member),singleton,2024,2024-06-24 00:00:00,2.12371600896e+24,27227128320.0,13000000000000.0,477.46496976145295,3.766930300291516,0.7345318547777187,3.766930300291516,0.7345318547777187,3.766930300291516,0.7345318547777187,1,1,1,1,1,1.0,1,0,1,0,,0.04332619974224294,0.04332619974224294,0.04332619974224294,0.04332619974224294
B:tiiuae/falcon-180B,model,Falcon,TII,1,falcon-180B,,point (member),size-specific-D,2023,2023-09-06 00:00:00,3.76997386752e+24,179522565120.0,3500000000000.0,19.49615636151623,0.9617036041185258,-0.03982141245750628,0.9617036041185258,-0.03982141245750628,0.9617036041185258,-0.03982141245750628,0,0,0,0,0,0.0,0,0,0,0,,0.0053780222634108865,0.0053780222634108865,0.005378022263410887,0.0053780222634108865
B:tiiuae/falcon-40b,model,Falcon,TII,1,falcon-40b,,point (member),size-specific-D,2023,2023-03-15 00:00:00,2.5101582336e+23,41835970560.0,1000000000000.0,23.902875602367768,1.040499424050642,0.03892306243955293,1.040499424050642,0.03892306243955293,1.040499424050642,0.03892306243955293,0,0,0,0,0,0.0,0,0,0,0,,0.012732502697315184,0.012732502697315184,0.012732502697315186,0.012732502697315184
B:tiiuae/falcon-7b,model,Falcon,TII,1,falcon-7b,,point (member),size-specific-D,2023,2023-04-24 00:00:00,6.495470784e+22,7217189760.0,1500000000000.0,207.8371291154744,2.611661532872441,0.6171019914283655,2.611661532872441,0.6171019914283655,2.611661532872441,0.6171019914283655,0,0,0,0,0,1.0,1,0,0,0,,0.04093962689433295,0.04093962689433295,0.04093962689433295,0.04093962689433295
B:microsoft/phi-2,model,Phi-2,Microsoft,1,phi-2,,point (member),singleton,2023,2023-12-12 00:00:00,2.3349344256e+22,2779683840.0,1400000000000.0,503.6544012142044,3.8006661842726315,0.7368882318215538,3.8006661842726315,0.7368882318215538,3.8006661842726315,0.7368882318215538,0,0,0,0,1,1.0,1,0,0,0,,0.0943071281084974,0.0943071281084974,0.0943071281084974,0.0943071281084974
B:microsoft/phi-1_5,model,Phi-1.5,Microsoft,1,phi-1_5,,point (member),singleton,2023,2023-09-11 00:00:00,1.276443648e+21,1418270720.0,150000000000.0,105.76260081009073,1.9330631596345798,0.4826863286820712,1.9330631596345798,0.4826863286820712,1.9330631596345798,0.4826863286820712,0,0,0,0,1,0.0,0,0,0,0,,0.14786683320938898,0.14786683320938898,0.14786683320938898,0.14786683320938898
MPT,family,MPT,MosaicML,2,mpt-7b; mpt-30b,menu,upper bound,common-D,2023,2023-05-05 00:00:00,2.31e+23,30000000000.0,1050000000000.0,45.19899270061805,1.3324925818915907,0.24952677891803957,1.3324925818915907,0.24952677891803957,1.3324925818915907,0.24952677891803957,1,1,1,1,1,1.0,1,0,0,0,,0.012049885866666665,0.029509924571428536,0.01522443835844155,0.012049885866666665
DeepSeek-LLM,family,DeepSeek-LLM,DeepSeek,2,deepseek-llm-7b-base; deepseek-llm-67b-base,cap+menu,none,common-D,2024,2024-01-05 00:00:00,8.880000000000001e+23,67000000000.0,2000000000000.0,36.961559945848606,1.2194073906863316,0.17992952344075946,1.4549534395126986,0.3126927825711552,1.4242465195623848,0.29787435934387196,1,0,1,1,1,1.0,1,0,0,1,deepseek,0.025040620895522392,0.11983725714285709,0.03400787027027027,0.025040620895522392
StableLM-alpha,family,StableLM-alpha,Stability AI,2,stablelm-base-alpha-3b; stablelm-base-alpha-7b,choice,point (family share),common-D,2023,2023-04-11 05:55:14,5.52378433536e+22,7869358080.0,800000000000.0,129.74011559131822,2.1065461753521495,0.5252893045020336,2.1065461753521495,0.5252893045020336,2.1065461753521495,0.5252893045020336,0,0,0,0,0,0.5,1,0,0,0,,0.07874955106884651,0.11412206522032797,0.08993351941348446,0.07874955106884651
B:stabilityai/stablelm-base-alpha-7b-v2,model,StableLM-alpha-v2,Stability AI,1,stablelm-base-alpha-7b-v2,,point (member),singleton,2023,2023-08-05 00:00:00,4.54701367296e+22,6889414656.0,1100000000000.0,159.6652335393993,2.330727925333961,0.5709494921606031,2.330727925333961,0.5709494921606031,2.330727925333961,0.5709494921606031,0,0,0,0,0,1.0,1,0,0,0,,0.05996720543452794,0.05996720543452794,0.05996720543452794,0.05996720543452794
B:stabilityai/stablelm-2-1_6b,model,StableLM-2,Stability AI,1,stablelm-2-1_6b,,point (member),singleton,2024,2024-01-18 00:00:00,1.9734183936e+22,1644515328.0,2000000000000.0,1216.1637936402383,5.537133264337139,0.819401131910501,5.537133264337139,0.819401131910501,5.537133264337139,0.819401131910501,0,0,0,0,0,0.0,0,0,0,0,,0.2499470725517008,0.2499470725517008,0.2499470725517008,0.2499470725517008
