uid,tech,N_used,M_used,C_used,lnMstar,lnw,w,w_lo,w_hi,sd_lnw,s,s_lo,s_hi,M_extrap,C_extrap,Mstar
B:Qwen/Qwen2.5-72B,marin_comma_mf,72706203648.0,247.57172148810363,7.852269993984e+24,4.452753204342184,0.4539018252200204,1.5744434192510262,1.2827320784390268,2.5162763830151316,0.18305229593117903,0.3648549145858115,0.22041397669191148,0.6025873760330935,0.0,True,85.86301730613582
B:Qwen/Qwen3-0.6B-Base,marin_comma_mf,596049920.0,60397.62575590984,1.2874678272e+23,3.67113828101785,3.14513812726178,23.22288296499282,11.964789492004824,62.781966738577395,0.45064574700351767,0.95693902425864,0.916421429673441,0.9840718592941827,1.0,True,39.29661099833775
B:Qwen/Qwen3-1.7B-Base,marin_comma_mf,1720574976.0,20923.23816291514,3.71644194816e+23,3.87270482335199,2.6043482090666146,13.52240864639819,7.708367605304847,32.947917195791,0.39257604186023726,0.9260486777060714,0.8702708470582271,0.9696490678285501,1.0,True,48.07223729937818
B:Qwen/Qwen3-4B-Base,marin_comma_mf,4022468096.0,8949.729156534248,8.68853108736e+23,4.034179693429474,2.1711216389793115,8.768113184857917,5.330398893069051,19.654818084504917,0.34737636686555373,0.8859503773597552,0.8123967792916458,0.9491218898236274,1.0,True,56.49655672808063
B:Qwen/Qwen3-8B-Base,marin_comma_mf,8190735360.0,4395.209760506778,1.76919883776e+24,4.169390540781693,1.808359733000433,6.100432882468004,4.004970968343787,12.673622393675915,0.31083831289132735,0.8360772064431864,0.7503102998987432,0.9210959606545485,1.0,True,64.67602269507917
B:Qwen/Qwen3-14B-Base,marin_comma_mf,14768307200.0,2437.6524345322396,3.1899543552e+24,4.281474867667876,1.5076447767094336,4.5160818777280705,3.117060697894675,8.827437979935958,0.281810840768558,0.778569116531812,0.6791849447540691,0.8867168478245989,0.0,True,72.34706370520001
B:Qwen/Qwen3-32B,marin_comma_mf,32762123264.0,1098.8298807714295,7.076618625024e+24,4.432977302896074,1.1011736004682575,3.0076937842845424,2.2221392905531934,5.48542052024115,0.24515733925926214,0.6675193448132634,0.5499832057102714,0.8176985709099222,0.0,True,84.18167852836068
B:Qwen/Qwen3-30B-A3B-Base,marin_comma_mf,3300000000.0,10909.09090909091,7.128e+23,3.996536854875824,2.272114925594881,9.699893689412354,5.812239190009045,22.214529938680066,0.3577813314036473,0.8969060866005654,0.8279492692387899,0.9549844177319821,1.0,True,54.40939574646176
B:Qwen/Qwen3-235B-A22B,marin_comma_mf,22000000000.0,1636.3636363636363,4.752e+24,4.357257302441067,1.3043254349821396,3.685202346476299,2.624133889027527,6.9139720814811305,0.2630397400457904,0.7286444797376797,0.618921883452148,0.8553653401814464,0.0,True,78.04279284296062
B:google/gemma-3-270m,marin_comma_mf,268098176.0,22379.861323636906,9.651534336e+21,3.1785339508682124,2.930741763436836,18.74152712160088,10.137765124021977,45.398197526267595,0.40479591415827554,0.9466425551390937,0.9013589299252508,0.9779726937524029,1.0,True,24.011525659117726
B:google/gemma-3-1b-pt,marin_comma_mf,999885952.0,2000.2281220168597,1.1998631424e+22,3.2199230429644174,1.877890110286482,6.539692266345919,4.375160669017216,12.092923045148213,0.27601418228386004,0.8470876060719056,0.7714369652567232,0.9173070070597027,0.0,True,25.026194165513633
B:google/gemma-3-4b-pt,marin_comma_mf,3883079472.0,1030.1102588404608,9.3193907328e+22,3.6096912994707484,1.426381556658205,4.163606128819667,2.9803667825305635,7.280577195763661,0.23902486886085533,0.7598235834369165,0.664470827596957,0.8626482525888375,0.0,True,36.95464313593179
