set,uid,model,dev,M,C,dlo,dhi,sign,w_lo,w_hi,s_lo,s_hi
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen2.5-32B,Qwen2.5-32B,Alibaba,549.3855429869253,3.538498646016e+24,1.4592903120582479,5.690795735534164,w>1,1.8014341032283268,18.879139087268587,0.4448867165288406,0.9470314829835453
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen2.5-72B,Qwen2.5-72B,Alibaba,247.57172148810363,7.852269993984e+24,0.5046952363824229,5.018043221332188,w>1,1.225760327625822,13.339469765801802,0.18417982907237476,0.925034501553901
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen3-0.6B-Base,Qwen3-0.6B-Base,Alibaba,60397.62575590984,1.2874678272e+23,6.680851903226825,9.87377715121841,w>1,14.799928958879136,163.63807950566047,0.9324321081014342,0.993888952968521
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,Alibaba,20923.23816291514,3.71644194816e+23,5.462911790900661,8.979061714185617,w>1,9.055608840602037,103.10329425817585,0.889571201936598,0.9903009888559337
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen3-4B-Base,Qwen3-4B-Base,Alibaba,8949.729156534248,8.68853108736e+23,4.453489898314086,8.262305563694676,w>1,6.026997744527756,71.21352598494792,0.8340799113608504,0.9859577238148359
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen3-8B-Base,Qwen3-8B-Base,Alibaba,4395.209760506778,1.76919883776e+24,3.716163603774646,7.662130400796009,w>1,4.4765801309805795,52.23866404257121,0.7766151904487515,0.9808570908477854
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen3-14B-Base,Qwen3-14B-Base,Alibaba,2437.6524345322396,3.1899543552e+24,2.9994717877412658,7.164609451370506,w>1,3.3527885170165868,40.4053261564937,0.7017408062200623,0.9752507875786746
"PI-1 IsoFLOP anchors, e from A2/published paths",B:allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,AI2,2727.4256541209866,3.60834766848e+22,4.056138170337133,6.5777515862507165,w>1,5.134503158887909,29.84380370211734,0.8052391888650445,0.9664922068922115
"PI-1 IsoFLOP anchors, e from A2/published paths",B:allenai/OLMo-2-1124-7B,OLMo-2-1124-7B,AI2,554.8996212727055,1.773564014592e+23,2.0383383684165732,5.23382825265924,w>1,2.275349129862926,14.911508558974619,0.5605070066499013,0.9329377040528779
"PI-1 IsoFLOP anchors, e from A2/published paths",B:allenai/OLMo-2-1124-13B,OLMo-2-1124-13B,AI2,375.46846799766325,4.2383053056e+23,1.467310754546859,4.979118407735303,w>1,1.8072710458182237,13.074072841363686,0.44667956568337536,0.9235127406636282
