rep,sig_mf_P_est,sig_mf_P_cr2cv_lo,sig_mf_P_cr2cv_hi,sig_mf_P_cr2cv_se,sig_mf_P6_est,sig_mf_P6_cr2cv_lo,sig_mf_P6_cr2cv_hi,sig_mf_P6_cr2cv_se,q3_est,q3_cr2cv_lo,q3_cr2cv_hi,q3_cr2cv_se
29,0.7672380291505817,0.7436611966771983,0.7955220101874303,0.014492202610138968,0.7554211806414938,0.7435778116177455,0.7745290638378389,0.008132663164421149,0.05828698923648376,-0.0033049053751685806,0.16845948139095776,0.05099592585131151
30,0.7454821576527395,0.7307845520656132,0.7642310289525123,0.009759851542624738,0.7343909873636575,0.723240154432765,0.746734939113079,0.006352202820721438,0.004875299176928393,-0.0471652460849957,0.11861740193154814,0.04281001417016683
31,0.7837322317134778,0.7587158629468386,0.8157473882784232,0.015645684692933166,0.7627946309749487,0.7424822161385072,0.7864664259120542,0.011650136396887457,-0.13759633667741689,-0.2610778914145421,0.015675942966232925,0.08545678041786603
32,0.7106167280760857,0.6794594964030691,0.7430833125901167,0.016811913925077016,0.7220505504489713,0.7030211997441475,0.7502643109945227,0.011916149485374004,-0.07490159977194312,-0.12363904856790264,-0.034625027037552554,0.0231108606048573
33,0.7192302064123308,0.6886085783139048,0.7458147568483651,0.01472177742463364,0.7247904873434279,0.6941168435353455,0.7467102015853294,0.013333356733234235,0.07588411007744483,0.017391363048338604,0.22160759562291604,0.056765988047256584
34,0.7251921414654138,0.7092307836354355,0.7435840942889317,0.008404711215159124,0.7383991412784705,0.7271172321656323,0.7527007364252482,0.007131378497832653,-0.039784282905111726,-0.10057093742834168,0.06582174086551139,0.04503719729438166
35,0.7441285106844554,0.7238175426791501,0.7572297938633756,0.009050451475412141,0.749589382215957,0.7416461494793731,0.762032981403043,0.005256082638100149,-0.06311120894535986,-0.1668810364103489,0.08475725006736091,0.06941027100935505
36,0.7513693365183864,0.6888920435828425,0.7798094127547187,0.02262672230629104,0.7422436639136074,0.7156480124866628,0.7621581498454278,0.011224266107960887,-0.03794382182310597,-0.265480381098655,0.21859541790058762,0.12051572840914368
37,0.7401296287551975,0.7298770427074203,0.754308631236863,0.007746111000232701,0.7449645613456036,0.7311373540195293,0.7645400064089981,0.008080773819290116,-0.12659692671761394,-0.19605200988399477,-0.02864176019145323,0.051071510729020934
38,0.7635057957442052,0.7475845692415759,0.7827139620182155,0.010532656344795728,0.7455387792057848,0.7324816467692712,0.7586732966128353,0.007473592599718837,0.007691452546428732,-0.0473343449840996,0.08823469102812381,0.03687204015974599
39,0.727318554458057,0.7035111267790002,0.7499909749890719,0.012393804102279372,0.7354827584645007,0.7194662916393045,0.7560520406700332,0.009305388578278655,0.028024718923906553,-0.08151971290110373,0.12086663882779784,0.04905911223955933
