rep,sig_kappa_est,sig_kappa_wcu_lo,sig_kappa_wcu_hi,sig_kappa_wcu_se,sig_kappa_cr2_lo,sig_kappa_cr2_hi,sig_kappa_cr2_se,sig_mf_P_est,sig_mf_P_wcu_lo,sig_mf_P_wcu_hi,sig_mf_P_wcu_se,sig_mf_P_cr2_lo,sig_mf_P_cr2_hi,sig_mf_P_cr2_se,sig_mf_P6_est,sig_mf_P6_wcu_lo,sig_mf_P6_wcu_hi,sig_mf_P6_wcu_se,sig_mf_P6_cr2_lo,sig_mf_P6_cr2_hi,sig_mf_P6_cr2_se,q3_est,q3_wcu_lo,q3_wcu_hi,q3_wcu_se,q3_cr2_lo,q3_cr2_hi,q3_cr2_se,chi_est,chi_wcu_lo,chi_wcu_hi,chi_wcu_se,chi_wcu_p_wcr,chi_wcu_se_wcr,chi_cr2_lo,chi_cr2_hi,chi_cr2_se,chi_cr2_p_wcr,chi_cr2_se_wcr
20,0.7394348705236286,0.7305894813225755,0.7481835472198338,0.004686038793663546,0.7282958419467063,0.7494616101031487,0.0055771646833944885,0.7640644105761488,0.7374619295739824,0.7895665761053009,0.015061141238667643,0.7262044351917665,0.8050542353479806,0.021447712305492233,0.7570427820171033,0.7430027880470604,0.7717129043418278,0.008066957023056629,0.7339434143381741,0.78017284695964,0.01228622067429789,0.004355718937993794,-0.04527789094015961,0.05293272040057889,0.025428673586041235,-0.06646153768672634,0.0724037953180925,0.03478268226155968,0.21909417206967063,0.20018849513241038,0.23663427540103674,0.010347643295691917,0.005,0.1299059083561249,0.19375730674542774,0.2415941056700292,0.013354055276001055,0.03,0.14401495624455102
21,0.7395918350017615,0.729525832536375,0.7496421243808679,0.00600493438070686,0.7301289082773473,0.749490992373813,0.00531589098948625,0.7126143772876178,0.7016864503003447,0.7235417685658398,0.006301491324633567,0.6931159342938326,0.7325589704430172,0.010497476964025514,0.7307301000047981,0.7208793224763952,0.7402702253095839,0.005421059371871708,0.7165049016759244,0.7442358603504359,0.007835522138463304,-0.11010707111103746,-0.1788531890275799,-0.04375775696918863,0.038309677772362175,-0.1745836486050713,-0.045115725818990454,0.03361323969298472,0.21822917117611063,0.19583008196590287,0.23938037956171854,0.01266926033259747,0.005,0.10926207732307765,0.19406464600728687,0.24036398850169402,0.013283215201623483,0.025,0.12147890904081259
22,0.7324104366819717,0.7261004456577295,0.7387589007034034,0.0034766549831844133,0.7229562448860177,0.7411547539627863,0.004909379874619483,0.7308516695690624,0.7232056020086544,0.7370332248206402,0.0038626204442162933,0.7156890508654429,0.7408389294869095,0.006685150829928118,0.7312149243214208,0.7225821382081529,0.7381457088164473,0.0040645495941938154,0.7187865042904028,0.7410771774688817,0.00580541004273379,-0.06371163373607153,-0.10895837532846625,-0.0037012591179061416,0.030857853411782137,-0.1194129051252212,0.008750633321633228,0.03620328088008355,0.211092610376733,0.1897438180618324,0.23072743999164835,0.010730974773894845,0.03,0.12262362512358121,0.18400460933653986,0.2353427085832385,0.013426809863058789,0.05,0.12927087985403687
23,0.7348442298932883,0.7262387123906089,0.7432175413680294,0.004833679266848429,0.7235347211911755,0.7455270804438388,0.006039511137715262,0.7185537366261678,0.7082142553874378,0.7296887723378732,0.006335762587314758,0.7054362939425411,0.7331996450554414,0.007894723928741992,0.7281905486115776,0.7189079188907667,0.7376160107662536,0.005322105845667504,0.7168261401519082,0.7392447726386395,0.006555984788745371,-0.08016836988779555,-0.12146424225843185,-0.013619218907159697,0.02990304391807004,-0.13029724145367177,0.004140093805611256,0.03692537772128797,0.2466869800163023,0.23164535165429428,0.2585821119924633,0.007250742069995765,0.03,0.14844368971835095,0.2331005079709202,0.2588048978278601,0.007171294844202969,0.045,0.15488965981401626
24,0.7343898499027924,0.7274774341028126,0.7406983603133982,0.0033836613893658226,0.7280411984262413,0.7407096199758144,0.003238382979298014,0.7556668227604891,0.738560221790631,0.7754263683629082,0.01004102940525964,0.7329634927515277,0.7806827025202324,0.013327641517866404,0.7499584293267317,0.7401257360539402,0.7598476235398608,0.0055258211570867145,0.737467522045089,0.7634880058963284,0.007271360921878287,-0.03943079608980439,-0.09489805064283305,-0.004394477214025985,0.025536427992001114,-0.12155209773319102,0.026168582114789105,0.0420299134141732,0.21454688239095354,0.17518414513072322,0.2550004678990356,0.021765192266531973,0.025,0.10406044803682384,0.17050470800335255,0.2713017309929955,0.02606313355910882,0.04,0.11170364518287093
25,0.731909476288438,0.7251169888896551,0.7392335975767673,0.003682675250252029,0.7222173698099884,0.7411669691316494,0.00538789154190411,0.7198247030573278,0.7125963993833878,0.7276151867884117,0.004495283234648063,0.7107012033530148,0.7293117447104669,0.005223028006108078,0.7337233118530267,0.7289251495136931,0.7432737410542138,0.003482163422296815,0.7275113437661733,0.744601373284787,0.00416751936036204,-0.08616456661182142,-0.15998532036331778,0.00016962018391698808,0.040696523397481456,-0.1914597797920593,0.06342735203926952,0.06732921472270598,0.20978126243713913,0.19267023211186649,0.22732402416081626,0.008955899357250786,0.015,0.11676465103682193,0.1889806360655014,0.22905124976922334,0.010351150679327048,0.04,0.12378660625823291
26,0.7248932714392584,0.716628198122916,0.7326749320295808,0.004903258381741118,0.7155046808114819,0.7339235833588348,0.005759754691987761,0.733413840197024,0.718560617389329,0.7491739779743035,0.00894863969938844,0.7021282175828284,0.7672528284825589,0.01739602177636363,0.7358578151385006,0.728945038137906,0.7447153711448592,0.004531997106660993,0.7212773060389837,0.7549524763479494,0.009253132009350941,0.01063879475328705,-0.05553076776829438,0.054668252845502724,0.032922803172058694,-0.08372499480460968,0.09522777764450124,0.051056870982351836,0.2587225018582622,0.24432842358193774,0.27211567003778847,0.006919554811929322,0.01,0.14122442205568717,0.24462810717917682,0.2715090343822387,0.006920777766636275,0.015,0.14985384459881132
27,0.7323971060678893,0.7283187423501593,0.736510858649803,0.002443826419942592,0.7275646848737224,0.7369077205011396,0.002813733737704146,0.7374846799962713,0.7210303234672615,0.75463133225969,0.009030048754634952,0.715755827015385,0.7614370816154163,0.012034501056081788,0.7537392290644409,0.7411901862578983,0.7666865122663189,0.0067859530854585915,0.7378954280065322,0.7716050575622017,0.009080261309051837,-0.1347162621930199,-0.1709387725560714,-0.10848536210124668,0.017457631162540746,-0.20293161102355717,-0.0713355125286021,0.04146211516691373,0.21394777920377628,0.1805492772139378,0.24733027099200272,0.018186024393222786,0.01,0.11895520525614248,0.17437201392884838,0.2530735453626519,0.02204397537096715,0.025,0.13067575311710422
28,0.73813542426385,0.7325232748176028,0.7442883249741038,0.003154535800264321,0.7324346373183345,0.7443478401986763,0.0030958150794020796,0.7353450084914018,0.7259747147979172,0.7444849954603088,0.005132076349175059,0.7225787145579187,0.7483536271392821,0.0072502783968360724,0.7450995021876731,0.736405496938531,0.7535996199718146,0.004638324772377837,0.733526540759731,0.7565463939058908,0.006317454585164768,-0.18547194738694558,-0.2769394878264192,-0.015882342597467125,0.07554851156915268,-0.2788865590867557,0.004665620220864197,0.07491020287897719,0.1889885997780052,0.17083061087009335,0.20688409440593594,0.009808038533551645,0.005,0.09623135028713513,0.16883610501098675,0.21018021066054718,0.01140486067058045,0.015,0.10143768596581428
29,0.7400384803477821,0.7339367764080724,0.7462161551980446,0.0033050717696082,0.7314440219175383,0.7478492965864189,0.0043482091794448015,0.7672380291505817,0.7489631838907523,0.7849872685658643,0.009673137408464235,0.742721628344322,0.7930462980709693,0.013905902110323309,0.7554211806414938,0.7460314104970733,0.7679595140333022,0.005694996204749652,0.7422403201179963,0.7749370938639681,0.008292088816918572,0.05828698923648376,-0.002807807918162826,0.1383421546748982,0.040631594693380395,-0.015407346616172629,0.15399069219027373,0.051390984947883044,0.22087316423345538,0.19798436961910126,0.24525177996959102,0.014310685623162388,0.02,0.1193321735286368,0.1952882028166897,0.24946767101985892,0.016312620893132578,0.05,0.12730705994389177
30,0.7356742856005886,0.7253917533110427,0.7450784630191605,0.005027684673699934,0.7235172257957514,0.7468259459813972,0.0062314680932619715,0.7454821576527395,0.7351340769348852,0.7570291891771369,0.006498815854771072,0.7291881156881488,0.7643129242376933,0.010117148959431891,0.7343909873636575,0.7260529551896377,0.7432296622259137,0.004743015566084448,0.7220321008062455,0.7478952011331361,0.006930538859153133,0.004875299176928393,-0.03189808554706085,0.050211616837617656,0.02255738345180955,-0.04726055260279306,0.07992257937506868,0.03605863745794087,0.22258409809592639,0.2084843548475727,0.23799090462541622,0.007377557019140381,0.01,0.11118743581262183,0.20687234015758402,0.24036407761663647,0.008359814907892886,0.02,0.12185722300069977
31,0.7480027710877403,0.7365809850877837,0.7578944687141186,0.005642820042138765,0.7319578296310658,0.7626743470750141,0.00820345056202658,0.7837322317134778,0.7666110865882282,0.8097073469859849,0.012129573074450159,0.7590803723056081,0.8200387705086875,0.01654754142386693,0.7627946309749487,0.7493019934548883,0.778532326585306,0.00817843068211086,0.7408152082458477,0.7872907766289353,0.012686929945284114,-0.13759633667741689,-0.19100883528280332,-0.0749477800476736,0.03272676290101787,-0.2583808858473422,0.025193746326682975,0.08431623528556208,0.2522078337098774,0.22246401961050927,0.28781982806559736,0.016842819974098637,0.01,0.1344077285689619,0.2174489863277596,0.2909284527362235,0.018457119427283716,0.02,0.1408484551386605
32,0.7322822578491175,0.7248399501555838,0.7409831920806206,0.0042354327938846125,0.7241577296630431,0.7441451638181285,0.005368872469121588,0.7106167280760857,0.6968409025525659,0.7251895081418168,0.007501927677343213,0.6947121050451177,0.7276550440933328,0.008855620392374143,0.7220505504489713,0.7102523792561467,0.7354260903626336,0.006820321914991857,0.7080494461790612,0.7375070773499134,0.007970355184659217,-0.07490159977194312,-0.110466451614239,-0.015608316911432489,0.025904537612526587,-0.12005701592046356,0.0061167419478289214,0.031741495434939114,0.2326776609978003,0.2128439080178487,0.25055765097170624,0.010087644738718371,0.025,0.1309564212236152,0.21057316969838386,0.2541209666180836,0.011431884592284397,0.05,0.14435188786215908
