design,E,ssr,gamma,in_set
Chinchilla,0.10639828355905658,0.006450188915446868,0.05588539709696681,False
Chinchilla,0.10823273672386789,0.006445360583836025,0.05592741422542741,False
Chinchilla,0.11006718988867921,0.0064405268662151224,0.055969494326032966,False
Chinchilla,0.11190164305349053,0.006435687754659669,0.056011637534847336,False
Chinchilla,0.11373609621830186,0.006430843241234322,0.056053844347312115,False
Chinchilla,0.11557054938311317,0.006425993317992666,0.05609611455651429,False
Chinchilla,0.11740500254792449,0.0064211379769770534,0.05613844842196628,False
Chinchilla,0.11923945571273581,0.006416277210218473,0.05618084617765651,False
Chinchilla,0.12107390887754713,0.006411411009737364,0.05622330765145743,False
Chinchilla,0.12290836204235846,0.006406539367542015,0.05626583349348611,False
Chinchilla,0.12474281520716977,0.00640166227563042,0.05630842322352217,False
Chinchilla,0.1265772683719811,0.006396779725988851,0.056351077663816744,False
Chinchilla,0.12841172153679242,0.006391891710593185,0.05639379635164184,False
Chinchilla,0.13024617470160374,0.006386998221407104,0.05643657992426784,False
Chinchilla,0.13208062786641506,0.0063820992503841635,0.05647942817028918,False
Chinchilla,0.13391508103122637,0.006377194789466194,0.05652234143168479,False
Chinchilla,0.1357495341960377,0.0063722848305842435,0.056565319770278975,False
Chinchilla,0.137583987360849,0.006367369365658051,0.05660836335719162,False
Chinchilla,0.13941844052566033,0.006362448386596551,0.0566514724086433,False
Chinchilla,0.14125289369047164,0.006357521885297028,0.05669464690065584,False
Chinchilla,0.143087346855283,0.006352589853646302,0.05673788713967917,False
Chinchilla,0.1449218000200943,0.006347652283519806,0.056781193307379706,False
Chinchilla,0.14675625318490562,0.006342709166781996,0.05682456547579348,False
Chinchilla,0.14859070634971694,0.006337760495286392,0.056868003667763595,False
Chinchilla,0.15042515951452826,0.006332806260875327,0.05691150821405462,False
Chinchilla,0.15225961267933957,0.0063278464553801275,0.0569550791950874,False
Chinchilla,0.1540940658441509,0.006322881070620975,0.05699871677981762,False
Chinchilla,0.1559285190089622,0.006317910098407413,0.0570424212710034,False
Chinchilla,0.15776297217377352,0.006312933530537676,0.05708619253297006,False
Chinchilla,0.15959742533858487,0.006307951358799156,0.05713003095030668,False
Chinchilla,0.1614318785033962,0.006302963574968318,0.057173936382909386,False
Chinchilla,0.1632663316682075,0.0062979701708104335,0.05721790938894683,False
Chinchilla,0.16510078483301882,0.006292971138079929,0.05726194983812402,False
Chinchilla,0.16693523799783014,0.006287966468520659,0.0573060578020378,False
Chinchilla,0.16876969116264146,0.006282956153864894,0.05735023405042468,False
Chinchilla,0.17060414432745277,0.006277940185834651,0.057394477966623225,False
Chinchilla,0.1724385974922641,0.006272918556140642,0.057438790149429465,False
Chinchilla,0.1742730506570754,0.006267891256482575,0.05748317059428744,False
Chinchilla,0.17610750382188672,0.006262858278550068,0.05752761936500467,False
Chinchilla,0.17794195698669807,0.006257819614020985,0.05757213696324219,False
Chinchilla,0.17977641015150939,0.006252775254562835,0.05761672318317796,False
Chinchilla,0.1816108633163207,0.006247725191831973,0.05766137856183473,False
Chinchilla,0.18344531648113202,0.006242669417474454,0.05770610287978453,False
Chinchilla,0.18527976964594334,0.006237607923125159,0.05775089638801637,False
Chinchilla,0.18711422281075465,0.0062325407004082175,0.05779575946055433,False
Chinchilla,0.18894867597556597,0.006227467740937126,0.05784069215890431,False
Chinchilla,0.1907831291403773,0.006222389036314542,0.05788569446576041,False
Chinchilla,0.1926175823051886,0.006217304578132465,0.05793076680526522,False
Chinchilla,0.19445203546999995,0.0062122143579722905,0.05797590919586913,False
Chinchilla,0.19628648863481127,0.0062071183674045904,0.05802112170924713,False
Chinchilla,0.19812094179962259,0.006202016597989118,0.05806640465044963,False
Chinchilla,0.1999553949644339,0.006196909041275173,0.05811175821861497,False
Chinchilla,0.20178984812924522,0.006191795688801538,0.0581571824847404,False
Chinchilla,0.20362430129405654,0.006186676532096081,0.05820267783603208,False
Chinchilla,0.20545875445886785,0.006181551562676388,0.0582482437417742,False
Chinchilla,0.20729320762367917,0.0061764207720490195,0.05829388144841021,False
