block,cell,estimator,param,stat,v1,v2,diff
summary,iso4,dual,alpha,q05,0.2968927137041278,0.2968927149849719,1.280844097450995e-09
summary,iso4,dual,alpha,q95,0.4049791026029689,0.40497909772083956,-4.8821293119338804e-09
summary,iso4,dual,beta,bias,0.0016880204129708,0.0016880207338233202,3.2085252011683496e-10
summary,iso4,dual,beta,median_bias,0.0002779649963669,0.0002779636705759758,-1.3257909242019375e-09
summary,iso4,dual,beta,rmse,0.033279576145445,0.033279576210004984,6.455998236010174e-11
summary,iso4,dual,beta,mae,0.0222035808599371,0.022203579736627205,-1.123309896489122e-09
summary,iso4,dual,beta,q05,0.3189762060486548,0.31897620650480885,4.561540589698154e-10
summary,iso4,dual,beta,q95,0.4223322230132302,0.4223322224221805,-5.910497091754507e-10
summary,iso4,dual,a,bias,-0.0005256076208208,-0.000525607620820859,-5.898059818321144e-17
summary,iso4,dual,a,median_bias,-0.0006671634272951,-0.0006671634272951699,-6.982261990806649e-17
summary,iso4,dual,a,rmse,0.01785625029352,0.01785625029352004,3.8163916471489756e-17
summary,iso4,dual,a,mae,0.0098149013735371,0.009814901373537133,3.2959746043559335e-17
summary,iso4,dual,a,q05,0.4856843520065657,0.4856843520065657,0.0
summary,iso4,dual,a,q95,0.5356225007744747,0.5356225007744747,0.0
summary,iso4,dual,gamma,bias,0.0007937860997597,0.0007937862566101372,1.5685043726083175e-10
summary,iso4,dual,gamma,median_bias,-7.909812108053416e-05,-7.909831483476903e-05,-1.9375423487844046e-10
summary,iso4,dual,gamma,rmse,0.0150652023904799,0.015065202419342337,2.8862436746157627e-11
summary,iso4,dual,gamma,mae,0.0100142641440912,0.010014263814177929,-3.299132703138419e-10
summary,iso4,dual,gamma,q05,0.1540520135838682,0.15405201479248468,1.2086164846714098e-09
summary,iso4,dual,gamma,q95,0.2036961545215269,0.20369615466772487,1.4619797039649995e-10
summary,iso4,dual,sigma_star,bias,-0.0007414732313939,-0.0007414734010366207,-1.6964272066093133e-10
summary,iso4,dual,sigma_star,median_bias,-0.0003307625828313,-0.0003307601426457696,2.44018553041854e-09
summary,iso4,dual,sigma_star,rmse,0.0163476746712166,0.01634767468084288,9.626282410080123e-12
summary,iso4,dual,sigma_star,mae,0.0109063042777051,0.010906304275399792,-2.3053087216950985e-12
summary,iso4,dual,sigma_star,q05,0.7100461452304367,0.7100461450826037,-1.4783307911159227e-10
summary,iso4,dual,sigma_star,q95,0.7644406186044076,0.764440617009449,-1.5949586096297708e-09
summary,iso4,dual,lnMstar,bias,0.0175691468306216,0.017569146830621687,8.673617379884035e-17
summary,iso4,dual,lnMstar,median_bias,0.0172322971886589,0.01723229718865893,2.7755575615628914e-17
summary,iso4,dual,lnMstar,rmse,0.3613993780270289,0.3613993780270289,0.0
summary,iso4,dual,lnMstar,mae,0.1982495623750746,0.19824956237507463,2.7755575615628914e-17
summary,iso4,dual,lnMstar,q05,2.4139500787822095,2.4139500787822095,0.0
summary,iso4,dual,lnMstar,q95,3.451202971515989,3.451202971515989,0.0
summary,fact,primal,alpha,bias,0.0010908337559259,0.0010908338261629812,7.023708112514904e-11
summary,fact,primal,alpha,median_bias,0.0009953154162279,0.0009953142208463384,-1.195381561748185e-09
summary,fact,primal,alpha,rmse,0.0127501060332287,0.012750106132285121,9.90564210517908e-11
summary,fact,primal,alpha,mae,0.0083797198844468,0.008379719884446857,5.724587470723463e-17
summary,fact,primal,alpha,q05,0.328261773038957,0.32826177303895704,5.551115123125783e-17
summary,fact,primal,alpha,q95,0.370273518951452,0.37027351845516443,-4.962875665981414e-10
summary,fact,primal,alpha,wald_cover,0.946,0.946,0.0
summary,fact,primal,alpha,boot_cover,0.94,0.94,0.0
summary,fact,primal,alpha,corner_share,0.0,0.0,0.0
summary,fact,primal,beta,bias,-0.0001206657228597,-0.00012066577635388875,-5.34941887471831e-11
summary,fact,primal,beta,median_bias,3.941876937785249e-05,3.941876937785249e-05,0.0
summary,fact,primal,beta,rmse,0.0124485711332099,0.01244857108912689,-4.408300981195712e-11
summary,fact,primal,beta,mae,0.0088049392316594,0.008804939231659453,5.377642775528102e-17
summary,fact,primal,beta,q05,0.3455684248780118,0.3455684277955484,2.917536601199089e-09
summary,fact,primal,beta,q95,0.3840636856409202,0.3840636910722705,5.431350313944705e-09
summary,fact,primal,beta,wald_cover,0.954,0.954,0.0
summary,fact,primal,beta,boot_cover,0.96,0.96,0.0
summary,fact,primal,beta,corner_share,0.0,0.0,0.0
summary,fact,primal,a,bias,-0.0008514289851502,-0.0008514290686025621,-8.345236209971602e-11
summary,fact,primal,a,median_bias,-0.0011806487512195,-0.001180648751219593,-9.280770596475918e-17
summary,fact,primal,a,rmse,0.0121267793239699,0.012126779289525255,-3.444464505286682e-11
summary,fact,primal,a,mae,0.0075943396731361,0.007594339673136108,7.806255641895632e-18
summary,fact,primal,a,q05,0.4925542389027317,0.49255423911342566,2.1069396227701986e-10
summary,fact,primal,a,q95,0.5321227782916141,0.5321227782635967,-2.8017477227137988e-11
summary,fact,primal,a,wald_cover,0.954,0.954,0.0
summary,fact,primal,a,boot_cover,0.94,0.94,0.0
summary,fact,primal,a,corner_share,0.0,0.0,0.0
summary,fact,primal,gamma,bias,0.0001531431556346,0.00015314316192201866,6.287418665134464e-12
summary,fact,primal,gamma,median_bias,0.0003293996094737,0.0003293999285084309,3.1903473092509405e-10
summary,fact,primal,gamma,rmse,0.0046041255578784,0.004604125587763952,2.9885551498798346e-11
summary,fact,primal,gamma,mae,0.0029987733919721,0.002998773391972173,7.32920668600201e-17
summary,fact,primal,gamma,q05,0.1706170092703109,0.17061700927031095,5.551115123125783e-17
summary,fact,primal,gamma,q95,0.1859582499106894,0.18595824991068946,5.551115123125783e-17
summary,fact,primal,gamma,wald_cover,0.952,0.952,0.0
summary,fact,primal,gamma,boot_cover,0.96,0.96,0.0
summary,fact,primal,gamma,corner_share,0.0,0.0,0.0
summary,fact,primal,sigma_star,bias,-0.0002298507504234,-0.00022985075453516845,-4.111768461519463e-12
summary,fact,primal,sigma_star,median_bias,-0.0005323704210125,-0.000532371159884637,-7.388721369764803e-10
summary,fact,primal,sigma_star,rmse,0.0049782425213328,0.004978242553215787,3.188298756950925e-11
summary,fact,primal,sigma_star,mae,0.0032053359354695,0.0032053357415905426,-1.9387895759323537e-10
summary,fact,primal,sigma_star,q05,0.7288841436670639,0.7288841436670639,0.0
summary,fact,primal,sigma_star,q95,0.7451693931080556,0.7451693944509639,1.3429082290628003e-09
summary,fact,primal,sigma_star,wald_cover,0.946,0.946,0.0
summary,fact,primal,sigma_star,boot_cover,0.9666666666666668,0.9666666666666667,-1.1102230246251565e-16
summary,fact,primal,sigma_star,corner_share,0.0,0.0,0.0
