gC,sigma,scenario,spec,stock,year,C,m_D,w_sigma,D_w,U,r_obs,r_opt,life_penalty,train_penalty,N_ratio,ratio_proc,ratio_proc_vs_w,w_hat_proc,shadow_usd_per_Mtok,epochs,s_true_c,s_hat_proc,extra_life_usd_bn
hat,0.7,trend,D15,22T,2028.0,7.3913872517505e+27,3.1350093052399366,2.6628553291247434,494836121829063.4,26741137500000.004,18.504677365690345,5.90259089016455,0.21706884776044655,0.055194674883675354,1.3144159651203042,0.7023599619315966,0.8101068456163263,2.15719733100987,200.36845564140938,14.855295077711395,0.6744108886863893,0.5364355473535376,4.338253467676305
hat,0.7,trend,D15,22T,2028.5,1.6629498835000692e+28,4.499030254859706,3.6292443696284713,1062056792446699.6,27401511938825.598,38.75905807014452,8.614980534589257,0.3638296281128295,-0.002826288626769813,1.5032825907111327,0.5153852587296555,0.7048899080784271,2.5582177301015623,965.2412946684591,25.710078746307634,0.7985373751947241,0.6091028577304483,22.296532513539667
hat,0.7,trend,D15,22T,2029.0,3.741384696598062e+28,6.456527322043733,4.946350089101268,2279471082694778.0,28078194375000.008,81.1829654090703,12.573781749811111,0.5688762695931993,-0.14024159922424528,1.7485658188746565,0.3184708283097706,0.5811415446968192,2.8745295313915604,4356.65208396958,39.91713423476172,0.8892094080676921,0.6521169850302774,106.90030085077184
hat,0.7,trend,D15,22T,2030.0,1.893820330496557e+29,13.297167887387415,9.188024199570016,1.0500422640197986e+16,29482104093750.008,356.1625929685256,26.78484591492236,1.103242764502272,-0.5279594809573738,2.3024608182966544,0.07963357982017619,0.3548185882599521,3.2600817753897093,70283.80173227545,73.01890825347763,0.9755731342626653,0.6932592281736675,1949.2874450318013
hat,0.7,trend,D15,22T,2031.0,9.586171257564732e+29,27.385414016864818,17.067087280759573,4.837037699659495e+16,30956209298437.51,1562.541993765251,57.05745375267971,1.640618342880539,-0.8083990729435699,2.793042822378875,0.014804698362454235,0.20403637214759585,3.48230657189256,899911.4811287675,107.18936787193064,0.9957485941984688,0.7128340140780537,27255.61893367675
hat,0.7,trend,D15,490T,2026.7282683093772,9.398037560015233e+26,1.2508928117367921,1.2115225766119495,70929895287991.31,559765558097232.94,0.1267135754638026,0.10129850797357141,0.0,0.0,1.0,1.0,1.0,1.2115225766119495,0.0,0.1267135754638026,,,
hat,0.7,trend,D15,490T,2027.0,1.4602242200599083e+27,1.5222243868442225,1.4335415763376376,107420879047675.0,567236250000000.0,0.18937590650751782,0.12440735291340309,0.0,0.0,1.0,1.0,1.0,1.4335415763376376,0.0,0.18937590650751782,,,
hat,0.7,trend,D15,490T,2027.5,3.285282740472747e+27,2.184533729979877,1.9537947246506127,230555267108388.94,581244192641755.1,0.3966581860551847,0.18157567475913433,0.0,0.0,1.0,1.0,1.0,1.9537947246506127,0.0,0.3966581860551847,,,
hat,0.7,trend,D15,490T,2028.0,7.3913872517505e+27,3.1350093052399366,2.6628553291247434,494836121829063.4,595598062500000.1,0.8308222490718113,0.2650142848645308,0.0,0.0,1.0,1.0,1.0,2.6628553291247434,0.0,0.8308222490718113,,,
hat,0.7,trend,D15,490T,2028.5,1.6629498835000692e+28,4.499030254859706,3.6292443696284713,1062056792446699.6,610306402273842.9,1.7402026072309782,0.38679504441012996,0.0026924555036351716,-0.01491376593047744,1.0093887602052785,0.9683391028149755,0.985646006594393,3.577150219879488,0.9992649940440018,1.6983046576885839,0.7292987313103115,0.7204478597396758,0.16500146507981306
hat,0.7,trend,D15,490T,2029.0,3.741384696598062e+28,6.456527322043733,4.946350089101268,2279471082694778.0,625377965625000.1,3.644949467346014,0.5645371397874377,0.012108230966192401,-0.033140853251908964,1.0235742902859337,0.9229619972928768,0.9661566914591135,4.778949236884573,6.394139117242604,3.4429867625471617,0.8068692610983745,0.7907489804909695,2.2753164479548427
hat,0.7,trend,D15,490T,2030.0,1.893820330496557e+29,13.297167887387415,9.188024199570016,1.0500422640197986e+16,656646863906250.2,15.990973561852167,1.202584918629167,0.04742192348246688,-0.1315784697332899,1.0692831672761962,0.736817341025841,0.8886912745651296,8.165316936651132,142.73634795880676,12.987117122971757,0.9097625546268099,0.87753077954496,83.78841270292426
hat,0.7,trend,D15,490T,2031.0,9.586171257564732e+29,27.385414016864818,17.067087280759573,4.837037699659495e+16,689479207101562.8,70.154946658848,2.56176322971215,0.11024167093141313,-0.41806308137765913,1.1431228486506455,0.37031250652816433,0.7064964652662702,12.057836836247557,2401.4648168579806,35.71423100584146,0.9692886450897268,0.9170663848266831,1831.4466533653597
hat,0.7,trend,D3,100T,2026.7282683093772,9.398037560015233e+26,1.2508928117367921,1.2115225766119495,70929895287991.31,114237868999435.28,0.6208965197726328,0.49636268907049996,0.0,0.0,1.0,1.0,1.0,1.2115225766119495,0.0,0.6208965197726328,,,
hat,0.7,trend,D3,100T,2027.0,1.4602242200599083e+27,1.5222243868442225,1.4335415763376376,107420879047675.0,115762500000000.02,0.9279419418868371,0.609596029275675,0.0,0.0,1.0,1.0,1.0,1.4335415763376376,0.0,0.9279419418868371,,,
