uid,model,dev,year,gen,N,D,M,Cmp,dlo,dhi,Mstar_hi_eff,Mstar_lo_eff,binding_upper,binding_lower,tau_break,sign_tau1
B:allenai/OLMo-2-1124-13B,OLMo-2-1124-13B,AI2,2024,OLMo-2,13716198400.0,5150000000000.0,375.46846799766325,4.2383053056e+23,0.6498544244731015,4.107273366958128,196.04026461275836,6.177422586923931,Marin,Llama 3,1.9152619934447266,w>1
B:huggyllama/llama-65b,llama-65b,Meta,2023,Llama,65285665792.0,1400000000000.0,21.444217241505925,5.483995926528e+23,-2.283643505781073,1.2696555528177709,210.41852474166936,6.024288997738782,Marin,Llama 3,1.0,not identified
B:ibm-granite/granite-3.0-8b-base,granite-3.0-8b-base,IBM,2024,Granite-3.0,8170835968.0,12000000000000.0,1468.6379762115425,5.88300189696e+23,1.9236917424328306,5.503138498913268,214.51913911592348,5.98318003205773,Marin,Llama 3,6.8461862296487626,w>1
B:marin-community/marin-8b-base,marin-8b-base,Marin,2025,Marin,8030261248.0,12700000000000.0,1581.5176627239912,6.119059070976e+23,1.9869285683127496,5.581024461704137,216.85125175410357,5.960269804807173,Marin,Llama 3,7.293099071050501,w>1
B:01-ai/Yi-34B,Yi-34B,01.AI,2023,Yi,34388917248.0,3000000000000.0,87.23740786501426,6.19000510464e+23,-0.913746901290402,2.6846417476703532,217.5394317487856,5.953572624948455,Marin,Llama 3,1.0,not identified
B:tiiuae/Falcon3-7B-Base,Falcon3-7B-Base,TII,2024,Falcon3,7455550464.0,14000000000000.0,1877.7956191968176,6.26266238976e+23,2.152266108775624,5.755000512375053,218.23832860368535,5.9468003136646495,Marin,Llama 3,8.604334679481722,w>1
B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,Meta,2024,Llama-3 herd,8030261248.0,15000000000000.0,1867.9342473118006,7.2272351232e+23,2.107617754478965,5.763711652591255,227.00468684860712,5.864262721774286,Marin,Llama 3,8.22861533496687,w>1
B:swiss-ai/Apertus-8B-2509,Apertus-8B-2509,Swiss AI,2025,Apertus,8053338176.0,15000000000000.0,1862.5816614409612,7.2480043584e+23,2.103959065351141,5.761122096076583,227.18387895148467,5.862620560694391,Marin,Llama 3,8.198564396546452,w>1
B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,2024,DeepSeek-LLM,67000000000.0,2000000000000.0,29.850746268656717,8.04e+23,-2.0580688617190335,1.637736529864685,233.75620233497645,5.803570376336684,Marin,Llama 3,1.0,not identified
B:Qwen/Qwen2.5-7B,Qwen2.5-7B,Alibaba,2024,Qwen2.5,7615616512.0,18000000000000.0,2363.564390569986,8.22486583296e+23,2.307394763614031,6.011672528224368,235.2223718672343,5.790702217817143,Marin,Llama 3,10.048212556516706,w>1
B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,Meta,2023,Llama-2,68976653312.0,2000000000000.0,28.99531803831451,8.27719839744e+23,-2.0951415269941442,1.6115001588193796,235.63309121624556,5.7871168325309075,Marin,Llama 3,1.0,not identified
B:Qwen/Qwen3-4B-Base,Qwen3-4B-Base,Alibaba,2025,Qwen3,4022468096.0,36000000000000.0,8949.729156534248,8.68853108736e+23,3.623761730103137,7.3484808399261485,238.79771645001946,5.759770954336983,Marin,Llama 3,37.4782861812141,w>1
B:allenai/Olmo-3-1125-32B,Olmo-3-1125-32B,AI2,2025,Olmo-3,32233522176.0,5600000000000.0,173.73217762002974,1.0830463451136e+24,-0.37873542249621917,3.4281490549727938,253.7248283541643,5.637078018101075,Marin,Llama 3,1.0,not identified
B:allenai/OLMo-2-0325-32B,OLMo-2-0325-32B,AI2,2025,OLMo-2,32234279936.0,6150000000000.0,190.79067415839916,1.1894449296384e+24,-0.31086707612106057,3.5309730150095837,260.35444597119493,5.585667071532855,Marin,Llama 3,1.0,not identified
B:Qwen/Qwen-72B,Qwen-72B,Alibaba,2023,Qwen,72287920128.0,3000000000000.0,41.50070986532617,1.301182562304e+24,-1.8610522374102034,2.0142880890424615,266.870299226758,5.536831707633325,Marin,Llama 3,1.0,not identified
B:Qwen/Qwen2.5-14B,Qwen2.5-14B,Alibaba,2024,Qwen2.5,14770033664.0,18000000000000.0,1218.6837491015756,1.595163635712e+24,1.4626665322394619,5.414037162358662,282.2688904543447,5.427559029778518,Marin,Llama 3,4.317456830400126,w>1
B:Qwen/Qwen3-8B-Base,Qwen3-8B-Base,Alibaba,2025,Qwen3,8190735360.0,36000000000000.0,4395.209760506778,1.76919883776e+24,2.716885178460295,6.706918979520704,290.43661438557297,5.372812726224473,Marin,Llama 3,15.133111814448641,w>1
B:google/gemma-2-27b,gemma-2-27b,Google,2024,Gemma-2,27227128320.0,13000000000000.0,477.464969761453,2.12371600896e+24,0.4467795064586877,4.505028526786433,305.42715011549956,5.277551550590947,Marin,Llama 3,1.5632695704389608,w>1
B:Qwen/Qwen2-72B,Qwen2-72B,Alibaba,2024,Qwen2,72706203648.0,7000000000000.0,96.27789168981808,3.053660553216e+24,-1.2545926702153487,2.9393776820245083,337.5897447024973,5.092969365962082,Marin,Llama 3,1.0,not identified
B:Qwen/Qwen3-14B-Base,Qwen3-14B-Base,Alibaba,2025,Qwen3,14768307200.0,36000000000000.0,2437.6524345322396,3.1899543552e+24,1.9649174085781542,6.175212623261719,341.6795568581588,5.071203240046943,Marin,Llama 3,7.134323331917047,w>1
B:Qwen/Qwen2.5-32B,Qwen2.5-32B,Alibaba,2024,Qwen2.5,32763876352.0,18000000000000.0,549.3855429869253,3.538498646016e+24,0.4463267604738119,4.695395337476698,351.5928038220906,5.019875445053801,Marin,Llama 3,1.5625619666121486,w>1
B:tiiuae/falcon-180B,falcon-180B,TII,2023,Falcon,179522565120.0,3500000000000.0,19.49615636151623,3.76997386752e+24,-2.9097355597038246,1.3630300074489798,357.79238792333103,4.988759736280576,Marin,Llama 3,1.0,not identified
B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,Meta,2024,Llama-3 herd,70553706496.0,15000000000000.0,212.60399694026586,6.34983358464e+24,-0.6644014488536802,3.8034400449252956,413.15908597947276,4.739782369708413,Marin,Llama 3,1.0,not identified
B:swiss-ai/Apertus-70B-2509,Apertus-70B-2509,Swiss AI,2025,Apertus,70599864480.0,15000000000000.0,212.46499707162045,6.3539878032e+24,-0.6652360155812636,3.802850295587973,413.23369100305723,4.739477793763671,Marin,Llama 3,1.0,not identified
B:Qwen/Qwen2.5-72B,Qwen2.5-72B,Alibaba,2024,Qwen2.5,72706203648.0,18000000000000.0,247.57172148810363,7.852269993984e+24,-0.5707720166687302,3.9765813528872593,438.11101645597694,4.641877745628872,Marin,Llama 3,1.0,not identified
B:meta-llama/Llama-3.1-405B,Llama-3.1-405B,Meta,2024,Llama-3 herd,405853388800.0,15600000000000.0,38.437525546170825,3.798787719168e+25,-2.869193431253506,2.2691162702032543,677.3767662911927,3.9745754603668955,Marin,Llama 3,1.0,not identified
