design,budget_C,c,n_budget,nwin,nleft,nright,xstar,Nstar,Mstar,Lstar,curv,slope,S,sigma,sigma_pop,se_sigma,lo_sigma,hi_sigma,se_curv,se_slope,weight,share_nonconvex_draws
"Porian, OpenWebText2",2.5e+16,37.75765221977888,9,6,3,3,16.572724110820413,15755878.801335437,16.784310125130883,4.118784720114501,0.7495484476211856,-0.28693680128905336,2.6122422925670943,0.4336285635347302,0.4022927805622317,0.05599573600140045,0.3547822630340138,0.5732465485691791,0.15573830732428282,0.012076722087669182,0.019981884024774247,0.0
"Porian, OpenWebText2",5e+16,38.45079940033883,9,5,3,2,16.929980957244226,22521499.79205009,16.429492067388345,3.9381980183589516,0.5582207568489177,-0.26116868083283895,2.137395475861851,0.4833958976530724,0.47270505183407774,0.03361293930864094,0.43303036053362415,0.5627674312534923,0.07263113387479012,0.006363283840836224,0.15903466243941664,0.0
"Porian, OpenWebText2",1e+17,39.14394658089878,14,5,3,2,17.22633933421652,30290337.77212804,18.165213940719333,3.761190416322098,0.5221840060134864,-0.23814295826482462,2.1927333473064383,0.4770157876328747,0.4489225491218157,0.046311123457409537,0.40080733872025465,0.5777927171266389,0.09656265274474592,0.0039730799060212225,0.04002906887192468,0.0
"Porian, OpenWebText2",2e+17,39.837093761458725,13,7,4,3,17.55551681734112,42098253.67300642,18.808345060576215,3.6094607844751847,0.43181894277574473,-0.21895910703738802,1.9721442447333792,0.5035063876775817,0.47616208966458845,0.03898843349789649,0.44387374511984795,0.5823804050568282,0.06415771394803502,0.004384879232521279,0.07943881363541994,0.0
"Porian, OpenWebText2",4e+17,40.530240942018665,12,7,4,3,17.88928601931595,58778460.00538771,19.296224097595825,3.4610213289072354,0.3993176109312012,-0.20197452844751812,1.9770691581783368,0.5028828819552345,0.5036142468937224,0.03563660542910837,0.4470787660790568,0.5816306589092459,0.053502893292111636,0.0046688479866437,0.08967656460852057,0.0
"Porian, OpenWebText2",8e+17,41.22338812257861,11,6,3,3,18.28118139277641,86979358.75472094,17.624075048398353,3.3295200687373585,0.3303472523198697,-0.18778138069168177,1.759211968210346,0.5320263972643562,0.5045440430587363,0.04635840007942292,0.42482112318393556,0.5997960045962585,0.059872846604404055,0.004334698413824804,0.1580293784525222,0.0
"Porian, OpenWebText2",1.6e+18,41.91653530313856,10,5,3,2,18.696764706475804,131795851.85048248,15.352010166919037,3.202994581359405,0.27094724776246015,-0.17548761359633294,1.5439679314672838,0.5643391923052627,0.58249139416666,0.07787018865311246,0.4503770329492332,0.7651633806934764,0.08444406307706377,0.0033988226598350253,0.029981458032784382,0.001001001001001001
"Porian, OpenWebText2",3.2e+18,42.609682483698506,9,5,3,2,19.026838039599735,183337273.58980185,15.867086547089423,3.0796882299869313,0.2850498656732032,-0.16484320160175328,1.729218207990516,0.5363054368110299,0.5153001210721108,0.06235497765071601,0.45583096507474263,0.7349795239292717,0.06917493320701396,0.002832598345474572,0.04197497517283454,0.0
"Porian, OpenWebText2",6.4e+18,43.30282966425845,8,6,3,3,19.32362589488259,246685769.12205666,17.52832958159263,2.967345127108983,0.3002055067097164,-0.15611477088511166,1.9229795169775723,0.509816579807402,0.4764542226361517,0.047565969159327336,0.4373261896252308,0.6092844890321767,0.053587896369592374,0.004130997373337945,0.04793161731915975,0.0
"Porian, OpenWebText2",1.28e+19,43.995976844818394,7,6,3,3,19.684102893428516,353750667.3524081,17.04763677810724,2.86373880607155,0.27218639772342257,-0.14903918331483149,1.8262740822220824,0.5227017085086895,0.5205847710890832,0.03475230051903887,0.44139257382637304,0.5790780764034655,0.0368240684280826,0.007111690266203013,0.16601504462740627,0.0
"Porian, OpenWebText2",2.56e+19,44.68912402537834,6,5,3,2,20.12841959134723,551647377.5595782,14.02056770722194,2.7666186240735926,0.20933106753396225,-0.14337687313071573,1.4600058082108998,0.5780337117509523,0.5811527163277004,0.050641136088689295,0.49474350336876793,0.6982860815740806,0.04502145727478517,0.011062743314077257,0.07938182411663045,0.0
