design,variant,spec,M_bin,delta
Llama 3,h x 0.75,chin_M100,"256-1,024",-1.01062
Llama 3,h x 0.75,chin_M100,">=1,024",
Llama 3,h x 0.75,chin_M100,M>=256,-1.01062
Llama 3,h x 0.75,chin_full,"256-1,024",-0.96307
Llama 3,h x 0.75,chin_full,">=1,024",
Llama 3,h x 0.75,chin_full,M>=256,-0.96307
Llama 3,h x 0.75,kappa_M100,"256-1,024",-0.384441
Llama 3,h x 0.75,kappa_M100,">=1,024",
Llama 3,h x 0.75,kappa_M100,M>=256,-0.384441
Llama 3,h x 0.75,convexity b2,,-0.0516006
Llama 3,h x 0.75,"convexity b2, M < 1,024",,-0.0516006
Llama 3,h x 1.5,kappa_full,"256-1,024",-0.854918
Llama 3,h x 1.5,kappa_full,">=1,024",
Llama 3,h x 1.5,kappa_full,M>=256,-0.854918
Llama 3,h x 1.5,chin_M100,"256-1,024",-1.45544
Llama 3,h x 1.5,chin_M100,">=1,024",
Llama 3,h x 1.5,chin_M100,M>=256,-1.45544
Llama 3,h x 1.5,chin_full,"256-1,024",-1.34456
Llama 3,h x 1.5,chin_full,">=1,024",
Llama 3,h x 1.5,chin_full,M>=256,-1.34456
Llama 3,h x 1.5,kappa_M100,"256-1,024",-0.827216
Llama 3,h x 1.5,kappa_M100,">=1,024",
Llama 3,h x 1.5,kappa_M100,M>=256,-0.827216
Llama 3,h x 1.5,convexity b2,,0.0100582
Llama 3,h x 1.5,"convexity b2, M < 1,024",,0.0100582
Llama 3,h_x x 0.75,kappa_full,"256-1,024",-0.356027
Llama 3,h_x x 0.75,kappa_full,">=1,024",
Llama 3,h_x x 0.75,kappa_full,M>=256,-0.356027
Llama 3,h_x x 0.75,chin_M100,"256-1,024",-0.873218
Llama 3,h_x x 0.75,chin_M100,">=1,024",
Llama 3,h_x x 0.75,chin_M100,M>=256,-0.873218
Llama 3,h_x x 0.75,chin_full,"256-1,024",-0.82567
Llama 3,h_x x 0.75,chin_full,">=1,024",
Llama 3,h_x x 0.75,chin_full,M>=256,-0.82567
Llama 3,h_x x 0.75,kappa_M100,"256-1,024",-0.247041
Llama 3,h_x x 0.75,kappa_M100,">=1,024",
Llama 3,h_x x 0.75,kappa_M100,M>=256,-0.247041
Llama 3,h_x x 0.75,convexity b2,,-0.0397858
Llama 3,h_x x 0.75,"convexity b2, M < 1,024",,-0.0397858
Llama 3,h_c x 1.5,kappa_full,"256-1,024",-0.262861
Llama 3,h_c x 1.5,kappa_full,">=1,024",
Llama 3,h_c x 1.5,kappa_full,M>=256,-0.262861
Llama 3,h_c x 1.5,chin_M100,"256-1,024",-0.780051
Llama 3,h_c x 1.5,chin_M100,">=1,024",
Llama 3,h_c x 1.5,chin_M100,M>=256,-0.780051
Llama 3,h_c x 1.5,chin_full,"256-1,024",-0.732503
Llama 3,h_c x 1.5,chin_full,">=1,024",
Llama 3,h_c x 1.5,chin_full,M>=256,-0.732503
Llama 3,h_c x 1.5,kappa_M100,"256-1,024",-0.153874
Llama 3,h_c x 1.5,kappa_M100,">=1,024",
Llama 3,h_c x 1.5,kappa_M100,M>=256,-0.153874
Llama 3,h_c x 1.5,convexity b2,,-0.0270959
Llama 3,h_c x 1.5,"convexity b2, M < 1,024",,-0.0270959
Llama 3,n_eff >= 10,kappa_full,"256-1,024",-0.37837
Llama 3,n_eff >= 10,kappa_full,">=1,024",
Llama 3,n_eff >= 10,kappa_full,M>=256,-0.37837
Llama 3,n_eff >= 10,chin_M100,"256-1,024",-0.895561
Llama 3,n_eff >= 10,chin_M100,">=1,024",
Llama 3,n_eff >= 10,chin_M100,M>=256,-0.895561
Llama 3,n_eff >= 10,chin_full,"256-1,024",-0.848013
Llama 3,n_eff >= 10,chin_full,">=1,024",
Llama 3,n_eff >= 10,chin_full,M>=256,-0.848013
Llama 3,n_eff >= 10,kappa_M100,"256-1,024",-0.269384
Llama 3,n_eff >= 10,kappa_M100,">=1,024",
Llama 3,n_eff >= 10,kappa_M100,M>=256,-0.269384
Llama 3,n_eff >= 10,convexity b2,,-0.0292437
Llama 3,n_eff >= 10,"convexity b2, M < 1,024",,-0.0292437
Llama 3,n_eff >= 6,kappa_full,"256-1,024",-0.37837
Llama 3,n_eff >= 6,kappa_full,">=1,024",
