truth,noise_sd,rho_trunk,statistic,corpus,conv,n_rep,mean,mc_se_of_mean,sd
chin,0.0075,0.0,mean_main,edu,T,150,-0.057683083471940684,0.015331500002602161,0.18777175998927131
chin,0.0075,0.5,mean_main,edu,T,500,-0.07644275233017117,0.006006242730399744,0.1343036703453777
chin,0.0075,0.9,mean_main,edu,T,150,-0.05465193124923026,0.005814186022722388,0.07120894512645906
chin,0.01,0.0,mean_main,edu,T,150,-0.12505539077016517,0.020150487374074825,0.2467920606743911
chin,0.01,0.5,mean_main,edu,T,500,-0.09167180990860437,0.007826136805402137,0.17499773898092222
chin,0.01,0.9,mean_main,edu,T,150,-0.06984422096292714,0.008141280055964453,0.09970990995105093
chin,0.015,0.0,mean_main,edu,T,150,-0.16765162566407515,0.028136059534408203,0.34459494615934866
chin,0.015,0.5,mean_main,edu,T,500,-0.12563910690131905,0.012042384385939204,0.26927590098142123
chin,0.015,0.9,mean_main,edu,T,150,-0.04517185297585758,0.012948855161229338,0.1585904394910814
kappa36,0.0,0.5,mean_main,edu,T,1,-0.78392302132292,,
kappa36,0.005,0.5,mean_main,edu,T,150,-0.8534781162350028,0.020728217248884254,0.2538677776866166
kappa60,0.0,0.5,mean_main,edu,T,1,-0.4984279716790805,,
kappa60,0.005,0.5,mean_main,edu,T,150,-0.5795814344723317,0.014014862827071652,0.17164631370712632
chin,0.0,0.5,mean_main,web,T,1,-0.0452139092154905,,
chin,0.002,0.0,mean_main,web,T,150,-0.04790986926817189,0.0037544685156131142,0.04598266059298354
chin,0.002,0.5,mean_main,web,T,500,-0.04967150359108344,0.0017773435351164963,0.03974260963890271
chin,0.002,0.9,mean_main,web,T,150,-0.04914118474260343,0.0017314005899716305,0.02120523992892126
chin,0.005,0.0,mean_main,web,T,150,-0.08909130355964677,0.007955548293119624,0.0974351697110637
chin,0.005,0.5,mean_main,web,T,500,-0.06679386740547948,0.003520129901392599,0.07871249749143483
chin,0.005,0.9,mean_main,web,T,150,-0.061213906542790235,0.003917237275954535,0.04797616263749275
chin,0.0075,0.0,mean_main,web,T,150,-0.08277076567579021,0.012899111963933785,0.15798121223333791
chin,0.0075,0.5,mean_main,web,T,500,-0.06649495092217718,0.00501506080740344,0.11214016876649073
chin,0.0075,0.9,mean_main,web,T,150,-0.059404289078981286,0.005650521898789474,0.06920447716228272
chin,0.01,0.0,mean_main,web,T,150,-0.0836374720418088,0.014760432388167644,0.18077763866930627
chin,0.01,0.5,mean_main,web,T,500,-0.08125298967749651,0.0069357543890543605,0.15508818289168075
chin,0.01,0.9,mean_main,web,T,150,-0.06000849283161288,0.006955245953916384,0.08518401811326191
chin,0.015,0.0,mean_main,web,T,150,-0.0930232515688153,0.02748554746769602,0.33662783298450777
chin,0.015,0.5,mean_main,web,T,500,-0.07551562039356047,0.009868483620348853,0.22066600209943263
chin,0.015,0.9,mean_main,web,T,150,-0.058427517130107326,0.009911501734352162,0.1213906091693665
kappa36,0.0,0.5,mean_main,web,T,1,-0.7819312934472183,,
kappa36,0.005,0.5,mean_main,web,T,150,-0.8413630602309838,0.015987904762109845,0.19581104361691196
kappa60,0.0,0.5,mean_main,web,T,1,-0.4996962713242894,,
kappa60,0.005,0.5,mean_main,web,T,150,-0.5502960075525304,0.01043125792941463,0.12775629651213413
chin,0.0,0.5,slope,edu,P,1,-0.0063514071575409,,
chin,0.002,0.0,slope,edu,P,150,-0.025659853260262575,0.003890728601352026,0.04765149900482464
chin,0.002,0.5,slope,edu,P,500,-0.02272294716130172,0.0013353095096632663,0.029858428346089757
chin,0.002,0.9,slope,edu,P,150,-0.019548957872026918,0.0013300076640832192,0.0162892006549743
chin,0.005,0.0,slope,edu,P,150,-0.04445155090939797,0.006947307920808727,0.08508679745988652
chin,0.005,0.5,slope,edu,P,500,-0.05199045188140702,0.003121698367426824,0.06980329754816494
chin,0.005,0.9,slope,edu,P,150,-0.053270815584689914,0.0034110155976546414,0.04177623859464238
chin,0.0075,0.0,slope,edu,P,150,-0.04779291403738151,0.008460588135954598,0.10362061928466917
chin,0.0075,0.5,slope,edu,P,500,-0.06905671902428966,0.004167221067437435,0.0931818958405934
chin,0.0075,0.9,slope,edu,P,150,-0.06477178617634055,0.0051871666909428125,0.0635295580178549
chin,0.01,0.0,slope,edu,P,150,-0.08720628746113818,0.011704023275626934,0.14334442481471873
chin,0.01,0.5,slope,edu,P,500,-0.09206314256465034,0.005772276908456511,0.1290720355226109
chin,0.01,0.9,slope,edu,P,150,-0.07768565257279893,0.007006531065259785,0.08581212988422769
chin,0.015,0.0,slope,edu,P,150,-0.09802414694321072,0.01487315379063672,0.18215818826500693
chin,0.015,0.5,slope,edu,P,500,-0.10747759331105013,0.006845271214835768,0.15306491760795346
chin,0.015,0.9,slope,edu,P,150,-0.09442837835064398,0.010180629184434013,0.12468673381175094
kappa36,0.0,0.5,slope,edu,P,1,-0.194413641989845,,
kappa36,0.005,0.5,slope,edu,P,150,-0.3407661390939082,0.015132690609187713,0.18533685213958312
kappa60,0.0,0.5,slope,edu,P,1,-0.1253152977869521,,
kappa60,0.005,0.5,slope,edu,P,150,-0.25298867580787826,0.010960514279694659,0.1342383365187031
chin,0.0,0.5,slope,web,P,1,-0.0036680019463136,,
chin,0.002,0.0,slope,web,P,150,-0.015172799869235485,0.00233246766919301,0.028566778155308326
chin,0.002,0.5,slope,web,P,500,-0.014012927686442255,0.0010635644210096851,0.023782023438278614
chin,0.002,0.9,slope,web,P,150,-0.012372695928831013,0.0010798855753372232,0.013225843200840196
chin,0.005,0.0,slope,web,P,150,-0.024523600653181134,0.005280629190493223,0.06467423518777293
chin,0.005,0.5,slope,web,P,500,-0.03406961911158627,0.002237983254912023,0.05004282690489524
chin,0.005,0.9,slope,web,P,150,-0.028053242978955718,0.0028687320772062784,0.035134648989549294
chin,0.0075,0.0,slope,web,P,150,-0.04221185999659524,0.007003946425009948,0.08578047463532389
chin,0.0075,0.5,slope,web,P,500,-0.043505162451060626,0.0034606303841381997,0.07738204783934224
chin,0.0075,0.9,slope,web,P,150,-0.04557378512911014,0.004081449069179191,0.04998733815323189
chin,0.01,0.0,slope,web,P,150,-0.053875591020943074,0.007958743093822274,0.09747429786882059
chin,0.01,0.5,slope,web,P,500,-0.0450373451070675,0.004603062978285576,0.10292761724159186
chin,0.01,0.9,slope,web,P,150,-0.047972190148970896,0.00611765210827791,0.07492563044571313
chin,0.015,0.0,slope,web,P,150,-0.05044621258976411,0.013322167563325991,0.1631625639900289
chin,0.015,0.5,slope,web,P,500,-0.05554161743535286,0.005934505836785446,0.1326995846392153
chin,0.015,0.9,slope,web,P,150,-0.05289839200320738,0.007576012930381656,0.09278682982081297
kappa36,0.0,0.5,slope,web,P,1,-0.2017182764562861,,
kappa36,0.005,0.5,slope,web,P,150,-0.298363668434965,0.012350395190661397,0.15126083169421892
kappa60,0.0,0.5,slope,web,P,1,-0.1304073233125927,,
kappa60,0.005,0.5,slope,web,P,150,-0.2109581820907425,0.008599978249084232,0.1053277925464513
chin,0.0,0.5,slope,edu,T,1,0.1075034257926043,,
chin,0.002,0.0,slope,edu,T,150,0.11248670188634383,0.0017713669681040654,0.021694726095379226
chin,0.002,0.5,slope,edu,T,500,0.1113556223877721,0.0007645004708324586,0.01709475021611973
