family,model,year,N,N_total,D,M,moe,distilled,w,w_lo,w_hi,TD,TD_lo,TD_hi,T,CE,band_lo,band_hi,w_meta,w_farseer,wrel,TDrel,flagship,Mx_chin,Mx_farseer
OLMo-2,OLMo-2-0325-32B,2025,32234279936.0,32234279936.0,6150000000000.0,190.79067415839916,False,False,2.3446822189755876,1.7848274796642796,3.4165536282915103,4.034046656926763,2.3544824389928385,7.249660884874531,24809386940099.59,0.6127541258527295,0.22945249108935592,6.424992848503907,1.6358182204138902,2.0606363299720356,1.0,0.0,True,False,False
SmolLM2,SmolLM2-135M,2024,134515008.0,134515008.0,2000000000000.0,14868.229424630446,False,False,10.408842697994379,8.705632972668445,13.748735612993382,28.226528093983134,23.116898918005333,38.24620683898014,56453056187966.27,0.04338399455764639,4.926780196314936,14.676240227558742,6.173984494985552,7.150592368721978,1.293569156250021,0.8807074687500627,False,True,True
SmolLM2,SmolLM2-360M,2024,361821120.0,361821120.0,4000000000000.0,11055.186607127853,False,False,9.521053211233278,7.739100085564171,13.322770241741212,25.563159633699833,20.217300256692514,36.96831072522364,102252638534799.34,0.05296015235299891,4.69532534601276,14.959633326874247,5.501910574521174,6.54401632496345,1.1832382452508097,0.549714735752429,False,True,True
SmolLM2,SmolLM2-1.7B,2024,1711376384.0,1711376384.0,11000000000000.0,6427.574964128989,False,False,8.046607054368078,6.21387596514263,12.074987125037666,21.139821163104234,15.641627895427888,33.224961375113,232538032794146.56,0.07638345818059797,4.010223416646109,14.974148399511755,4.502124535083607,5.672997891928028,1.0,0.0,True,True,True
Phi-3,Phi-3-mini-4k-instruct,2024,3821079552.0,3821079552.0,4900000000000.0,1282.360111407594,False,False,4.523838559363892,3.549393588793786,6.5438959184838135,10.571515678091675,7.648180766381358,16.63168775545144,51800426822649.21,0.23582928184932375,2.6905908431258734,9.301147237618322,2.8934623970139492,3.512033234641689,1.580235928118847,1.7407077843565408,False,True,True
Phi-3,Phi-3-small-8k-instruct,2024,7392274432.0,7392274432.0,4800000000000.0,649.3265427513825,False,False,3.570119191077462,2.7836743685030463,5.143659673364632,7.710357573232386,5.351023105509139,12.430979020093897,37009716351515.45,0.34893965009636935,2.170643460139716,8.005641406496212,2.3699285684078717,2.9032893033991454,1.2470892891899512,0.7412678675698536,False,True,False
Phi-3,Phi-3-medium-4k-instruct,2024,13960238080.0,13960238080.0,4800000000000.0,343.8336776560189,False,False,2.8627614895132667,2.222631933429442,4.13206528712376,5.5882844685398005,3.667895800288326,9.39619586137128,26823765448991.04,0.47989700518941775,1.6283887948805134,6.980235183282128,1.9652344432305768,2.406360231436125,1.0,0.0,True,True,False
Pythia,pythia-160m,2023,162323040.0,162323040.0,299892736000.0,1847.505665246289,False,False,4.858307873417265,4.298859616547807,5.8014567689231775,11.574923620251795,9.89657884964342,14.404370306769533,3471235513468.3354,0.20766920894290616,3.0065406369014926,7.108941981967891,3.6065087021425883,4.212711775677607,4.437178684498833,10.3115360534965,False,True,True
Pythia,pythia-1b,2023,1011782144.0,1011782144.0,299892736000.0,296.4005025967329,False,False,2.5732086516899715,2.2346235999034265,3.1168122802348543,4.7196259550699144,3.7038707997102795,6.350436840704563,1415381540562.5298,0.5498019605466468,1.9339911164618815,4.359460977052719,2.1039293332836007,2.241944527100613,2.3501570665211062,4.050471199563319,False,False,False
Pythia,pythia-12b,2023,11846072896.0,11846072896.0,299892736000.0,25.315793565753182,False,False,1.0949092247264296,0.9251282020825567,1.3551433858442241,0.2847276741792888,-0.22461539375232975,1.0654301575326723,85387761224.54347,0.9942699438415877,0.7506872943174646,2.6633030185070687,1.0193935649345143,1.0680581052175688,1.0,0.0,True,False,False
