sigma_star,S,obj,kappa,a,lnE,LR,dobj,sample,objective
0.95,0.10526315789473673,0.0020896933525557325,7.860313954115389,0.27192766916304945,0.5474924351112291,,0.0011354967087294542,full (n=240),huber
0.5,2.0,0.000294552271156496,0.332096724232661,0.49790670008343996,0.5599933745560036,0.0,0.0,on-path band |dlnN|<=0.15,gauss
0.51,1.9215686274509802,0.0002950723508775481,0.3456788114059642,0.49722950861785686,0.5599860491395061,0.07232830277517714,5.200797210521356e-07,on-path band |dlnN|<=0.15,gauss
0.52,1.8461538461538458,0.00029558025432508035,0.3598286494575005,0.4965134748079577,0.5599747724724212,0.14284029679011176,1.0279831685843757e-06,on-path band |dlnN|<=0.15,gauss
0.53,1.773584905660377,0.00029607622276630637,0.3745780142431482,0.4957727747302917,0.5599541156943946,0.21157853135922744,1.523951609810393e-06,on-path band |dlnN|<=0.15,gauss
0.54,1.7037037037037033,0.00029656050851564904,0.3899716400392382,0.4949954371559646,0.559930419711001,0.27858659580970013,2.0082373591530692e-06,on-path band |dlnN|<=0.15,gauss
0.55,1.6363636363636362,0.0002970333732616597,0.4060512088553756,0.49418133917373286,0.559901682548401,0.3439088953907984,2.481102105163712e-06,on-path band |dlnN|<=0.15,gauss
0.56,1.5714285714285712,0.00029749508422950233,0.42286232462377793,0.49332835516798057,0.5598657912082701,0.4075901313305376,2.9428130730063565e-06,on-path band |dlnN|<=0.15,gauss
0.57,1.5087719298245617,0.0002979459110528324,0.4404604623611089,0.4924328929360873,0.559827179292006,0.4696748834216121,3.3936398963364117e-06,on-path band |dlnN|<=0.15,gauss
0.58,1.4482758620689657,0.0002983861247799138,0.45889491531372095,0.4914950895619843,0.5597775211134877,0.5302074894341295,3.833853623417844e-06,on-path band |dlnN|<=0.15,gauss
0.59,1.3898305084745766,0.0002988159942402782,0.47823474706046076,0.49050731016215376,0.5597238873709084,0.5892315630517857,4.263723083782205e-06,on-path band |dlnN|<=0.15,gauss
0.6,1.3333333333333335,0.0002992357861507317,0.4985462898597586,0.48946774061407183,0.5596640530549264,0.6467900277856988,4.683514994235742e-06,on-path band |dlnN|<=0.15,gauss
0.61,1.278688524590164,0.0002996457637392676,0.5199032747862157,0.48837575116367904,0.5595958986708085,0.7029249471494896,5.093492582771623e-06,on-path band |dlnN|<=0.15,gauss
0.62,1.2258064516129035,0.00030004618368353685,0.5423912400091108,0.48721376194986,0.5595193147124455,0.7576771252482284,5.493912527040879e-06,on-path band |dlnN|<=0.15,gauss
0.63,1.1746031746031744,0.00030043729929221777,0.5661042160129336,0.48599273398011944,0.5594359792975785,0.811086561737973,5.885028135721795e-06,on-path band |dlnN|<=0.15,gauss
0.64,1.125,0.00030081935551623025,0.5911467309996183,0.48471115293381184,0.5593477442361627,0.8631917889067706,6.267084359734272e-06,on-path band |dlnN|<=0.15,gauss
0.65,1.0769230769230766,0.0003011925900905347,0.617628879681039,0.4833416746104887,0.5592454571017785,0.9140300475785358,6.640318934038715e-06,on-path band |dlnN|<=0.15,gauss
0.66,1.0303030303030303,0.00030155723326764455,0.6456813378170606,0.4818711583146542,0.5591289679962604,0.963637269367752,7.004962111148579e-06,on-path band |dlnN|<=0.15,gauss
0.67,0.9850746268656714,0.00030191350918844765,0.6754616817677689,0.48033825122645424,0.5590122529749831,1.0120482806144087,7.361238031951679e-06,on-path band |dlnN|<=0.15,gauss
0.68,0.9411764705882351,0.00030226163115340104,0.7071232956911944,0.4786991732447723,0.5588809633800081,1.0592961767610658,7.709359996905065e-06,on-path band |dlnN|<=0.15,gauss
0.69,0.8985507246376816,0.0003026018029855322,0.7408552257146415,0.47694165930387755,0.5587351523424146,1.105412525677597,8.049531829036204e-06,on-path band |dlnN|<=0.15,gauss
0.7,0.8571428571428572,0.00030293422048175014,0.7768730095666653,0.47505973418517766,0.558575886919507,1.1504275807225244,8.381949325254163e-06,on-path band |dlnN|<=0.15,gauss
0.71,0.8169014084507045,0.0003032590686489929,0.8154243183393372,0.4730345858465931,0.5584030013238855,1.1943699217899042,8.706797492496934e-06,on-path band |dlnN|<=0.15,gauss
0.72,0.7777777777777777,0.00030357652224589763,0.8567774490421831,0.4708423964828158,0.5582068851558563,1.237266544386495,9.024251089401658e-06,on-path band |dlnN|<=0.15,gauss
