model,N_nonemb,D,M,w_farseer,w_eq3,Mstar_eq3_ownC,in_farseer_N,above_farseer_N,in_farseer_N_1p5,above_farseer_N_1p5
gemma-2-9b,8324201984.0,8000000000000.0,865.6410422329228,3.2403910917886574,2.6714769447849838,135.3700180453885,False,True,True,False
gemma-2-2b,2024517888.0,2000000000000.0,765.0108844524623,3.1275818721330375,3.8001260589353283,53.562918399301815,True,False,True,False
falcon-40b,41303293952.0,1000000000000.0,23.902875602367764,1.0813949259993938,0.36583533309538935,113.17096639381937,False,True,False,True
falcon-7b,6921720704.0,1500000000000.0,207.83712911547445,2.025326970702997,1.739300432521345,70.69682154522687,False,True,True,False
falcon-rw-1b,896977408.0,350000000000.0,350.0,2.2828049077163772,3.0312330903064906,30.83601135608463,True,False,True,False
phi-2,2517539840.0,1400000000000.0,503.65440121420426,2.6325535558508735,2.9975676455796387,51.57989281486834,True,False,True,False
phi-1_5,1208555520.0,150000000000.0,105.76260081009076,1.612345211659233,1.901251021266045,28.584473835504625,True,False,True,False
bloom-7b1,6041411584.0,341000000000.0,48.23867945874285,1.3260546118509735,1.117678426600082,44.929220984403784,True,False,True,False
gpt-neox-20b,19934859792.0,472000000000.0,22.96326515953246,1.0498219316410038,0.5487801471143593,68.55800700743484,False,True,False,True
gpt-neo-2.7B,2522649600.0,420000000000.0,158.41240475944488,1.807867200792055,1.9550509277005688,38.56612030847801,True,False,True,False
gpt-neo-1.3B,1212649472.0,380000000000.0,288.84690467035404,2.1521042138600164,2.7120752404894684,32.824429592346924,True,False,True,False
gpt-neo-125m,86601216.0,300000000000.0,2396.1930817880125,4.191956743846717,7.8501109706516115,25.126436582516792,False,False,False,False
gpt-j-6b,5637123200.0,402000000000.0,66.44628099173553,1.4232310104051125,1.2368838740933938,46.00029515595711,True,False,True,False
opt-6.7b,6494085888.0,300000000000.0,44.776119402985074,1.2485887981464125,1.020528956744347,44.32172686537067,False,True,True,False
opt-1.3b,1197042944.0,300000000000.0,230.76923076923077,2.0065272507922693,2.4955548902958435,31.490914990163354,True,False,True,False
opt-350m,298521472.0,300000000000.0,857.1428571428571,2.9624019569594866,4.666604328240349,26.57741084510599,True,False,True,False
opt-13b,12742607360.0,300000000000.0,23.076923076923077,1.0334659705363123,0.6528533252379276,52.72654750039479,False,True,False,True
opt-2.7b,2571303680.0,300000000000.0,111.11111111111111,1.619182959783215,1.7105155192603116,36.12149130076653,True,False,True,False
opt-30b,29639650304.0,300000000000.0,10.0,0.8155464579199158,0.313115776887655,67.37050448943744,False,True,False,True
opt-125m,86391104.0,300000000000.0,2400.0,4.194814352103715,7.857920442554689,25.126050927591052,False,False,False,False
