tech,sigma_star,spec,w,r,r_obs,life_penalty,train_penalty,ratio_proc,ratio_eff,N_ratio,shadow_life_rel,C,U,N_w,D_w,Phi,loss,D_ratio,epochs,N_c,D_c,mN_c,w_true_c,s_true_c,w_hat_proc,w_hat_eff,s_hat_proc,ratio_proc_vs_w,mu_eff,mu_eta,shadow_life,elas_life_U
kq,0.7005534249155089,D15,1.0,8.0,8.0,0.22224986943684444,0.22224986943684444,0.8454405218080173,0.786751616233763,1.346445510436021,1.968381059853358,1e+26,2330830648463.611,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.9077603660626724,7.262082928501379,1203474313012.5657,16926685461435.389,0.0,1.0,0.0,0.8454405218080173,0.786751616233763,-0.1828153184111041,0.8454405218080173,0.271049184222935,0.2710489906446045,14213376262523.797,0.2710491020287975
kq,0.7005534249155089,D15,1.0,9.5137,9.5137,0.28749221885012477,0.28749221885012477,0.8204585627710617,0.7511682487686073,1.4315290318677398,2.834409925166361,1e+26,1959978261634.1577,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.8993825414566077,8.55645568465573,1279523311438.4795,16770467138561.242,0.0,1.0,0.0,0.8204585627710617,0.7511682487686073,-0.21883059715111663,0.8204585627710617,0.3312596766960043,0.33125973707002254,21760161440537.73,0.3312597999993727
kq,0.7005534249155089,D15,1.0,11.3137,11.3137,0.37209578501820806,0.37209578501820806,0.7915737285601803,0.7112036372880349,1.5414420890796643,4.08940256113616,1e+26,1648147395432.872,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.8901377448681408,10.070751404114686,1377765342024.9204,16598082696743.559,0.0,1.0,0.0,0.7915737285601803,0.7112036372880349,-0.26330620120368725,0.7915737285601803,0.4060670496753993,0.4060671650548271,33805422709928.086,0.4060672318395575
kq,0.7005534249155089,D15,1.0,13.4543,13.4543,0.4836809567812972,0.4836809567812972,0.7582372163521638,0.66667128967118,1.6861102300244577,5.919387753756023,1e+26,1385924588251.257,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.8799430371523076,11.83901760475829,1507072016664.847,16407985599174.018,0.0,1.0,0.0,0.7582372163521638,0.66667128967118,-0.318848479649869,0.7582372163521638,0.49998959831197576,0.4999895136242296,53525661836845.734,0.4999896858883801
kq,0.7005534249155089,D15,1.0,16.0,16.0,0.6340953324595457,0.6340953324595457,0.7199019781087717,0.617517849593601,1.8808843782566889,8.609881336134597,1e+26,1165415324231.8054,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.8687909535269355,13.900655256430968,1681164233854.1516,16200036652708.047,0.0,1.0,0.0,0.7199019781087717,0.617517849593601,-0.3890780000730984,0.7199019781087717,0.6193863880341548,0.619386333618134,86847747360227.28,0.6193865476475935
kq,0.7005534249155089,D15,1.0,19.0273,19.0273,0.8426175359243837,0.8426175359243837,0.676046637949547,0.5638544765577703,2.1505987929879242,12.610076749251961,1e+26,979994281254.2445,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.8567927880980309,16.302453416977663,1922239247631.0896,15976311119051.828,0.0,1.0,0.0,0.676046637949547,0.5638544765577703,-0.47918789010327045,0.676046637949547,0.7735072462398795,0.7735073649065505,145437506658314.3,0.7735075746353459
kq,0.7005534249155089,D15,1.0,22.6274,22.6274,1.1424888975176537,1.1424888975176537,0.6261929583811646,0.5059685664803336,2.537774377088608,18.652272403285387,1e+26,824073697716.436,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.844239313337053,19.10294063860284,2268302914136.181,15742230929311.016,0.0,1.0,0.0,0.6261929583811646,0.5059685664803336,-0.5969518446601542,0.6261929583811646,0.976407362529049,0.976407436753407,253854023085804.66,0.9764077854832465
kq,0.7005534249155089,D15,1.0,26.9087,26.9087,1.5952251496330434,1.5952251496330434,0.5699269213254579,0.44433091500751815,3.1204078665375503,27.987665252921296,1e+26,692959718890.5033,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.8316942081397658,22.379809938570517,2789069950765.5464,15508306803854.717,0.0,1.0,0.0,0.5699269213254579,0.44433091500751815,-0.7546109204217571,0.5699269213254579,1.250574889624954,1.2505743468708008,468357336894046.75,1.2505752641338574
kq,0.7005534249155089,D15,1.0,32.0,32.0,2.3256530173642957,2.3256530173642957,0.5069008954047688,0.37957718408360547,4.054958378592593,42.89721811202719,1e+26,582707662115.9027,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.8201447972737451,26.244633512759844,3624385993452.4644,15292949037308.959,0.0,1.0,0.0,0.5069008954047688,0.37957718408360547,-0.972772210633961,0.5069008954047688,1.634510297067119,1.6345103014441928,932856458899840.2,1.63451127570724
kq,0.7005534249155089,D15,1.5,0.25,0.40171885731648854,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.5,0.2973,0.4777240651207682,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.5,0.3536,0.5681911517884415,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.5,0.4204,0.6755304304634071,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.5,0.5,0.8034377146329771,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
