value,mse,g_N,g_D,g_C,alpha_year,beta_year,source,LR,TC_months
3.375,0.0460633134479463,0.7077619234729081,-0.4980546868883427,0.20970723658456542,0.04643000788803672,-0.01842598601924435,ra4 refinement,3.8449010825915626,39.66370594638571
3.4,0.046065580779742966,0.7081336034464495,-0.4998590141974938,0.2082745892489557,0.046446865502612546,-0.01849640305097036,ra4 refinement,3.856271101726739,39.936538570132115
3.425,0.04606781982549572,0.7084977546249863,-0.5016370963403187,0.2068606582846676,0.04646344613629745,-0.018565764157417924,ra4 refinement,3.8674987252724136,40.209512217992646
3.45,0.0460700310996383,0.7088554236065984,-0.5033900834307727,0.20546534017582563,0.04647968336403874,-0.0186341782368766,ra4 refinement,3.8785865533887445,40.48257559937588
3.475,0.046072215104466616,0.7092072342152093,-0.505118821491408,0.2040884127238013,0.046495628562082524,-0.018701671428056732,ra4 refinement,3.889537124624364,40.75570021692518
3.5,0.0460743723305218,0.7095520357661201,-0.5068228826900858,0.2027291530760343,0.0465112863430112,-0.0187681898831785,m5 grid,3.9003529178666327,41.028959281449445
3.75,0.0460945719047694,0.7126850368067079,-0.5226356936582526,0.1900493431484553,0.0466530098624748,-0.0193860067287738,m5 grid,4.001603979482143,43.766350511519505
4.0,0.0461125574287377,0.7153288150432315,-0.5364966112824237,0.1788322037608078,0.0467721097500576,-0.0199281442608006,m5 grid,4.091719703057882,46.5115677814078
4.25,0.0461286687809086,0.7175840746342018,-0.5487407629555661,0.1688433116786357,0.0468732894544647,-0.020407444998526,m5 grid,4.172415126183931,49.26322567369909
4.5,0.0461431806255502,0.7195255448172585,-0.5596309793023121,0.1598945655149464,0.0469601128862569,-0.0208339434946375,m5 grid,4.245075122952447,52.02031813859131
4.75,0.0461563171253993,0.7212105567147516,-0.5693767553011199,0.1518338014136317,0.0470352474545386,-0.0212157259393565,m5 grid,4.310829142412391,54.782045165685815
5.0,0.0461682628970299,0.7226852347910039,-0.5781481878328031,0.1445370469582008,0.0471008408839505,-0.0215593929808572,m5 grid,4.370606793421479,57.5476415339023
5.25,0.0461791712673384,0.7239842394139132,-0.5860824795255488,0.1379017598883644,0.0471584646919944,-0.0218702790411958,m5 grid,4.4251796914296015,60.31660635406556
5.5,0.046189170566822,0.7251363184710183,-0.5932933514762878,0.1318429669947305,0.0472094694636758,-0.0221528053546433,m5 grid,4.475193324756077,63.08843282517897
5.75,0.0461983689776373,0.7261634457202562,-0.5998741508123856,0.1262892949078705,0.047254873416816,-0.0224105978225352,m5 grid,4.521191582006618,65.86279678564402
6.0,0.0462068583055493,0.7270841036355209,-0.6059034196962675,0.1211806839392534,0.0472954754814501,-0.0226467622619774,m5 grid,4.563635820516607,68.63937301170004
