lnN,lnD,N,M,sigma_np,epsN_np,epsD_np,neff,sigma_np_lo,sigma_np_hi,sigma_np_se,sigma_chin,sigma_farseer
21.198333104310255,24.652210743801323,1608122368.0000024,31.62277660168379,0.7342427210417548,0.04939536258991124,0.04532384817698271,36.89068824383468,0.7218771965680675,0.7487016036489923,0.006846474007391734,0.7712658720493575,0.697338619808048
21.198333104310255,25.227857017049832,1608122368.0000024,56.234132519034766,0.7169758288365161,0.054262724804267526,0.03874555552377993,35.37443086776221,0.7056983375520216,0.7276670374607365,0.005626659627219895,0.7704413069628018,0.6998568962823748
21.198333104310255,25.803503290298345,1608122368.0000024,99.99999999999987,0.6958401404671879,0.05889372934812391,0.03224113739603962,30.29262832429117,0.6816065768978463,0.7078773960311062,0.006349834366655996,0.7696358703335506,0.7036221777191564
21.881540779005306,21.881540779005306,3184435199.9999995,1.0,0.6058973013960057,0.022490002941211402,0.08049413329512395,26.93498265066272,0.560459921993335,0.6410655784176175,0.020391180471450998,0.775832487920337,0.7288560584990443
21.881540779005306,22.45718705225382,3184435199.9999995,1.778279410038925,0.6407590878053412,0.025288179272825666,0.073939592482477,33.0909822776867,0.6097801996571127,0.6670606352087027,0.014355416378001628,0.7751438777444859,0.7017752848480502
21.881540779005306,23.032833325502327,3184435199.9999995,3.1622776601683755,0.6708901639635955,0.028441531613230254,0.06762929496554873,35.95933374582413,0.6429469890351617,0.7005021730308013,0.015298807282441602,0.7744072963944164,0.6865038415035417
21.881540779005306,23.60847959875084,3184435199.9999995,5.62341325190349,0.6890961323077869,0.03199085070856877,0.061660426886487735,37.02285508510908,0.6638785903708176,0.7139935170596273,0.01392116753602526,0.7736305371903743,0.6796595053468696
21.881540779005306,24.184125871999353,3184435199.9999995,10.00000000000001,0.691846136824765,0.035869667765244445,0.05577320445641182,36.896060310963236,0.673131827752207,0.7130723478875696,0.010660590591294438,0.7728236072339674,0.678423837481428
21.881540779005306,24.75977214524786,3184435199.9999995,17.782794100389204,0.6829551075062767,0.040020484794266856,0.049613004591680825,33.73255420533118,0.6656451195884164,0.7009421045163565,0.009600798333363443,0.7719982957877618,0.6807748868716191
21.881540779005306,25.335418418496374,3184435199.9999995,31.62277660168379,0.6704710659332759,0.04454522670458376,0.042913040177388416,26.96548342005646,0.6550190269095697,0.6889126954471605,0.008853195796396334,0.7711675281675612,0.6853549957525197
