design,spec,M_bin,delta,lo,hi,se_cluster,se_run,boot_bias,delta_bc,lo_run,hi_run,ratio,n_points,M_max_evaluated,lnw_local,n_draws
Llama 3,chin_full,M<16,0.416622,0.309659,0.465098,0.0405487,0.0431136,0.0237212,0.3929,0.302446,0.472353,1.51683,70,15.6188,-0.803883,999
Llama 3,chin_full,16-64,-0.0878375,-0.133356,-0.0573085,0.0205934,0.0198404,0.00861031,-0.0964478,-0.132752,-0.0555559,0.91591,38,54.6146,0.28621,999
Llama 3,chin_full,64-256,-0.401295,-0.434923,-0.358667,0.0193438,0.0407274,-0.00458234,-0.396713,-0.467373,-0.305195,0.669452,16,205.906,0.971544,999
Llama 3,chin_full,"256-1,024",-0.848013,-0.957553,-0.665322,0.0786654,0.132432,-0.015544,-0.832469,-1.02247,-0.531434,0.428265,2,290.001,1.69636,999
Llama 3,chin_full,">=1,024",,,,,,,,,,,0,,,0
Llama 3,chin_full,M>=256,-0.848013,-0.957553,-0.665322,0.0786654,0.132432,-0.015544,-0.832469,-1.02247,-0.531434,0.428265,,290.001,,999
Llama 3,chin_M100,M<16,0.374123,0.28983,0.438601,0.0386935,0.0412969,0.00386154,0.370261,0.285011,0.447365,1.45372,70,15.6188,-0.803883,999
Llama 3,chin_M100,16-64,-0.156066,-0.190584,-0.114472,0.0199051,0.0178204,-0.00620854,-0.149858,-0.181909,-0.113062,0.855502,38,54.6146,0.28621,999
Llama 3,chin_M100,64-256,-0.459316,-0.493608,-0.418291,0.0192077,0.0417153,-0.00575766,-0.453558,-0.521963,-0.356996,0.631716,16,205.906,0.971544,999
Llama 3,chin_M100,"256-1,024",-0.895561,-1.01754,-0.722244,0.0796238,0.133487,-0.00540197,-0.890159,-1.07231,-0.562064,0.408378,2,290.001,1.69636,999
Llama 3,chin_M100,">=1,024",,,,,,,,,,,0,,,0
Llama 3,chin_M100,M>=256,-0.895561,-1.01754,-0.722244,0.0796238,0.133487,-0.00540197,-0.890159,-1.07231,-0.562064,0.408378,,290.001,,999
Llama 3,kappa_full,M<16,0.27319,0.217537,0.346409,0.0328349,0.0367715,-0.0171173,0.290307,0.21469,0.354958,1.31415,70,15.6188,-0.803883,999
Llama 3,kappa_full,16-64,0.0414951,0.0236895,0.0658394,0.0105695,0.00910561,-0.00187457,0.0433697,0.0255802,0.061335,1.04237,38,54.6146,0.28621,999
Llama 3,kappa_full,64-256,-0.0784963,-0.147595,-0.0460331,0.0243784,0.0407007,0.0165705,-0.0950668,-0.172153,-0.0105573,0.924505,16,205.906,0.971544,999
Llama 3,kappa_full,"256-1,024",-0.37837,-0.567839,-0.228653,0.0903832,0.129494,0.0305814,-0.408952,-0.596757,-0.114255,0.684977,2,290.001,1.69636,999
Llama 3,kappa_full,">=1,024",,,,,,,,,,,0,,,0
Llama 3,kappa_full,M>=256,-0.37837,-0.567839,-0.228653,0.0903832,0.129494,0.0305814,-0.408952,-0.596757,-0.114255,0.684977,,290.001,,999
Llama 3,kappa_M100,M<16,0.235565,0.169153,0.307273,0.0347682,0.0372555,-0.0110877,0.246653,0.166521,0.313991,1.26562,70,15.6188,-0.803883,999
Llama 3,kappa_M100,16-64,0.0371016,0.00847366,0.0761972,0.018307,0.0144285,-0.00536661,0.0424683,0.0198196,0.0728419,1.0378,38,54.6146,0.28621,999
Llama 3,kappa_M100,64-256,-0.0205438,-0.111041,0.0451038,0.0415421,0.0537388,0.0147032,-0.0352469,-0.11668,0.0864156,0.979666,16,205.906,0.971544,999
Llama 3,kappa_M100,"256-1,024",-0.269384,-0.49067,-0.0872729,0.107353,0.144674,0.0307449,-0.300129,-0.515608,0.0356771,0.76385,2,290.001,1.69636,999
Llama 3,kappa_M100,">=1,024",,,,,,,,,,,0,,,0
Llama 3,kappa_M100,M>=256,-0.269384,-0.49067,-0.0872729,0.107353,0.144674,0.0307449,-0.300129,-0.515608,0.0356771,0.76385,,290.001,,999
