tech,year,n_models,n_units,median_s_models,median_s_units,s_agg_models,s_agg_units,median_lnM,median_M,top_model,top_share_C
marin_comma_a2,2023,24,16,0.1489253243930474,0.12301241002908747,0.030457973191756527,0.019890395737599306,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
marin_comma_a2,2024,40,27,0.3041408599803066,0.28536154352240806,0.08352137887206572,0.06790823417952196,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
marin_comma_a2,2025,13,6,0.3112941058597006,0.22016910703961373,0.24037692695254798,0.2349536560843364,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
marin_dclm_a3,2023,24,16,0.44516289774170786,0.3545814037036552,0.1428590031059669,0.08669821619354162,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
marin_dclm_a3,2024,40,27,0.7965982167956518,0.7929320989032771,0.3763181026166587,0.2575159744642717,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
marin_dclm_a3,2025,13,6,0.7998708605173331,0.5563148325670003,0.7608559380353677,0.7001314617410375,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
marin_dclm_a2,2023,24,16,0.26517091138967686,0.2318143330151362,0.07150024616084462,0.06279628434892563,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
marin_dclm_a2,2024,40,27,0.4610469908382284,0.4268765944996385,0.1676868771774213,0.13586362956289644,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
marin_dclm_a2,2025,13,6,0.4738514582987624,0.3613982592216584,0.3984536661784549,0.3898248384271779,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
marin_nemotron_a3,2023,24,16,0.4845500562829883,0.39870387002388125,0.15984484970401386,0.10143099199767937,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
marin_nemotron_a3,2024,40,27,0.8011992540214932,0.791664302567521,0.40575748712472315,0.2932969581721233,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
marin_nemotron_a3,2025,13,6,0.8103866953874678,0.5992704991109443,0.7723013276909981,0.7232451288834473,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
marin_nemotron_a2,2023,24,16,0.25424961126290574,0.22087384993586343,0.06583659816909246,0.05665866206853466,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
marin_nemotron_a2,2024,40,27,0.4504276082386844,0.4166742223348763,0.1599335144102163,0.12937720002083708,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
marin_nemotron_a2,2025,13,6,0.4627212547697479,0.35009465327865935,0.38668502727289117,0.37809080382227384,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
meta_mf,2023,24,16,0.592466012494161,0.530189955066952,0.2720205824638937,0.2206960479528617,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
meta_mf,2024,40,27,0.8650117644156411,0.8144646852897686,0.5872890269191434,0.5017808897262948,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
meta_mf,2025,13,6,0.8896386837526695,0.7514894984217972,0.862407458918049,0.8407933564203935,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
marin_comma_mf,2023,24,16,0.4801448257596615,0.4048289811590462,0.15395806179052107,0.10042420297838005,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
marin_comma_mf,2024,40,27,0.7701804681766371,0.7441392520057636,0.38358216121763133,0.29514473449837597,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
marin_comma_mf,2025,13,6,0.7797704415522376,0.6024664099012311,0.7312613108013055,0.6966214047116817,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
marin_dclm_mf,2023,24,16,0.5511250879451952,0.49161284828217494,0.21295345429067708,0.17287479596396094,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
marin_dclm_mf,2024,40,27,0.7994210516466204,0.7647660232120451,0.4535113098566309,0.3678684669239615,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
marin_dclm_mf,2025,13,6,0.8116589144775916,0.6686912200808339,0.7679734309230067,0.7435631407756703,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
marin_nemotron_mf,2023,24,16,0.5517900402834531,0.4896191304749855,0.21010874186415973,0.16611902212549706,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
marin_nemotron_mf,2024,40,27,0.8054433969010292,0.7711071426404289,0.4585478530855008,0.37003904284317224,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
marin_nemotron_mf,2025,13,6,0.8172149383450421,0.6707091386817876,0.7752508906159019,0.7494688148604297,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
deepseek,2023,24,16,0.5896322474103867,0.5370396084881106,0.36899641090238,0.3461359854393972,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
deepseek,2024,40,27,0.8434612101549999,0.8091216000067422,0.6596047878870493,0.6247920807060648,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
deepseek,2025,13,6,0.8923008246131454,0.7896583828626264,0.8575309970116538,0.8467699064112884,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
minicpm,2023,24,16,-0.18913699673311124,-0.2739025269877892,0.006630789581520971,0.0049269007177008125,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
minicpm,2024,40,27,0.31307303748922033,0.21120953608763796,0.0539891832453845,0.019479872249381934,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
minicpm,2025,13,6,0.36311314433695857,0.08317828272562544,0.2837056217652064,0.2500411950729464,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
