sample,surface,surface_kind,output,estimator,param,n_obs,n_dev,n_fam,n_fam_ge2,identified,obs,obs_se_cr1_allk,obs_se_cr1_nested,obs_se_cv3,bench,bench_se,bench_lo,bench_hi,bench_se_runlevel,bias,bias_se_table8,bias_se_nested,bias_se_cv3,p_normal_table8,p_t_nested,p_t_cv3,p_wcr_combined,p_wcr_benchfixed_allk,p_wcr_subcluster_family,B_wild,G_star,loo_bias_min,loo_bias_max,loo_argmin,loo_argmax,loo_n_unidentified,mde80,mde80_cv3,p_wcr_cv3_combined,obs_se_cv3_y,cv3_check,mde80_cv3_tG1,obs_n_at_floor,p_conservative,p_min_of_three
strict support (20),strict,tobit,y_winogrande,Developer FE,theta_N,20,6,9,5,True,0.6003680829954139,0.3443973044086194,0.289351611813793,0.0860021709334058,0.6001883500604346,0.1080673854047244,0.36262957118333594,0.7964226034866717,,0.0001797329349793042,0.36095437810357206,0.30887362310086175,0.13811203131324942,0.9996027028991443,0.9995582153037598,0.999011993368837,0.9992999299929993,0.9948994899489949,0.9998999899989999,9999,3.5600590171177773,-0.06160314348580745,0.06619710440584797,Meta,Cerebras,0,0.8648461446824128,0.38671368767709835,0.9990999099909991,0.3212270992353001,0.08600217093404765,0.48202833834719766,1,0.9992999299929993,0.999011993368837
strict support (20),strict,tobit,y_winogrande,Developer FE,theta_D,20,6,9,5,True,0.23926647403861825,0.30007304019462644,0.2521117811629631,1.170210926953291,0.5062781148175955,0.07625234357271411,0.3492221858293771,0.6480754235781475,,-0.2670116407789773,0.30960983406858567,0.26339090740094473,1.1726926423667934,0.3884601206099537,0.3572192086926486,0.8289042520004024,0.32283228322832286,0.3088308830883088,0.34623462346234624,9999,2.113616604093646,-1.5441083864029692,-0.15709661655717228,Cerebras,Meta,0,0.7374945407226452,3.2835393986270214,0.15911591159115912,1.0257426646059467,1.1702109269522087,4.092844630674997,1,0.8289042520004024,0.15911591159115912
strict support (20),strict,tobit,y_winogrande,Developer FE,theta_C,20,6,9,5,True,0.4031515815977841,0.03357536690935586,0.028533575174473833,0.11942174332788673,0.5488990520214386,0.0401415679330859,0.45871228938080616,0.6185158461732511,,-0.14574747042365455,0.052332119575117714,0.049249470945015236,0.12598769088922224,0.005351978246726761,0.03154179492353962,0.29960036970657683,0.37193719371937195,0.4136413641364136,0.32713271327132715,9999,1.3306227340033272,-0.2729045455185388,-0.11588101920966329,Cerebras,Meta,0,0.13789851864604266,0.35276553448982223,0.21702170217021702,0.11058812516633573,0.11942174332790952,0.43971286725768566,1,0.37193719371937195,0.21702170217021702
strict support (20),strict,tobit,y_winogrande,Family FE,theta_N,20,6,9,5,True,0.8871380951459171,0.03415040813114392,0.02484807174399858,0.04480108808151779,0.8330101562989616,0.12990449574739088,0.5426881366790217,1.0843740252276617,,0.05412793884695555,0.13431838441147062,0.1322596109353827,0.13741293792315123,0.6869612052720009,0.6992938405189562,0.7098877285655852,0.6835683568356836,0.1152115211521152,0.682968296829683,9999,2.568882371690885,0.02349701983849447,0.09026882606387598,EleutherAI,BigScience,0,0.3703269106190715,0.3847562261848234,0.692969296929693,0.02809222039571306,0.04480108808090471,0.4795884145985256,1,0.7098877285655852,0.6835683568356836
strict support (20),strict,tobit,y_winogrande,Family FE,theta_D,20,6,9,5,True,-0.27270197878796626,0.035739754415634505,0.026004491027522867,1.63182314642006,0.0543611630993005,0.12141132056236718,-0.19534331946062963,0.2871117354212785,,-0.32706314188726676,0.1265623909634602,0.12416498022509569,1.636333550946433,0.00976038098250002,0.04630389599818013,0.8494527343968544,0.0813081308130813,0.0446044604460446,0.0786078607860786,9999,3.3123142787516846,-2.1139788767448344,-0.2951198537710213,Cerebras,EleutherAI,0,0.3476619446302679,4.581733942650012,0.4511451145114511,1.3602172238752999,1.6318231464188073,5.711009642277348,1,0.8494527343968544,0.0813081308130813
strict support (20),strict,tobit,y_winogrande,Family FE,theta_C,20,6,9,5,True,0.390259117827387,0.1247668863841847,0.09299574643200997,0.14306696360385845,0.4994345848733184,0.04648277462208162,0.40233041046629,0.5852296680737783,,-0.1091754670459314,0.13314437379991423,0.10396565390076634,0.15042873532472112,0.41222860732547295,0.341749127704943,0.5005197045410934,0.8582858285828583,0.924992499249925,0.8653865386538654,9999,1.3557453872669007,-0.12133734146672322,0.046836194792783815,Meta,Cerebras,0,0.29110383092214576,0.4212004589092191,0.7124712471247124,0.4430713090525197,0.143066963603581,0.5250151825208118,1,0.8582858285828583,0.5005197045410934
strict support (20),strict,tobit,y_winogrande,Lab x period FE,theta_N,20,6,9,5,True,0.5815039360668259,0.36571022671956066,0.28048693995733714,0.09293841184191508,0.604791944615923,0.10763221313303677,0.3692800306065949,0.8009776596295435,,-0.023288008549097072,0.38121996698912286,0.3004290545046306,0.14220492853488895,0.9512890356555055,0.9412195639973656,0.8763310040494464,0.9501950195019502,0.9681968196819682,0.9415941594159416,9999,3.5628257684762317,-0.061581385624153134,0.06656191509241,Meta,Cerebras,0,0.8412013526129656,0.39817379989768903,0.8640864086408641,0.33174063729561326,0.09293841184196326,0.49631306378359413,1,0.9501950195019502,0.8640864086408641
strict support (20),strict,tobit,y_winogrande,Lab x period FE,theta_D,20,6,9,5,True,0.30731298695920956,0.2140096116373408,0.16413787940266317,1.7655267350898105,0.48746058704625367,0.07240618752677046,0.33271840679258996,0.6218991728825081,,-0.1801476000870441,0.22592647004131078,0.1793987164027799,1.7670108398957398,0.42523460777309197,0.36138722712385496,0.922758334591892,0.284028402840284,0.2593259325932593,0.3436343634363436,9999,1.9219156373511408,-2.1139788760515397,-0.1577309010384645,Cerebras,Meta,0,0.5023164059277837,4.947630351708071,0.5586558655865587,1.8918538991051386,1.7655267350900101,6.167089795852704,1,0.922758334591892,0.284028402840284
strict support (20),strict,tobit,y_winogrande,Lab x period FE,theta_C,20,6,9,5,True,0.43335566613388665,0.07487623930187641,0.05853344880963859,0.14167937337976888,0.5413965710971517,0.039629226363179094,0.4497598332255011,0.6107188840677165,,-0.10804090496326502,0.08471674447319108,0.07068691683539939,0.14711736955039692,0.20219622541886195,0.18694432823347568,0.495688169148585,0.8342834283428343,0.9208920892089208,0.8223822382238224,9999,1.2308975945223646,-0.11619491326944303,0.04683619478882939,Meta,Cerebras,0,0.1979233671391183,0.41192863474111135,0.7395739573957396,0.4025739116982675,0.14167937337981457,0.513458100008304,1,0.8342834283428343,0.495688169148585
legacy support (57),legacy,ols,y_hellaswag,OLS,theta_N,57,19,30,15,True,0.5015840636187519,0.08655836568125654,0.08655836568125654,0.08671171026620211,0.4225242892865833,0.028289924225526626,0.3699905980700442,0.4755921334013432,0.028448377604219196,0.07905977433216854,0.0910641009514516,0.0910641009514516,0.09120987068281491,0.3852973449612688,0.39672515684191634,0.3974650444493843,0.4308430843084308,0.40454045404540456,0.41904190419041903,9999,6.524928530269833,0.026193211650881232,0.10783563031195495,BigScience,TII,0,0.25497948266406445,0.25538763791188174,0.3686368636863686,0.09763749578129433,0.08671171026635278,0.2702521751346849,0,0.4308430843084308,0.3686368636863686
legacy support (57),legacy,ols,y_hellaswag,OLS,theta_D,57,19,30,15,True,0.22285508092260403,0.08154874520892619,0.08154874520892619,0.06807742544861697,0.27251351356854514,0.016910144229997696,0.23939997724912346,0.30444146613197515,0.014673352181567475,-0.04965843264594111,0.08328355673858848,0.08328355673858848,0.07014619614484684,0.55100332000932,0.5584279949166563,0.48805656553066246,0.575057505750575,0.5725572557255726,0.5773577357735774,9999,4.721164695557242,-0.08630332868373025,-0.015815880430486973,01.AI,BigCode,0,0.23319395886804772,0.19640934920557113,0.39303930393039305,0.13889100452226297,0.06807742544867358,0.20784112447098202,0,0.575057505750575,0.39303930393039305
legacy support (57),legacy,ols,y_hellaswag,OLS,theta_C,57,19,30,15,True,0.3279657296962051,0.03728024946299692,0.03728024946299692,0.040772680877814056,0.3290836262488226,0.0068440499041557855,0.31594077857248826,0.34237511833130124,0.006651227211384111,-0.0011178965526175144,0.0379032718787423,0.0379032718787423,0.0413431073463841,0.976471078612794,0.9767956319240686,0.9787257661317063,0.9786978697869787,0.9798979897989799,0.9770977097709771,9999,3.9808955713856102,-0.02214165347728462,0.0231865979197367,01.AI,BigCode,0,0.10612916126047844,0.11576070056987547,0.9748974897489749,0.046321964666545236,0.04077268087781817,0.12249841605457094,0,0.9787257661317063,0.9748974897489749
legacy support (57),legacy,ols,y_hellaswag,Year FE,theta_N,57,19,30,15,True,0.5169824099955601,0.09295014426863007,0.09295014426863007,0.10345902339839272,0.41613133267770175,0.028289015432597854,0.36385631114137756,0.46912723775564663,0.028606525898414524,0.10085107731785836,0.09715965064626829,0.09715965064626829,0.10725687817895378,0.29927312204226664,0.31301672097921185,0.3595241624560358,0.357035703570357,0.3414341434143414,0.3392339233923392,9999,6.729198028071443,0.05825353070714817,0.16525846499824187,Meta,Cerebras,0,0.2720470218095512,0.3003192589010706,0.34113411341134114,0.12553266021551482,0.10345902339836736,0.31779898830050185,0,0.3595241624560358,0.34113411341134114
legacy support (57),legacy,ols,y_hellaswag,Year FE,theta_D,57,19,30,15,True,0.19054569708553756,0.10648909799970978,0.10648909799970978,0.21100234257730957,0.30368095841389386,0.015206495696550408,0.27403990945374607,0.3324534908339703,0.013609728810616175,-0.1131352613283563,0.10756935206721754,0.10756935206721754,0.21154958304019772,0.29291769754554886,0.30683312741513524,0.599337710863796,0.32413241324132414,0.311031103110311,0.31763176317631764,9999,3.6196667984150275,-0.3172809201988864,-0.07332725438017168,Cerebras,Stability AI,0,0.3011941857882091,0.5923388325125536,0.42064206420642064,0.37142220448276053,0.21100234257735423,0.6268152178865106,0,0.599337710863796,0.32413241324132414
legacy support (57),legacy,ols,y_hellaswag,Year FE,theta_C,57,19,30,15,True,0.31894931532055915,0.04063002379553907,0.04063002379553907,0.03604783697663199,0.3479132226055822,0.006633818405084649,0.33517950111524625,0.36060598360321355,0.006684440854034728,-0.02896390728502307,0.04116802618850837,0.04116802618850837,0.03665315944533945,0.4817109028115173,0.49071238050858856,0.43968895925138,0.46644664466446645,0.45774577457745774,0.44944494449444944,9999,3.008072470432158,-0.049691660470320795,-0.008665436037178731,Cerebras,BigCode,0,0.11527047332782343,0.10262884644695046,0.2948294829482948,0.07580429425997302,0.03604783697664997,0.1086022378006479,0,0.46644664466446645,0.2948294829482948
legacy support (57),legacy,ols,y_hellaswag,Developer FE,theta_N,57,19,30,15,True,0.5891906863277978,0.07432402153461976,0.060685309463815715,0.0642796079857387,0.4483079284239554,0.02834625875876706,0.39616443433476567,0.5015737610235577,0.02826021642580626,0.14088275790384241,0.07954602795047405,0.06697922939492555,0.07025224828017407,0.07654660772554044,0.04975974198949751,0.06019471147338312,0.13811381138113812,0.1267126712671267,0.11071107110711072,9999,4.829740716448645,0.10290240618109081,0.1846991898892087,Stability AI,Cerebras,0,0.18754184230579155,0.19670629518448737,0.11931193119311931,0.06491154477723622,0.06427960798580235,0.2081553538415019,0,0.13811381138113812,0.06019471147338312
legacy support (57),legacy,ols,y_hellaswag,Developer FE,theta_D,57,19,30,15,True,0.20299657490290818,0.16509675288463915,0.13480093425257755,0.09600083858736994,0.2931378044285091,0.017844841155937985,0.25841982096219585,0.32710289919440116,0.015493041601588951,-0.09014122952560094,0.16605835169882985,0.13597694742583535,0.09764527313372068,0.5872477908314094,0.5157847029103257,0.3681389357351822,0.5679567956795679,0.5672567256725672,0.6153615361536153,9999,3.8545844690367983,-0.16903263897362067,-0.047505839472832725,Cerebras,Meta,0,0.38073545279233895,0.2734067647744179,0.3331333133313331,0.21848201647890073,0.09600083858713453,0.28932008409239435,0,0.5679567956795679,0.3331333133313331
legacy support (57),legacy,ols,y_hellaswag,Developer FE,theta_C,57,19,30,15,True,0.39344597282113314,0.045548826556253134,0.037359126236645876,0.01639822315224602,0.36965905583313724,0.008116640151689196,0.35456756200415596,0.3847797231061278,0.008496193837611035,0.0237869169879959,0.046266353303493074,0.03823067041679567,0.018297037189197344,0.6071611530439425,0.541615960900156,0.20998832625796574,0.664966496649665,0.6749674967496749,0.6189618961896189,9999,3.295205717732477,0.017044796501436935,0.033171026101931934,BigScience,Meta,0,0.10704587716702786,0.05123170412975256,0.1418141814181418,0.05361414000975522,0.01639822315208186,0.05421358523899836,0,0.664966496649665,0.1418141814181418
