corpus,conv,sample,scheme,statistic,estimate,pop,se,ci_lo,ci_hi,p_zero,n_draws,n_restricted,n_all
edu,P,main,cr2,slope|chin_f|local,-0.2005478800380178,-0.07824261193625921,0.1324506587929157,-0.36550729101048596,0.08531985665763744,0.14,999,33,44
edu,P,main,cr2,level100|chin_f|local,-0.05713577742915714,-0.14419072340292682,0.09391620903804633,-0.268919410508728,0.10180952055324995,,999,33,44
edu,P,main,cr2,mean|chin_f|local,-0.291731446967892,-0.23571688628316528,0.07701533410571086,-0.40444322757455914,-0.15123604785956185,,999,33,44
edu,P,main,cr2,bin0|chin_f|local,-0.2362463237328132,-0.22815205508655328,0.04841995874283314,-0.3385934431595141,-0.18650615415892183,,999,33,44
edu,P,main,cr2,bin1|chin_f|local,-0.06150192750357508,-0.09544152327760841,0.06824934192780424,-0.1584262954792163,0.11097432252812162,,999,33,44
edu,P,main,cr2,bin2|chin_f|local,-0.7161588977549843,-0.40246915847686404,0.3529067686301939,-1.1341569117992183,0.004328983417698606,,999,33,44
edu,P,main,cr2,n_eval|chin_f|local,11.0,11.0,0.0,11.0,11.0,,999,33,44
edu,P,main,cr2,slope|kappa_f|local,-0.08075149329483763,0.04876405664955612,0.1290958053420648,-0.23102594787005878,0.2075278174816628,0.537,999,33,44
edu,P,main,cr2,level100|kappa_f|local,0.1553148157126273,0.06671051802611368,0.10340959933723162,-0.057452067379051536,0.34671873885811233,,999,33,44
edu,P,main,cr2,mean|kappa_f|local,0.060853828978866334,0.12375343723801834,0.06755059128306175,-0.035060229588805836,0.20603788357337105,,999,33,44
edu,P,main,cr2,bin0|kappa_f|local,0.0469795560686271,0.058047694339277436,0.04456484460825992,-0.03723270083196522,0.11952759425166729,,999,33,44
edu,P,main,cr2,bin1|kappa_f|local,0.35549986517659793,0.3320400574177107,0.09057347314759681,0.2595051373378992,0.5887458102183689,,999,33,44
edu,P,main,cr2,bin2|kappa_f|local,-0.18523225203302796,0.14543691720391916,0.33480554760155457,-0.5458473409547852,0.5484072897127008,,999,33,44
