sample,technology,prov_group,prov_source,prov_where,prov_N_conv,n_era1,n_era2,medM_era1,medM_era2,share_w_lt1_era1,share_w_lt1_era2,gmCE_era1,gmCE_era2,gmCEtr_era1,gmCEtr_era2,gain_untrunc,gain_untrunc_lo,gain_untrunc_hi,gain_trunc,gain_trunc_lo,gain_trunc_hi,overtraining_component,era1_undertraining_cost,share_of_era1_gap_closed,share_of_era1_gap_closed_lo,share_of_era1_gap_closed_hi,years_between,ho_algorithmic_gain,share_of_ho_trunc,share_of_ho_trunc_lo,share_of_ho_trunc_hi,share_of_ho_untrunc,B
"C >= 1e23, cleaned",m1: marin_202603__nemotron__llama_2,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,79,1.7166822589526618,105.52047337278107,1.0,0.46835443037974683,0.23193482749698988,0.6342516985798805,0.23193482749698988,0.8368370192555505,2.7346117244427726,1.9371780269235555,3.926349499016335,3.608069681843755,2.6349141085029224,5.104675104771366,0.7579154411023908,4.311556012487941,0.8781043685726837,0.8142706933366953,0.9303775349113285,2.1989051004475186,8.214737107404577,0.6093142069446003,0.24604173630324427,1.2099863454067095,0.4776937410151948,999
Top-5 compute per year,m1: marin_202603__nemotron__llama_2,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),10,15,2.2577915775531894,19.591836734693878,0.8,0.9333333333333333,0.3783825621224594,0.5713109143937749,0.3808574910127952,0.5739181910431242,1.509876436136812,0.8542080641552181,2.610856015483702,1.5069106019601517,0.8486602457614691,2.615558277186519,1.0019681553589195,2.625654013895723,0.4247890259659801,-0.38400204513753927,0.7061030341331965,2.3968036529679466,9.929008690040517,0.1786402207457785,-0.06891650473976851,0.5034851522813415,0.17949679002937155,999
Epoch frontier flag,m1: marin_202603__nemotron__llama_2,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,6,1.7166822589526618,19.67078189300411,0.8571428571428571,1.0,0.2579013269767562,0.524989275083117,0.25945058112046215,0.524989275083117,2.035620681899138,1.03048682993397,3.774518990795362,2.023465404532534,1.0181118153331203,3.774518990795362,1.0060071584813737,3.854298555360348,0.5223964699665946,0.016828718439419073,0.7748093006499435,2.204566210045641,8.259396259566527,0.33382011036322057,0.008671691821528021,0.882087643214616,0.3366567708905226,999
C >= 1e23,m1: misfitting__fineweb_c4__transformer,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,92,1.7166822589526618,91.5768098087606,1.0,0.11956521739130435,0.5873333582899597,0.3235329153492114,0.5873333582899597,0.9639463477096356,0.550850570264199,0.4047232771717374,0.7500821208962846,1.6412252668845457,1.3129518082608762,2.1234752798236975,0.33563373741488306,1.702610597347191,0.9309992215997753,0.8526371198301256,0.9792572414065205,2.27872883519035,8.86737074962257,0.22701979286351867,0.0844473579834681,0.4937533862675868,-0.27323021643799805,999
"C >= 1e23, cleaned",m1: misfitting__fineweb_c4__transformer,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,79,1.7166822589526618,105.52047337278107,1.0,0.11392405063291139,0.5873333582899597,0.3389784488185872,0.5873333582899597,0.9780176455333467,0.5771482992308389,0.41967947980130393,0.7932959083235241,1.6651832076776247,1.3221736237780606,2.155081903439098,0.3465974774245822,1.702610597347191,0.9582316350564632,0.8979595955175524,0.9877740028168976,2.1989051004475186,8.214737107404577,0.2421425273824541,0.08920120876931376,0.5265163431299101,-0.261003971244282,999
Top-5 compute per year,m1: misfitting__fineweb_c4__transformer,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),10,15,2.2577915775531894,19.591836734693878,0.7,0.26666666666666666,0.6307002000155432,0.6980216944806121,0.6990655773125855,0.9245235445194264,1.1067408801573393,0.8245194268487631,1.4640835051248127,1.322513329970513,1.063366601967828,1.7217167631699517,0.8368466729798598,1.4304809626648982,0.7807977369292056,0.3427163336849618,0.9884956124009151,2.3968036529679466,9.929008690040517,0.12177684897014822,0.02344516134206418,0.31274958630028615,0.0441826579307139,999
Epoch frontier flag,m1: misfitting__fineweb_c4__transformer,m1 registry,"m1 registry, primary Huber row",Online Appendix D (m1 registry; not estimated in Section III),sweep convention (see registry),7,6,1.7166822589526618,19.67078189300411,0.8571428571428571,0.16666666666666666,0.547300763914071,0.7734067137563503,0.6003170251373541,0.9262527245558243,1.4131292421835155,1.1018752057074435,1.8459646471252493,1.5429392900257914,1.1617088892395162,2.089742939833927,0.9158683373471512,1.6657865063400417,0.8498754595356222,0.4484866242688723,1.0000000000000002,2.204566210045641,8.259396259566527,0.20540835037263058,0.051748585758396755,0.4600173344351723,0.16378446090686138,999
C >= 1e23,m2: farseer (all),m2 registry,"m2 registry, primary Huber row",Section III / Table 4 (m2 registry),sweep convention (see registry),7,92,1.7166822589526618,91.5768098087606,1.0,0.18478260869565216,0.6276160395797805,0.6436918593012979,0.6276160395797805,0.9634326604714792,1.0256140995572403,0.8571114408932022,1.2517216409944565,1.5350669831773966,1.3206610958511449,1.8373024511181735,0.6681233527896921,1.5933308534777866,0.9200288777177414,0.8439170183612837,0.9692919085757026,2.27872883519035,8.86737074962257,0.1963793404138927,0.08188487457092394,0.4058495495660132,0.011588987271012551,999
"C >= 1e23, cleaned",m2: farseer (all),m2 registry,"m2 registry, primary Huber row",Section III / Table 4 (m2 registry),sweep convention (see registry),7,79,1.7166822589526618,105.52047337278107,1.0,0.189873417721519,0.6276160395797805,0.6649018083802094,0.6276160395797805,0.9734652895221085,1.0594085658253627,0.8827492300429911,1.2879060359483916,1.5510522805852618,1.3401745330345836,1.8164139876400929,0.6830256975126678,1.5933308534777866,0.9422679935113758,0.8888313017650077,0.9771771803999788,2.1989051004475186,8.214737107404577,0.20842746126986172,0.08356765214433615,0.4334146418719047,0.027403950988814204,999
Top-5 compute per year,m2: farseer (all),m2 registry,"m2 registry, primary Huber row",Section III / Table 4 (m2 registry),sweep convention (see registry),10,15,2.2577915775531894,19.591836734693878,0.7,0.3333333333333333,0.7189646848988381,0.8699057087353308,0.732401181939869,0.9207130384483607,1.2099421946680604,0.999554548625817,1.4700145028546276,1.257115719023993,1.0356491393995464,1.532134708565831,0.9624747955641209,1.3653719090831575,0.7347471269660861,0.2499945728522141,0.9631835894973723,2.3968036529679466,9.929008690040517,0.09968368907861253,0.01302541456083013,0.2516052775465108,0.0830214998565468,999
Epoch frontier flag,m2: farseer (all),m2 registry,"m2 registry, primary Huber row",Section III / Table 4 (m2 registry),sweep convention (see registry),7,6,1.7166822589526618,19.67078189300411,0.8571428571428571,0.3333333333333333,0.6326953840435917,0.9127373562880771,0.6459837896424827,0.9284050717322296,1.4426173784526788,1.166775349827938,1.7561092487990224,1.4371956179365615,1.1265897292580147,1.7778538110984456,1.0037724582850465,1.5480264613968815,0.829999098354656,0.38967993188041805,1.0,2.204566210045641,8.259396259566527,0.1717827318005772,0.0405697577299556,0.37879928782239486,0.1735661205079954,999
