scenario,scenario_label,estimator,estimator_label,param,truth,R,fail_share,mean,median,bias,mc_se_bias,median_bias,sd,rmse,mae
funding_all,(b) + selection + ME in D,E1b_pooled_huber_Etrue,"Pooled Huber-LSE, E fixed at truth (decomposition of E1)",lnMstar,2.8979598554678856,400,0.0,3.3253680940514396,3.3769551364338026,0.4274082385835545,0.03683619414395547,0.47899528096591704,0.7367238828791094,0.8509306533522911,0.5906886298151248
funding_all,(b) + selection + ME in D,E1b_pooled_huber_Etrue,"Pooled Huber-LSE, E fixed at truth (decomposition of E1)",sd_omega,0.25,400,0.0,0.2334255988253958,0.2325304410377671,-0.01657440117460422,0.0008887415903765054,-0.0174695589622329,0.017774831807530107,0.02428714801017692,0.018670298517204267
funding_all,(b) + selection + ME in D,E1b_pooled_huber_Etrue,"Pooled Huber-LSE, E fixed at truth (decomposition of E1)",tfp_growth,0.15,400,0.0,0.0798837239529812,0.07995461242460586,-0.07011627604701881,0.00046204548532295474,-0.07004538757539414,0.009240909706459095,0.07072109369116238,0.07004538757539414
funding_all,(b) + selection + ME in D,E2_pooled_nls,Pooled NLS + generation effects,alpha,0.3478,400,0.0,0.38548011891500883,0.3830287870613421,0.03768011891500886,0.0020431045206872876,0.03522878706134208,0.04086209041374575,0.05554572457307481,0.03764368871429333
funding_all,(b) + selection + ME in D,E2_pooled_nls,Pooled NLS + generation effects,beta,0.3658,400,0.0,0.40056896860994373,0.3937956088833149,0.03476896860994371,0.003178783428743543,0.027995608883314843,0.06357566857487086,0.07239227962189214,0.04394614137813438
funding_all,(b) + selection + ME in D,E2_pooled_nls,Pooled NLS + generation effects,a,0.5126121076233184,400,0.0,0.5077887007621326,0.5058303037071756,-0.004823406861185842,0.0030529724278834476,-0.006781803916142859,0.06105944855766895,0.061173530805976366,0.04115446504405415
funding_all,(b) + selection + ME in D,E2_pooled_nls,Pooled NLS + generation effects,gamma,0.17828649103139016,400,0.0,0.1934563452248042,0.19383083087084552,0.015169854193414016,0.0004546456317527185,0.01554433983945537,0.00909291263505437,0.017680464750331096,0.01557780023611692
funding_all,(b) + selection + ME in D,E2_pooled_nls,Pooled NLS + generation effects,sigma_star,0.7370283018867925,400,0.0,0.7180165697842062,0.7188333444694843,-0.01901173210258611,0.0005240974114702544,-0.0181949574173082,0.010481948229405088,0.021703513958060385,0.0181949574173082
funding_all,(b) + selection + ME in D,E2_pooled_nls,Pooled NLS + generation effects,lnMstar,2.8979598554678856,400,0.0,2.9672549867874607,2.9711923085454046,0.06929513131957488,0.041756098651685516,0.07323245307751902,0.8351219730337104,0.8369509861955508,0.5678272264316546
funding_all,(b) + selection + ME in D,E2_pooled_nls,Pooled NLS + generation effects,sd_omega,0.25,400,0.0,0.23149150642043062,0.23065324982623703,-0.018508493579569386,0.000938474901919199,-0.019346750173762972,0.01876949803838398,0.02634345565897399,0.020016364598132497
funding_all,(b) + selection + ME in D,E2_pooled_nls,Pooled NLS + generation effects,tfp_growth,0.15,400,0.0,0.13619791553642988,0.13565378241558224,-0.013802084463570128,0.0006041269649600782,-0.014346217584417745,0.012082539299201564,0.018333584539486057,0.014855590630503485
funding_all,(b) + selection + ME in D,E3_lab_fe,Lab FE NLS,alpha,0.3478,400,0.0,0.3581717684075093,0.3555367350777525,0.010371768407509325,0.0017056042418496196,0.007736735077752549,0.03411208483699239,0.03561318331735257,0.02265350134865926
funding_all,(b) + selection + ME in D,E3_lab_fe,Lab FE NLS,beta,0.3658,400,0.0,0.3791589617230642,0.36880647447379056,0.013358961723064158,0.0031526559165176915,0.0030064744737905713,0.06305311833035383,0.06437560368782526,0.03959458712291336
funding_all,(b) + selection + ME in D,E3_lab_fe,Lab FE NLS,a,0.5126121076233184,400,0.0,0.5118040071551851,0.5079341630843928,-0.0008081004681332244,0.0031043716259997944,-0.004677944538925727,0.062087432519995885,0.06201503995080006,0.04217809162215924
funding_all,(b) + selection + ME in D,E3_lab_fe,Lab FE NLS,gamma,0.17828649103139016,400,0.0,0.18127659343607427,0.18095484305066672,0.0029901024046840915,0.0003370977849595375,0.0026683520192765653,0.0067419556991907496,0.0073675670423636866,0.004635340215943043
funding_all,(b) + selection + ME in D,E3_lab_fe,Lab FE NLS,sigma_star,0.7370283018867925,400,0.0,0.7307614073786083,0.7329534554427027,-0.006266894508184207,0.0004703332584605691,-0.00407484644408973,0.009406665169211383,0.011293276894168045,0.004983467116842333
funding_all,(b) + selection + ME in D,E3_lab_fe,Lab FE NLS,lnMstar,2.8979598554678856,400,0.0,2.7181202220116787,2.738774139948653,-0.1798396334562074,0.04067932891259886,-0.15918571551923288,0.8135865782519772,0.8322323030696683,0.5065692481914228
funding_all,(b) + selection + ME in D,E3_lab_fe,Lab FE NLS,sd_omega,0.25,400,0.0,0.23572725365626745,0.23546302420650672,-0.01427274634373255,0.0009870045231658198,-0.014536975793493292,0.019740090463316394,0.02433943881365583,0.017578496068535995
funding_all,(b) + selection + ME in D,E3_lab_fe,Lab FE NLS,tfp_growth,0.15,400,0.0,0.1510002524190815,0.1512070159379449,0.0010002524190815016,0.0004886521975328859,0.0012070159379448803,0.009773043950657718,0.009811937219184195,0.006482198703572847
funding_all,(b) + selection + ME in D,E4_mundlak,Mundlak (CRE),alpha,0.3478,400,0.0,0.36223580876954764,0.3619769238827273,0.014435808769547634,0.0016604219251988319,0.014176923882727288,0.03320843850397664,0.036172309322652675,0.022546681868080565
funding_all,(b) + selection + ME in D,E4_mundlak,Mundlak (CRE),beta,0.3658,400,0.0,0.3800083661743375,0.3739114164738281,0.01420836617433751,0.002902621302430649,0.008111416473828043,0.05805242604861298,0.059695365222506284,0.036266729969398476
funding_all,(b) + selection + ME in D,E4_mundlak,Mundlak (CRE),a,0.5126121076233184,400,0.0,0.5100058973085251,0.5073249672096736,-0.0026062103147933818,0.0029234521142878145,-0.005287140413644809,0.058469042285756286,0.05845403891737472,0.040386530380023655
funding_all,(b) + selection + ME in D,E4_mundlak,Mundlak (CRE),gamma,0.17828649103139016,400,0.0,0.1828829012510239,0.18334545587964085,0.004596410219633772,0.00034284044240328606,0.005058964848250677,0.006856808848065721,0.008247743625811781,0.006113709830411651
funding_all,(b) + selection + ME in D,E4_mundlak,Mundlak (CRE),sigma_star,0.7370283018867925,400,0.0,0.729428982688136,0.7304404676342073,-0.007599319198656346,0.00042413499862475055,-0.006587834252585079,0.008482699972495011,0.011380947263271867,0.00707474196928376
