family,uid,model,lab,N,D,M,flagship,flag_model,N_f,D_f,w_abs,w_flag_abs,D_varies,n_fam,flag_band_has1,wrel_chin,wrel_chin_lo,wrel_chin_hi,wrel_farseer_emb,wrel_farseer_emb_lo,wrel_farseer_emb_hi,wrel_gadre_rw,wrel_gadre_rw_lo,wrel_gadre_rw_hi,wrel_hoff,wrel_meta_a2,wrel_meta_a2_lo,wrel_meta_a2_hi,TDrel,Trel
Cerebras-GPT,B:cerebras/Cerebras-GPT-1.3B,Cerebras-GPT-1.3B,Cerebras,1300000000.0,26000000000.0,20.0,False,Cerebras-GPT-6.7B,6700000000.0,134000000000.00002,0.9610226998778745,0.9928370020111039,True,6,True,0.9679561679623293,0.8680503461240243,1.0398003498873074,1.2484982888362628,1.1412980929416596,1.3812098263626593,0.8956842074307726,0.7516400662682111,1.0736691997535945,1.0931222588088965,1.0684185931104657,0.9989427630221372,1.0940623269719836,-0.09613149611301208,-2499418898.938314
Cerebras-GPT,B:cerebras/Cerebras-GPT-2.7B,Cerebras-GPT-2.7B,Cerebras,2700000000.0,54000000000.0,20.0,False,Cerebras-GPT-6.7B,6700000000.0,134000000000.00002,0.9750754667865437,0.9928370020111039,True,6,True,0.9821103210410325,0.9245650398197902,1.0218680129790618,1.130901215793918,1.0760053443602322,1.196027913597989,0.9407647672713242,0.8536431865563712,1.0401847917571219,1.050588903486053,1.037362234316637,0.9994138701759653,1.0510895824112039,-0.05366903687690261,-2898127991.352741
Cerebras-GPT,B:cerebras/Cerebras-GPT-6.7B,Cerebras-GPT-6.7B,Cerebras,6700000000.0,134000000000.00002,20.000000000000004,True,Cerebras-GPT-6.7B,6700000000.0,134000000000.00002,0.9928370020111039,0.9928370020111039,True,6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Codegen-NL,B:Salesforce/codegen-6B-nl,codegen-6B-nl,Salesforce,6000000000.0,360000000000.0,60.0,False,codegen-16B-nl,16000000000.0,360000000000.0,1.4829000237377734,1.0547959639673186,False,2,True,1.4058643324347408,1.3645023069221034,1.4426959062335938,1.5520954898652095,1.4547811385732496,1.6579097545170483,1.2439850644917625,1.1597915020984606,1.3224354254891357,1.3947250270547702,1.3349212767327012,1.2739900344048316,1.3515979780827359,1.2175929973042225,438333479029.52014
Codegen-NL,B:Salesforce/codegen-16B-nl,codegen-16B-nl,Salesforce,16000000000.0,360000000000.0,22.5,True,codegen-16B-nl,16000000000.0,360000000000.0,1.0547959639673186,1.0547959639673186,False,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
DeepSeek-LLM,B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,67000000000.0,2000000000000.0,29.850746268656717,True,deepseek-llm-67b-base,67000000000.0,2000000000000.0,1.2039277565253241,1.2039277565253241,False,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
DeepSeek-LLM,B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,7000000000.0,2000000000000.0,285.7142857142857,False,deepseek-llm-67b-base,67000000000.0,2000000000000.0,2.6381771577149187,1.2039277565253241,False,2,True,2.1913085261270187,2.045674315391111,2.325780052525322,2.7521497460591475,2.370892400784743,3.2035658625527437,1.653304401587074,1.4068977777802567,1.903343121715941,2.151529563192943,1.9449828026830864,1.7465867171603442,2.001395372959453,3.573925578381056,7147851156762.112
DeepSeek-V2,B:deepseek-ai/DeepSeek-V2,DeepSeek-V2,DeepSeek,21000000000.0,8100000000000.0,385.7142857142857,True,DeepSeek-V2,21000000000.0,8100000000000.0,3.0104781116759045,3.0104781116759045,True,2,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
DeepSeek-V2,B:deepseek-ai/DeepSeek-V2-Lite,DeepSeek-V2-Lite,DeepSeek,2400000000.0,5700000000000.0,2375.0,False,DeepSeek-V2,21000000000.0,8100000000000.0,5.620442582419481,3.0104781116759045,True,2,False,1.8669601219225076,1.7376157316634535,1.9836717112197568,2.368441911379051,2.060999027840804,2.740675650620501,1.463715254195897,1.2589332571986596,1.7042547694435555,1.8882108815182672,1.7324134902584876,1.5826720880840577,1.778431547578476,2.600880365767523,14825018084874.88
Falcon,B:tiiuae/falcon-180B,falcon-180B,TII,179522565120.0,3500000000000.0,19.49615636151623,True,falcon-180B,179522565120.0,3500000000000.0,1.0499606903014174,1.0499606903014174,True,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Falcon,B:tiiuae/falcon-40b,falcon-40b,TII,41835970560.0,1000000000000.0,23.902875602367764,False,falcon-180B,179522565120.0,3500000000000.0,1.0992694913926098,1.0499606903014174,True,3,True,1.0469625211178477,0.9585319813035823,1.110492405320891,1.2980947806090186,1.19848383078341,1.4239000810768168,0.9619347223653515,0.8340385508365875,1.1188598422896723,1.1469975376489905,1.1169241095051035,1.0577630220831662,1.1380135069316957,0.14088756335354313,140887563353.54312
