spec,conv,M_bin,delta,se,lo,hi,se_run_wild,delta_pop,ratio,ratio_lo,ratio_hi
chin_M100,emb,">=1,024",-1.673374177557064,0.056593023359938516,-1.7827201616446477,-1.5744801859725563,0.0491445219897031,-1.7416579988679541,0.18761295701384514,0.1681800475836345,0.20711518608307553
chin_M100,emb,M>=1000,-1.673374177557064,0.056593023359938516,-1.7827201616446477,-1.5744801859725563,0.0491445219897031,-1.7416579988679541,0.18761295701384514,0.1681800475836345,0.20711518608307553
kappa_full,emb,M<16,-0.04498836504766926,0.0050331832408568805,-0.056581867132251856,-0.037545620250692094,0.004011945997468852,-0.047072762833955166,0.9560086048829373,0.9449891177792126,0.9631504775523085
kappa_full,emb,16-64,0.02708507105049962,0.0017612072543243301,0.02299521610233301,0.029875110415633056,0.002852540667767491,0.02726790060668457,1.0274552057393986,1.0232616443565152,1.030325848950938
kappa_full,emb,64-256,-0.042789355697593214,0.003419934376647697,-0.04931802111250826,-0.0362072872801759,0.003053161264946897,-0.03927353936608598,0.9581131898968048,0.9518783641418,0.964440356543247
kappa_full,emb,"256-1,024",-0.28437250202283976,0.01037500649502848,-0.30381559951501025,-0.2642371803140947,0.010570214956148963,-0.29290094944431205,0.7524862898279383,0.7379969408979311,0.7677914130506306
kappa_full,emb,">=1,024",-0.6967202359648191,0.05558989750582681,-0.7950074370990744,-0.5880100670425843,0.050592076732380566,-0.7533767509720012,0.49821666018083655,0.4515778764806965,0.5554314571177416
kappa_full,emb,M>=1000,-0.6967202359648191,0.05558989750582681,-0.7950074370990744,-0.5880100670425843,0.050592076732380566,-0.7533767509720012,0.49821666018083655,0.4515778764806965,0.5554314571177416
kappa_M100,emb,M<16,-0.004225266647081844,0.005011781268729059,-0.014507414443880942,0.003907299908895428,0.004012243186569277,-0.006139793226660358,0.9957836472331115,0.9855973110493392,1.0039149433570236
kappa_M100,emb,16-64,-0.05503003735737474,0.0033442291133535225,-0.06401480664198536,-0.051662896715243364,0.003952145278122765,-0.05328454548029554,0.9464567184678203,0.937991110929343,0.9496489426684916
kappa_M100,emb,64-256,-0.21048515894886752,0.007821292191068972,-0.22921682528746254,-0.20040501648207484,0.0072860948641269045,-0.20441912831959777,0.8101910791513558,0.7951561048613103,0.81839922077116
kappa_M100,emb,"256-1,024",-0.5345186888013383,0.008691721445464564,-0.5569260095649682,-0.5233941746553035,0.012605205205290581,-0.5395629196418463,0.5859512471819492,0.5729676566113491,0.5925060620866583
kappa_M100,emb,">=1,024",-1.0034145400430212,0.048468428793545945,-1.097555564974004,-0.9182492912749125,0.04980646093530115,-1.0559783361698822,0.3666254442183343,0.33368576074110273,0.3992173429300644
kappa_M100,emb,M>=1000,-1.0034145400430212,0.048468428793545945,-1.097555564974004,-0.9182492912749125,0.04980646093530115,-1.0559783361698822,0.3666254442183343,0.33368576074110273,0.3992173429300644
eq3_full,emb,M<16,-0.07352851683644564,0.004522773347824569,-0.08245645195587549,-0.0658212151197696,0.003677683713853083,-0.07339476170191385,0.9291096501458018,0.9208515382670716,0.9362982452982219
eq3_full,emb,16-64,-0.013740248665357382,0.0010711671571627542,-0.0158668764729187,-0.01175394353687157,0.0027448671190434706,-0.013371109679739273,0.9863537176853259,0.9842583392759048,0.9883148642061677
eq3_full,emb,64-256,-0.04655141850821278,0.0027205079220405425,-0.05174732529529672,-0.041223369052018295,0.0027610889629180488,-0.0437873199915942,0.9545154795461204,0.9495687685412544,0.9596147577678895
eq3_full,emb,"256-1,024",-0.2510300962526655,0.008739697784481307,-0.267649157322645,-0.2342472592428169,0.008803611884113131,-0.26129748161305183,0.7779989563534402,0.7651761904786947,0.791166168560994
eq3_full,emb,">=1,024",-0.6176425537742167,0.054135550596960944,-0.7134236766523899,-0.5138796900433574,0.04857129289280106,-0.6769740680456633,0.5392141086813969,0.4899638448342258,0.598170355583376
eq3_full,emb,M>=1000,-0.6176425537742167,0.054135550596960944,-0.7134236766523899,-0.5138796900433574,0.04857129289280106,-0.6769740680456633,0.5392141086813969,0.4899638448342258,0.598170355583376
eq3_M100,emb,M<16,-0.03588874265849181,0.0044735153919335646,-0.04483624690411058,-0.02888949529119641,0.0033809846129037894,-0.03542478329035618,0.9647476227681624,0.956154042198685,0.9715238164914806
eq3_M100,emb,16-64,-0.05079126764073654,0.002151590073822038,-0.05585227910913093,-0.047520593053333615,0.003044794107585856,-0.048281072335948964,0.950477045144165,0.9456788220909326,0.9535908355834929
eq3_M100,emb,64-256,-0.1712641653935686,0.006017931282402271,-0.1858688752201653,-0.1620012376829656,0.005512382487251102,-0.16503101180423382,0.842598958583825,0.8303824715623301,0.8504401519642922
eq3_M100,emb,"256-1,024",-0.4911539687420384,0.006566183227260627,-0.5066264593629731,-0.48097516363019976,0.010524400773665203,-0.4967770285336803,0.6119198502182109,0.6025247959484741,0.6181802708660771
eq3_M100,emb,">=1,024",-0.9782218361751278,0.0481232438127884,-1.068443372457579,-0.8895758873836136,0.04864495878814336,-1.0319561259825336,0.3759790571641046,0.34354286971005404,0.41082995397593663
eq3_M100,emb,M>=1000,-0.9782218361751278,0.0481232438127884,-1.068443372457579,-0.8895758873836136,0.04864495878814336,-1.0319561259825336,0.3759790571641046,0.34354286971005404,0.41082995397593663
