item,statistic,reviewer,builder,abs_diff,agree,tol,note
T1.2,fe_weighted CR2 s.e. [designs (6)],0.0236893,0.0236887,6.19339e-07,True,0.0005,
T1.2,fe_weighted CR2 df [designs (6)],1.58058,1.58059,1.1661e-05,True,0.05,
T1.2,fe_weighted CR2 p [designs (6)],0.488597,0.488576,2.125e-05,True,0.01,
T1.2,fe_weighted wild p enumerated [designs (6)],0.366255,0.366298,4.2856e-05,True,0.01,
T1.2,"fe_weighted CR2 p, Cholesky-form adjustment (sensitivity) [designs (6)]",0.442778,,,,0.0005,
T1.2,fe_unweighted slope [studies (4; Marin one cluster)],-0.0263225,-0.0263221,3.5113e-07,True,0.0002,
T1.2,fe_unweighted CR2 s.e. [studies (4; Marin one cluster)],0.0141829,0.0141826,3.12899e-07,True,0.0005,
T1.2,fe_unweighted CR2 df [studies (4; Marin one cluster)],2.7195,2.71951,1.28911e-05,True,0.05,
T1.2,fe_unweighted CR2 p [studies (4; Marin one cluster)],0.16989,0.169886,3.95284e-06,True,0.01,
T1.2,fe_unweighted wild p enumerated [studies (4; Marin one cluster)],0.0509259,0.0509259,2.59259e-08,True,0.01,
T1.2,fe_unweighted slope [designs (6)],-0.0263225,-0.0263221,3.5113e-07,True,0.0002,
T1.2,fe_unweighted CR2 s.e. [designs (6)],0.0108049,0.0108047,2.38501e-07,True,0.0005,
T1.2,fe_unweighted CR2 df [designs (6)],4.474,4.47395,4.5193e-05,True,0.05,
T1.2,fe_unweighted CR2 p [designs (6)],0.0648118,0.0648102,1.58802e-06,True,0.01,
T1.2,fe_unweighted wild p enumerated [designs (6)],0.0734739,0.0734739,3.68999e-08,True,0.01,
T1.4,primary study-level mean (check vs rb1),0.687259,0.687259,3.49313e-07,True,1e-06,
T1.4,primary study-level Q (check vs rb1),8.2512,8.2512,1.68634e-06,True,0.0001,
T1.4,Chinchilla: RE sigma all budgets (vs rb4 summary),0.659649,0.659649,5.35447e-07,True,1e-06,
T1.4,Chinchilla: RE sigma budgets <= 3e20,0.698379,0.698379,3.26191e-07,True,1e-06,
T1.4,Chinchilla: RE s.e. budgets <= 3e20,0.0227902,0.0227903,5.46054e-08,True,1e-06,
T1.4,Llama 3: RE sigma all budgets (vs rb4 summary),0.659508,0.659508,1.08991e-07,True,1e-06,
T1.4,Llama 3: RE sigma budgets <= 3e20,0.685957,0.685957,1.21193e-07,True,1e-06,
T1.4,Llama 3: RE s.e. budgets <= 3e20,0.0254977,0.0254979,1.99043e-07,True,1e-06,
T1.4,"Marin, Comma: RE sigma all budgets (vs rb4 summary)",0.699969,0.699969,1.72993e-07,True,1e-06,
T1.4,"Marin, Comma: RE sigma budgets <= 3e20",0.699969,0.699969,1.2043e-08,True,1e-06,
T1.4,"Marin, Comma: RE s.e. budgets <= 3e20",0.0265002,0.0265002,3.35729e-08,True,1e-06,
T1.4,"Marin, DCLM: RE sigma all budgets (vs rb4 summary)",0.712588,0.712588,7.08769e-08,True,1e-06,
T1.4,"Marin, DCLM: RE sigma budgets <= 3e20",0.712588,0.712588,2.23851e-07,True,1e-06,
T1.4,"Marin, DCLM: RE s.e. budgets <= 3e20",0.0271711,0.0271711,4.89522e-08,True,1e-06,
T1.4,"Marin, Nemotron-CC: RE sigma all budgets (vs rb4 summary)",0.704925,0.704925,7.06008e-08,True,1e-06,
T1.4,"Marin, Nemotron-CC: RE sigma budgets <= 3e20",0.704925,0.704925,3.88647e-08,True,1e-06,
T1.4,"Marin, Nemotron-CC: RE s.e. budgets <= 3e20",0.0232614,0.0232614,1.9386e-08,True,1e-06,
T1.4,study-level mean <= 3e20,0.707736,0.707736,3.92003e-07,True,1e-06,
T1.4,study-level <= 3e20 HKSJ lo,0.689705,0.689705,6.02009e-08,True,1e-06,
T1.4,study-level <= 3e20 HKSJ hi,0.725766,0.725767,7.23805e-07,True,1e-06,
T1.4,study-level <= 3e20 Q,1.0168,1.01681,9.60983e-06,True,0.0001,
T1.4,study-level <= 3e20 with Farseer full-path FD,0.706658,,,,0.0005,
T1.4,Farseer weight share in the <= 3e20 mean,0.840012,0.840013,7.41876e-07,True,0.0001,
T1.4,"study-level <= 3e20, Farseer bandwidth as uncertainty [review]",0.7014,0.7014,8.29626e-08,True,1e-06,
T1.4,  HKSJ lo,0.665128,0.665129,6.70935e-07,True,1e-06,
T1.4,  HKSJ hi,0.737672,0.737672,1.63139e-07,True,1e-06,
T1.4,study-level mean on budgets 1e19-3e20 only (sensitivity),0.70816,,,,0.0005,"[0.690, 0.727] Q 0.70"
T1.5,grid+R11-R13 (k>=8): mean min,0.674222,0.674222,4.352e-07,True,1e-05,
T1.5,grid+R11-R13 (k>=8): mean max,0.701663,0.701663,2.6913e-07,True,1e-05,
T1.5,grid+R11-R13 (k>=8): Q min,4.41578,4.41578,4.51699e-06,True,0.001,
T1.5,grid+R11-R13 (k>=8): Q max,14.7703,14.7703,3.1957e-05,True,0.001,
T1.5,grid+R11-R13 (k>=8): number of rows,26,26,0,True,0,
T1.5,all variants: mean min,0.662912,0.662912,0,True,1e-05,
T1.5,all variants: mean max,0.701663,0.701663,2.6913e-07,True,1e-05,
T1.6,Farseer bandwidth range lo,0.663833,0.663833,2.73165e-07,True,1e-06,
T1.6,Farseer bandwidth range hi,0.726784,0.726784,1.78191e-07,True,1e-06,
T1.6,"study-level mean, bandwidth as uncertainty",0.680333,0.680333,1.55002e-08,True,1e-06,
T1.6,  HKSJ lo,0.643429,0.643429,9.94707e-08,True,1e-06,
T1.6,  HKSJ hi,0.717237,0.717237,1.30471e-07,True,1e-06,
T1.7,"lower bound at 1e23, anchor 1e21 (log10 21.000)",0.478612,,,,0.0005,
T1.7,"lower bound at 1e24, anchor 1e21 (log10 21.000)",0.421028,,,,0.0005,
T1.7,"lower bound at 1e23, anchor compute-weighted (w ~ C) (log10 21.188)",0.489434,,,,0.0005,
T1.7,"lower bound at 1e24, anchor compute-weighted (w ~ C) (log10 21.188)",0.43185,,,,0.0005,
T1.7,"lower bound at 1e23, anchor precision-weighted (log10 20.904)",0.473082,,,,0.0005,
T1.7,"lower bound at 1e24, anchor precision-weighted (log10 20.904)",0.415498,,,,0.0005,
T1.7,"lower bound at 1e23, anchor log10 of mean C (log10 21.093)",0.483992,,,,0.0005,
T1.7,"lower bound at 1e24, anchor log10 of mean C (log10 21.093)",0.426408,,,,0.0005,
