set,tau,level,year,n,share_gt1,share_gt1_cw,share_lt1,share_lt1_cw
S2(a),3.4,models below 15B,all,59,0.864406779661017,0.9613484312714708,0.0,0.0
S2(a),3.4,models below 15B,2023,16,0.5,0.42512105184982824,0.0,0.0
S2(a),3.4,models below 15B,2024,33,1.0,1.0,0.0,0.0
S2(a),3.4,models below 15B,2025,10,1.0,1.0,0.0,0.0
S2(a),3.4,decisions (49),all,49,0.6326530612244898,0.13762439151920586,0.0,0.0
S2(a),3.4,decisions (49),2023,16,0.3125,0.031147342302149033,0.0,0.0
S2(a),3.4,decisions (49),2024,27,0.8518518518518519,0.08157910141232515,0.0,0.0
S2(a),3.4,decisions (49),2025,6,0.5,0.42637120327361794,0.0,0.0
S2(a),3.4,decisions (56),all,56,0.625,0.14166976001542939,0.0,0.0
S2(a),3.4,decisions (56),2023,19,0.2631578947368421,0.031147342302149036,0.0,0.0
S2(a),3.4,decisions (56),2024,30,0.8666666666666667,0.08664652078031833,0.0,0.0
S2(a),3.4,decisions (56),2025,7,0.5714285714285714,0.42760337877536403,0.0,0.0
S2(a),4.4,models,all,77,0.6753246753246753,0.23050298984615808,0.0,0.0
S2(a),4.4,models,2023,24,0.2916666666666667,0.047117376792398226,0.0,0.0
S2(a),4.4,models,2024,40,0.875,0.19210574132196373,0.0,0.0
S2(a),4.4,models,2025,13,0.7692307692307693,0.48646881457147517,0.0,0.0
S2(a),4.4,models below 15B,all,59,0.847457627118644,0.9575227346237613,0.0,0.0
S2(a),4.4,models below 15B,2023,16,0.4375,0.3682200634262048,0.0,0.0
S2(a),4.4,models below 15B,2024,33,1.0,1.0,0.0,0.0
S2(a),4.4,models below 15B,2025,10,1.0,1.0,0.0,0.0
S2(a),4.4,decisions (49),all,49,0.6122448979591837,0.13694133650117749,0.0,0.0
S2(a),4.4,decisions (49),2023,16,0.25,0.02386630148522716,0.0,0.0
S2(a),4.4,decisions (49),2024,27,0.8518518518518519,0.08157910141232515,0.0,0.0
S2(a),4.4,decisions (49),2025,6,0.5,0.42637120327361794,0.0,0.0
S2(a),4.4,decisions (56),all,56,0.6071428571428571,0.140986704997401,0.0,0.0
S2(a),4.4,decisions (56),2023,19,0.21052631578947367,0.023866301485227163,0.0,0.0
S2(a),4.4,decisions (56),2024,30,0.8666666666666667,0.08664652078031833,0.0,0.0
S2(a),4.4,decisions (56),2025,7,0.5714285714285714,0.42760337877536403,0.0,0.0
S2(a),8.0,models,all,77,0.5324675324675324,0.15746732980646963,0.0,0.0
S2(a),8.0,models,2023,24,0.125,0.02236710606689069,0.0,0.0
S2(a),8.0,models,2024,40,0.7,0.09517621220173272,0.0,0.0
S2(a),8.0,models,2025,13,0.7692307692307693,0.48646881457147517,0.0,0.0
S2(a),8.0,models below 15B,all,59,0.6949152542372882,0.8819527268875884,0.0,0.0
S2(a),8.0,models below 15B,2023,16,0.1875,0.17479787236245106,0.0,0.0
S2(a),8.0,models below 15B,2024,33,0.8484848484848485,0.8614151796676579,0.0,0.0
S2(a),8.0,models below 15B,2025,10,1.0,1.0,0.0,0.0
