dataset,lnC,C,lnNstar,Nstar,Dstar,Lstar,a_A2,lnG_A2,E_A1,lnK_A1,gamma_A1
marin_202603__nemotron__llama_2,44.33690343178899,1.8000000000000051e+19,20.281693460609244,643024549.1845477,4665451737.114021,3.375775809798789,0.4223734822719682,2.371323913479915,0.882824288621672,4.090186441592879,0.0746645469363178
marin_202603__nemotron__llama_2,44.84772905555498,3.0000000000000025e+19,20.55917723421719,848666824.352067,5891593563.6076765,3.2812114938227808,0.4223734822719682,2.371323913479915,0.882824288621672,4.090186441592879,0.0746645469363178
marin_202603__nemotron__llama_2,45.94634134422309,9.00000000000005e+19,21.06274635871532,1404217940.4095654,10682102520.086779,3.0997005417804075,0.4223734822719682,2.371323913479915,0.882824288621672,4.090186441592879,0.0746645469363178
marin_202603__nemotron__llama_2,46.639488524783026,1.799999999999988e+20,21.336792602459564,1846933627.9473746,16243139193.551247,2.9846295463458574,0.4223734822719682,2.371323913479915,0.882824288621672,4.090186441592879,0.0746645469363178
marin_202603__nemotron__llama_2,47.150314148549015,2.999999999999974e+20,21.51598778356282,2209402123.5887465,22630556685.97993,2.8990333392073495,0.4223734822719682,2.371323913479915,0.882824288621672,4.090186441592879,0.0746645469363178
misfitting__fineweb_c4__transformer,40.04409822513778,2.459976124080908e+17,17.300234233661588,32613413.985766314,1257139227.6168592,4.035589267484156,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,40.25760512290574,3.045480054210411e+17,17.84432017970559,56193979.32662057,903264042.0156443,4.071053664392252,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,40.47111202067368,3.770340967865535e+17,17.955795388423322,62820712.15345236,1000291368.5154536,3.9901014107254014,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,40.684618918441636,4.667727504671182e+17,18.124663854754942,74377486.61535472,1045954386.8900517,3.9004893965435485,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,40.898125816209586,5.778702839758852e+17,18.085437325419054,71516398.09958532,1346708119.4702857,3.8368061194258445,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,41.11163271397755,7.154103678250149e+17,18.280107795666154,86886028.07524832,1372315709.9655275,3.743760925385999,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,41.3251396117455,8.856866473045257e+17,18.36026083454508,94136916.08133316,1568082399.1502318,3.6710639058199774,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,41.53864650951345,1.0964907310448718e+18,18.39026977150376,97004678.91134486,1883913819.6742444,3.630629251188765,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,41.7521534072814,1.357468724324048e+18,18.49296659537478,107496257.97323056,2104675936.1956794,3.5688864158915408,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,41.965660305049354,1.6805626215937078e+18,18.58916970249013,118351515.90347794,2366625962.7299542,3.520771103865343,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,42.179167202817304,2.0805567557398072e+18,18.844349301911848,152755521.3853811,2270028972.734423,3.4201085742071626,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,42.39267410058525,2.575754308845422e+18,18.832658349223713,150980062.437484,2843371355.640594,3.407310810369907,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,42.60618099835321,3.1888148406586957e+18,18.942965172070735,168587451.32263988,3152483390.3127565,3.3734979096749527,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,42.81968789612117,3.947791158918094e+18,19.050159096295708,187663138.3525341,3506097142.6205015,3.3144519943470527,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,43.033194793889116,4.887412977296743e+18,19.18715153917793,215215743.08550006,3784894254.8122444,3.278241533528103,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,43.246701691657066,6.050676099389938e+18,19.258076639986815,231034276.35942712,4364919493.573841,3.222548781606193,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,43.46020858942502,7.490809847621773e+18,19.35100134457796,253532187.3114153,4924299045.325791,3.1793137041277504,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,43.67371548719297,9.273712763914842e+18,19.457881312241238,282130789.0215575,5478376888.05991,3.128932177913498,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,43.88722238496092,1.14809680364402e+19,19.530168639809833,303280488.47452825,6309323367.173166,3.0952202192082297,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,44.10072928272888,1.4213576634232367e+19,19.65982707116532,345266476.03786814,6861162619.15596,3.0525458064082684,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,44.31423618049683,1.7596578972781042e+19,19.90679610988295,441989246.2005338,6635372211.747335,3.0154806374293344,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
misfitting__fineweb_c4__transformer,44.527743078264784,2.178477659166924e+19,20.12372289599112,549062532.7490689,6612718737.94178,2.976201193593667,0.5174199142323614,-2.15394071713401,1.9573077912575085,7.092337993878645,0.16547200601179737
