model,family,lab,date,N_total,N_active,N,N_src,N_nonemb,D,D_src,D_card_verified,epoch_D,D_vs_epoch,M,moe,distilled,synthetic,code
bloom-7b1,BLOOM,BigScience,2022-07-05 00:00:00,7069016064.0,7069016064.0,7069016064.0,HF safetensors (float tensors),6041411584.0,341000000000.0,ObsScaling,,354000000000.0,-0.0162488830332901,48.23867945874285,False,False,False,False
bloom,BLOOM,BigScience,2022-07-11 00:00:00,176247271424.0,176247271424.0,176247271424.0,HF safetensors (float tensors),,366000000000.0,ObsScaling,,379000000000.0,-0.0151581245736616,2.07662789354344,False,False,False,False
gpt-neox-20b,GPT-Neo/J,EleutherAI,2022-02-09 00:00:00,20554568208.0,20554568208.0,20554568208.0,HF safetensors (float tensors),19934859792.0,472000000000.0,ObsScaling,,477642715151.0,-0.0051611597821386,22.96326515953246,False,False,False,False
gpt-neo-2.7B,GPT-Neo/J,EleutherAI,2021-03-21 00:00:00,2651307520.0,2651307520.0,2651307520.0,HF safetensors (float tensors),2522649600.0,420000000000.0,ObsScaling,,420000000000.0,0.0,158.41240475944488,False,False,False,False
gpt-neo-1.3B,GPT-Neo/J,EleutherAI,2021-03-21 00:00:00,1315575808.0,1315575808.0,1315575808.0,HF safetensors (float tensors),1212649472.0,380000000000.0,ObsScaling,,,,288.84690467035404,False,False,False,False
gpt-neo-125m,GPT-Neo/J,EleutherAI,2021-03-21 00:00:00,125198592.0,125198592.0,125198592.0,HF safetensors (float tensors),86601216.0,300000000000.0,ObsScaling,,,,2396.1930817880125,False,False,False,False
gpt-j-6b,GPT-Neo/J,EleutherAI,2021-05-01 00:00:00,6050000000.0,6050000000.0,6050000000.0,reported,5637123200.0,402000000000.0,ObsScaling,,400000000000.0,0.0021660617565076,66.44628099173553,False,False,False,False
opt-6.7b,OPT,Meta,2022-06-21 00:00:00,6700000000.0,6700000000.0,6700000000.0,reported,6494085888.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,300600000000.0,-0.0008677215312269,44.776119402985074,False,False,False,False
opt-1.3b,OPT,Meta,2022-06-21 00:00:00,1300000000.0,1300000000.0,1300000000.0,reported,1197042944.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,300600000000.0,-0.0008677215312269,230.76923076923077,False,False,False,False
opt-350m,OPT,Meta,2022-06-21 00:00:00,350000000.0,350000000.0,350000000.0,reported,298521472.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,300600000000.0,-0.0008677215312269,857.1428571428571,False,False,False,False
