variant,label,budget_C,nwin,nleft,nright,Nstar,Mstar,curv,slope,S,sigma,se_sigma,lo_sigma,hi_sigma,weight,sigma_current,se_current,delta_vs_current
P|corr,"P, runs moved to exact 6PD isocosts (budgets in T4)",6e+19,14,7,7,7.2597e+08,18.9741,0.141159,-0.138286,1.02077,0.662082,0.0466117,0.582969,0.766668,0.123554,0.672429,0.0447673,-0.0103468
P|corr,"P, runs moved to exact 6PD isocosts (budgets in T4)",1e+20,14,7,7,9.77314e+08,17.4494,0.0821324,-0.128597,0.638681,0.757954,0.0506305,0.685463,0.874719,0.15525,0.76411,0.0594352,-0.0061553
P|corr,"P, runs moved to exact 6PD isocosts (budgets in T4)",3e+20,10,5,5,1.66545e+09,18.0263,0.0889426,-0.108879,0.81689,0.710003,0.0864331,0.546941,0.887046,0.0743767,0.711619,0.0731896,-0.00161593
P|corr,"P, runs moved to exact 6PD isocosts (budgets in T4)",6e+20,9,5,4,2.00743e+09,24.8153,0.152249,-0.0983355,1.54826,0.563656,0.0547488,0.483034,0.687208,0.0960924,0.564433,0.0539698,-0.000777196
P|corr,"P, runs moved to exact 6PD isocosts (budgets in T4)",1e+21,14,10,4,2.64862e+09,23.7579,0.114097,-0.0912093,1.25093,0.615208,0.0374519,0.553218,0.70092,0.16879,0.616797,0.0381329,-0.00158887
P|corr,"P, runs moved to exact 6PD isocosts (budgets in T4)",3e+21,8,3,5,4.0441e+09,30.5721,0.113146,-0.0773241,1.46327,0.57749,0.0533152,0.485849,0.691761,0.0445676,0.578771,0.0542605,-0.00128134
NF_T4|6ND,N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test),6e+18,9,2,7,1.81827e+08,30.247,0.203433,-0.227764,0.893175,0.691282,0.0634169,0.608406,0.827475,0.0571788,0.670204,0.0659524,0.0210779
NF_T4|6ND,N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test),1e+19,13,4,9,2.69189e+08,23.0004,0.164412,-0.207832,0.791084,0.716567,0.0662087,0.613587,0.854583,0.0658441,0.703629,0.062629,0.0129384
NF_T4|6ND,N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test),3e+19,14,3,11,5.65306e+08,15.646,0.120185,-0.17164,0.700215,0.740682,0.0463336,0.655901,0.82944,0.207598,0.791017,0.0531528,-0.050335
NF_T4|6ND,N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test),6e+19,14,7,7,8.22859e+08,14.7689,0.137674,-0.15206,0.905396,0.688374,0.0455941,0.606633,0.795977,0.221811,0.672429,0.0447673,0.0159458
