scenario,estimator,param,R,n_fail_v1,n_fail_v2,bias_v1,bias_v2,median_bias_v1,median_bias_v2,max_abs_diff,share_diff_gt_1e4
funding_all,E10_foc_system_T,gamma,100,0,0,-0.0023076394311238955,-0.0023076418904121997,-0.0021781455244950926,-0.002178152317479254,2.949341633140534e-07,0.0
funding_all,E10_foc_system_T,sigma_star,100,0,0,0.0025742340372861194,0.0025742368681313963,0.002447583187382474,0.0024475906434279215,3.321123119848224e-07,0.0
funding_all,E10_foc_system_T,lnMstar,100,0,0,-0.016978781177435585,-0.016978647439101734,-0.009330976915181477,-0.009331066125160659,5.04385685262676e-06,0.0
funding_all,E10_foc_system_T,sd_omega,100,0,0,-0.012558108572882538,-0.012558107110838984,-0.011773446853776529,-0.011773446112994565,1.2431291321335358e-07,0.0
funding_all,E10_foc_system_T,tfp_growth,100,0,0,0.00739263074138857,0.007392632568090172,0.006809398899106062,0.006809420182338821,2.8498865300985443e-07,0.0
funding_all,E1_pooled_huber,alpha,100,0,0,0.10778762163886428,0.10756642358431968,0.11374291881899204,0.11374291881899204,0.022119785808449366,0.01
funding_all,E1_pooled_huber,beta,100,0,0,0.07329974990721205,0.07416773465752467,0.0610706425842972,0.06523050995816046,0.08679834157208444,0.01
funding_all,E1_pooled_huber,a,100,0,0,-0.028172030666209366,-0.02753187161770226,-0.03581045351622311,-0.03443485163392143,0.06401581611354179,0.01
funding_all,E1_pooled_huber,gamma,100,0,0,0.03354483927308263,0.033760343485435426,0.037449438711041616,0.03758098878503521,0.021550397069253546,0.01
funding_all,E1_pooled_huber,sigma_star,100,0,0,-0.04554391549505985,-0.04569776712126296,-0.04407402454049841,-0.04471413573419114,0.015385135360396873,0.01
funding_all,E1_pooled_huber,lnMstar,100,0,0,0.7043146600687292,0.6982302289484071,0.6196292838165334,0.6134605031975018,0.6084423134131658,0.01
funding_all,E1_pooled_huber,sd_omega,100,0,0,-0.05060887101085829,-0.050459275598929126,-0.05046610823656689,-0.050466106911627825,0.014959525382538391,0.01
funding_all,E1_pooled_huber,tfp_growth,100,0,0,-0.09056339220508484,-0.09053244554727673,-0.09040714620514337,-0.0904071453787593,0.0030946554303408202,0.01
funding_all,E1b_pooled_huber_Etrue,alpha,100,0,0,0.13858962646733372,0.13858962665115424,0.1320229225235815,0.1320229226774991,9.503491660289853e-09,0.0
funding_all,E1b_pooled_huber_Etrue,beta,100,0,0,0.12705538842996278,0.12705538824356732,0.12040891892294608,0.12040891892294608,1.5077356529946684e-08,0.0
funding_all,E1b_pooled_huber_Etrue,a,100,0,0,-0.010322437163165494,-0.010322437382019824,-0.009247596525930935,-0.00924759559092908,1.2562829054818536e-08,0.0
funding_all,E1b_pooled_huber_Etrue,gamma,100,0,0,0.0642962629849722,0.06429626294761107,0.06515390878188985,0.06515390875222966,2.812946459096466e-09,0.0
funding_all,E1b_pooled_huber_Etrue,sigma_star,100,0,0,-0.06559694988575328,-0.06559694988398858,-0.06545631372672978,-0.06545631392347678,1.5029312239178694e-09,0.0
funding_all,E1b_pooled_huber_Etrue,lnMstar,100,0,0,0.5363996623766765,0.5363996687286915,0.4578825202747676,0.4578825202747676,5.631281654316922e-07,0.0
funding_all,E1b_pooled_huber_Etrue,sd_omega,100,0,0,-0.01758851990132413,-0.017588519929286492,-0.017509562500027262,-0.017509562425952516,1.5895595117942918e-09,0.0
funding_all,E1b_pooled_huber_Etrue,tfp_growth,100,0,0,-0.07017242943904316,-0.07017242938211647,-0.06944184769375158,-0.06944184743411366,2.196542114862865e-09,0.0
funding_all,E2_pooled_nls,alpha,100,0,0,0.04664191860894053,0.04664574391414196,0.04267281858945349,0.04271543517182497,9.431511073954013e-05,0.0
funding_all,E2_pooled_nls,beta,100,0,0,0.022956988219271356,0.02294915478107505,0.02140763937978074,0.02140912383702301,0.00016947583779680642,0.07
funding_all,E2_pooled_nls,a,100,0,0,-0.017237741138847514,-0.01724484252375656,-0.01357094272356707,-0.013534385233764656,0.00014277244260030297,0.08
funding_all,E2_pooled_nls,gamma,100,0,0,0.01497985041922602,0.01497882215385083,0.015146208204807651,0.015146929465807368,2.3179494515190857e-05,0.0
funding_all,E2_pooled_nls,sigma_star,100,0,0,-0.018309658026975584,-0.01830863563740965,-0.018092369510141815,-0.018091991998589407,2.3628534769337683e-05,0.0
funding_all,E2_pooled_nls,lnMstar,100,0,0,0.2288441328083238,0.22891331718738228,0.22774773104519008,0.22807926052109018,0.0014543798063595403,0.62
funding_all,E2_pooled_nls,sd_omega,100,0,0,-0.019321317800567377,-0.019321303648845888,-0.019237219230816602,-0.01923755076634648,5.844328293536094e-07,0.0
funding_all,E2_pooled_nls,tfp_growth,100,0,0,-0.013834184568425601,-0.013834101439480046,-0.014188259432179273,-0.014188268716116614,2.4823283253094797e-06,0.0
funding_all,E3_lab_fe,alpha,100,0,0,0.01920523736531346,0.019205905475240016,0.01465123412927194,0.014650664709541628,5.616023225635258e-05,0.0
funding_all,E3_lab_fe,beta,100,0,0,-0.0019487369500820223,-0.0019496653720889462,-0.009030964945848124,-0.009010543398920351,7.623159528569179e-05,0.0
funding_all,E3_lab_fe,a,100,0,0,-0.01634539242108985,-0.01634630056361741,-0.01489432557498166,-0.014899745128174602,9.006889573681676e-05,0.0
funding_all,E3_lab_fe,gamma,100,0,0,0.0018620402242287477,0.0018619542390188764,0.001610365424718041,0.0016090759755989226,1.3355196205849795e-05,0.0
funding_all,E3_lab_fe,sigma_star,100,0,0,-0.004573901392559181,-0.00457384179986229,-0.0031591469804487238,-0.0031567985773320872,1.3473382287076952e-05,0.0
funding_all,E3_lab_fe,lnMstar,100,0,0,-0.01336758912523476,-0.013354422362300911,-0.025113369375218797,-0.024912481956586907,0.0011126292397882764,0.48
funding_all,E3_lab_fe,sd_omega,100,0,0,-0.014774978065591644,-0.014774980403213924,-0.013799351535434046,-0.013799290881794879,1.0934754076652453e-06,0.0
funding_all,E3_lab_fe,tfp_growth,100,0,0,0.001480729317585269,0.0014807155451021783,0.0021310165785905777,0.002131123374010724,1.1952518944868817e-06,0.0
funding_all,E4_mundlak,alpha,100,0,0,0.020539124071397515,0.020543415438197914,0.017104728117868256,0.017107048457683377,9.073927120822889e-05,0.0
funding_all,E4_mundlak,beta,100,0,0,0.00484253439773034,0.004833127749170242,0.006101917328782069,0.005982832332543736,0.00016164289920422847,0.14
funding_all,E4_mundlak,a,100,0,0,-0.01243113968490313,-0.01244018658641445,-0.008386976108369526,-0.008345815498784992,0.00017410943130380385,0.16
funding_all,E4_mundlak,gamma,100,0,0,0.004093183927653305,0.004092193157217976,0.004764284807562247,0.0047604480348164835,2.22229424236553e-05,0.0
funding_all,E4_mundlak,sigma_star,100,0,0,-0.00675773124024441,-0.006756375440553642,-0.005462463460357947,-0.005462148959950064,2.7115980847258747e-05,0.0
