sample,spec_key,spec,scale,re_groups,clusters,G,k,slope,se_model,se_cr2,df_cr2,lo_cr2,hi_cr2,p_cr2,t_cr2,p_wild,B_wild,p_wild_enum,n_enum,tau_between,reliable_df
leave out each design's largest budget,unweighted,"Design RE, unweighted (LMM)",sigma,design,designs (6),6,38,-0.0282665,0.0101642,0.0113609,4.40955,-0.0586871,0.00215398,0.0618597,-2.48805,0.1438,9999,0.142876,46656,0.00751145,True
leave out each design's largest budget,balanced,Design-balanced weights (CE-RVE),sigma,design,studies (4; Marin one cluster),4,38,-0.0287558,0.0361255,0.0139754,2.86592,-0.0744322,0.0169206,0.136048,-2.0576,0.069,9999,0.0694444,1296,0.0111481,False
leave out each design's largest budget,balanced,Design-balanced weights (CE-RVE),sigma,design,designs (6),6,38,-0.0287558,0.0361255,0.0139515,3.36405,-0.0705573,0.0130458,0.121444,-2.06113,0.0221,9999,0.0222479,46656,0.0111481,False
leave out each design's largest budget,weighted_S,"3-level RE, inverse-variance, on S = 2(1/sigma*-1)",S,design,studies (4; Marin one cluster),4,38,0.125013,0.0548921,0.084389,2.78807,-0.155477,0.405503,0.241706,1.48139,0.2815,9999,0.276235,1296,0.0424512,False
leave out each design's largest budget,weighted_S,"3-level RE, inverse-variance, on S = 2(1/sigma*-1)",S,design,designs (6),6,38,0.125013,0.0548921,0.0840594,3.22591,-0.132209,0.382235,0.227489,1.4872,0.2735,9999,0.27362,46656,0.0424512,False
leave out each design's largest budget,fe_weighted,"Design FE, inverse-variance",sigma,design,studies (4; Marin one cluster),4,38,-0.0104738,0.0109572,0.0377416,1.52475,-0.232462,0.211515,0.814337,-0.277512,0.6432,9999,0.640432,1296,,False
leave out each design's largest budget,fe_weighted,"Design FE, inverse-variance",sigma,design,designs (6),6,38,-0.0104738,0.0109572,0.0377438,1.53169,-0.2311,0.210153,0.814221,-0.277496,0.6418,9999,0.637131,46656,,False
leave out each design's largest budget,fe_unweighted,"Design FE, unweighted (OLS)",sigma,design,studies (4; Marin one cluster),4,38,-0.0228199,0.0106998,0.0126916,2.75952,-0.0652765,0.0196367,0.177966,-1.79802,0.0537,9999,0.0524691,1296,,False
leave out each design's largest budget,fe_unweighted,"Design FE, unweighted (OLS)",sigma,design,designs (6),6,38,-0.0228199,0.0106998,0.0111101,4.39855,-0.0525949,0.00695511,0.10285,-2.05397,0.1829,9999,0.187028,46656,,True
leave out each design's largest budget,weighted_studyRE,"3-level RE with study intercepts (Marin's corpora share one), inverse-variance",sigma,study,studies (4; Marin one cluster),4,38,-0.0298898,0.0127709,0.0181234,2.81604,-0.0897576,0.0299781,0.20355,-1.64924,0.2832,9999,0.283951,1296,0.0131957,False
leave out each design's largest budget,unweighted_studyRE,"Study RE, unweighted (LMM)",sigma,study,studies (4; Marin one cluster),4,38,-0.0259289,0.0101292,0.0121679,2.71899,-0.0670181,0.0151602,0.132191,-2.13094,0.1225,9999,0.128086,1296,0.0141712,False
leave out each design's largest budget,fe_weighted_study,"Study FE (Marin's corpora share one intercept), inverse-variance",sigma,study,studies (4; Marin one cluster),4,38,-0.0104193,0.0105932,0.0374062,1.54918,-0.22574,0.204902,0.813233,-0.278544,0.6334,9999,0.638889,1296,,False
all six designs (excl. Porian),weighted_hinge,"3-level RE, hinge at 3e20 (slope above the knot; descriptive)",sigma,design,studies (4; Marin one cluster),4,44,-0.152452,0.0379615,0.0291913,2.15157,,,0.0297167,-5.22252,0.0458,9999,0.0478395,1296,,False
all six designs (excl. Porian),weighted_hinge,"3-level RE, hinge at 3e20 (slope above the knot; descriptive)",sigma,design,designs (6),6,44,-0.152452,0.0379615,0.0290015,2.16034,,,0.0290642,-5.25672,0.0518,9999,0.050583,46656,,False
