spec,w,r_obs,life_penalty,train_penalty,ratio_proc,ratio_eff,ratio_proc_vs_w,w_hat_proc,w_true_c,s_hat_proc,s_true_c,N_ratio,epochs,mu_eff
D3,5.38,11.0751,0.24224507564583164,-0.2592306281850305,0.40374026074181524,0.3150698143389893,0.677058703868443,3.6425758268122235,9.022077263534504,0.7254689956927696,0.8891607807392864,1.3567372454702293,6.046929792175437,2.173899734247731
D3,5.38,12.1391,0.2711301943716331,-0.2670385798177788,0.3797316187975734,0.29156920823054727,0.6585453382951771,3.542973920028053,9.330205188724973,0.717751238769468,0.8928212209943203,1.3939997775199007,6.382706883614966,2.4297174453664803
D3,5.38,13.3052,0.30308494622881943,-0.2744427149294917,0.3561552417613954,0.26904354198376,0.6396469908157006,3.4413008105884693,9.662361821685481,0.7094122092078902,0.8965056351175263,1.4349405766302605,6.7275850627838105,2.7168704835902058
D3,5.38,14.5834,0.3384774846617131,-0.2813611128533764,0.3330972687944019,0.24754192152013443,0.6203994836041378,3.337749221790261,10.020344009036066,0.7003969041557795,0.9002030270519428,1.4799931461948383,7.0812478920996105,3.039719793152945
D3,5.38,15.9844,0.3777253190208463,-0.2876983007982329,0.3106450726831072,0.22710673175209917,0.6008459369733398,3.232551140916568,10.405930836102888,0.6906468122523015,0.9039009565073653,1.529648519892782,7.4433539029729445,3.4032160221985883
D3,5.38,16.0,0.3781650929539915,-0.28776063651011163,0.3104108915196723,0.22689583617519613,0.6006371974008622,3.2314281220166388,10.410163464937076,0.6905393026734169,0.9039400290525559,1.530202930731184,7.447267017318344,3.407308731870499
D3,5.38,17.5199,0.42131213064895223,-0.29334480799710294,0.2888807110207545,0.20776856837309948,0.581032536845225,3.1259550482273104,10.820919947135991,0.6800977670593544,0.9075864154909793,1.5844758152713392,7.813642959423404,3.8130475549326324
D3,5.38,19.203,0.4698103635995776,-0.2981918736475957,0.2678663952637137,0.18953833190673575,0.5609977842020158,3.0181680790068453,11.267438291523904,0.6686731905503889,0.9112486818985053,1.6451533401400282,8.191833017339363,4.2759776343925
D3,5.38,21.0477,0.5238813350188074,-0.30210736202647037,0.2476650956372462,0.17242258814805633,0.54078836205113,2.9094413878350793,11.747482544316714,0.6562914090033958,0.9148753789394829,1.7124632293213822,8.577722794139326,4.799704149791077
D3,5.38,23.0697,0.5843168955463256,-0.3049523096029625,0.2283210543800392,0.1564114680998565,0.520443286210493,2.799984879812452,12.263366983019848,0.6428552142513777,0.9184563259515414,1.787346394438857,8.971143899717678,5.393393094178863
D3,5.38,25.2858,0.6520458640115754,-0.30656609355464337,0.20987361546516684,0.14148978899816755,0.5000056028003105,2.6900301430656706,12.817381246820617,0.6282569537081996,0.921980942850705,1.8709070415381095,9.371941353740871,6.067647828727422
D3,5.38,27.7149,0.7281955971654002,-0.30676673270761956,0.19234727405096175,0.1276305712085979,0.4795120601179095,2.579774883434353,13.412068853914977,0.6123692782570472,0.9254402873343361,1.964488366542802,9.780098985006124,6.835113409980841
D3,5.38,30.3774,0.8141154671594271,-0.3053457046475886,0.17575845552106892,0.11480171059866186,0.4589997280345997,2.4694185368261463,14.050069622568609,0.5950463701931777,0.9288259754675022,2.06970020958112,10.195578709396306,7.710671598752782
D3,5.38,32.0,0.8678105300755212,-0.3037269486515215,0.16676775663114127,0.1079679215722775,0.4473684157521977,2.4068420767468237,14.432298697105479,0.5845178170760431,0.9307109684335623,2.135284840287175,10.43455056804261,8.262010284513673
D3,5.38,33.2956,0.911443668916857,-0.30205795425856796,0.16011487126630905,0.10296573195602786,0.4385042552584762,2.359152893290602,14.734127283947101,0.5761190371154044,0.9321303541954938,2.1884988340254012,10.618419720811557,8.711969030891327
D3,5.38,36.4942,1.022197363088527,-0.2966124904959926,0.1454142069915705,0.09207961863591652,0.4180572187602769,2.2491478369302897,15.467180844720833,0.5553871632712092,0.9353469769288103,2.3232955031763174,11.048772923739895,9.860166612483566
D3,5.38,40.0,1.1488619862301332,-0.2886604714737496,0.13164741635688165,0.08209788209387418,0.3976893132605866,2.139568505341956,16.252263542657165,0.5326160403355839,0.9384701092635306,2.4770634605917503,11.486819612708949,11.180582184282876
