technology,C,N_kaplan,D_kaplan,M_kaplan,CE,CEG
m2: farseer (all),3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.2655792263474009,3.765354744621149
m2: farseer (all),1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.20939448718430714,4.775674916024934
m2: farseer (all),5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.1362909334737721,7.337245218827711
m2: farseer (all),1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.11191413571223215,8.93542172877363
m2: gadre (C4),3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.9005641324814584,1.1104150875346892
m2: gadre (C4),5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.8581419867187114,1.1653083236536566
m2: gadre (C4),2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.7360590539794397,1.3585866440927346
m2: gadre (C4),3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.4855826946036507,2.0593814629580947
m2: gadre (C4),1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.4029380486553403,2.481771089469306
m2: gadre (C4),5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.28344800083850974,3.527983958404191
m2: gadre (C4),1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.23996716084862005,4.167236868843217
m2: olmo_ladder (all),3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.3341796516249859,2.992402425274514
m2: olmo_ladder (all),5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.2764468948331095,3.617331280221824
m2: olmo_ladder (all),2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.1666693430618745,5.999903651319721
m2: olmo_ladder (all),3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.056238449641606424,17.781429011161404
m2: olmo_ladder (all),1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.03679660581866467,27.176419611309942
m2: olmo_ladder (all),5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.017541724193806178,57.00693893893799
m2: olmo_ladder (all),1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.012600913862770968,79.3593235292617
m2: datablations (single_epoch),3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.4189743582161606,2.3867809100720003
m2: datablations (single_epoch),5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.3679134932413094,2.71803023909241
m2: datablations (single_epoch),2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.26041635599159674,3.8400045810957764
m2: datablations (single_epoch),3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.1237971130686152,8.077732793702102
m2: datablations (single_epoch),1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.09243325906848623,10.818616697903876
m2: datablations (single_epoch),5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.0553342027075945,18.072005216815967
m2: datablations (single_epoch),1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.043951903283951,22.752143258495682
