design,variant,M_bin,n_points,u_mean,delta_lin,lo_pct,hi_pct,se,n_draws,convexity,convexity_lo,convexity_hi,delta_kappa_full_inside,rotation_kappa_full,rotation_kappa_full_lo,rotation_kappa_full_hi,delta_chin_full_inside,rotation_chin_full,rotation_chin_full_lo,rotation_chin_full_hi,delta_chin_M100_inside,rotation_chin_M100,rotation_chin_M100_lo,rotation_chin_M100_hi
"Marin, Comma",primary,M>=256,8,,-0.562592,-0.608099,-0.437381,0.0550014,999,0.562592,0.437381,0.608099,-0.556447,0.0061448,-0.119515,0.048102,-0.683551,-0.120959,-0.235071,-0.0432802,-1.24382,-0.681224,-0.730804,-0.572599
"Marin, DCLM",primary,M<16,55,-1.37192,-0.104305,-0.131402,-0.0708874,0.0161785,999,0.104305,0.0708874,0.131402,-0.0913716,0.0129333,0.00047324,0.0635553,-0.0839631,0.0203417,0.0115852,0.07991,-0.0653519,0.0389529,0.026553,0.084077
"Marin, DCLM",primary,16-64,20,1.27468,0.0574505,0.0349105,0.0910621,0.0150552,999,-0.0574505,-0.0910621,-0.0349105,0.0617369,0.00428643,-0.0384933,0.0201518,-0.00582262,-0.0632731,-0.086422,-0.0266533,-0.163581,-0.221031,-0.274592,-0.177488
"Marin, DCLM",primary,64-256,13,2.52885,-0.0949519,-0.120605,0.0339896,0.0472494,999,0.0949519,-0.0339896,0.120605,-0.0949633,-1.14719e-05,-0.0844324,0.0184919,-0.188585,-0.0936326,-0.152242,-0.0535002,-0.458228,-0.363276,-0.464395,-0.306834
"Marin, DCLM",primary,"256-1,024",7,3.67535,-0.439996,-0.551603,-0.263818,0.079591,999,0.439996,0.263818,0.551603,-0.454461,-0.0144651,-0.14627,0.0208371,-0.567929,-0.127933,-0.224565,-0.070969,-0.948561,-0.508565,-0.657308,-0.429848
"Marin, DCLM",primary,">=1,024",1,4.6278,-1.14257,-1.37504,-1.0519,0.0894025,999,1.14257,1.0519,1.37504,-1.15514,-0.0125702,-0.167698,0.019651,-1.29811,-0.155539,-0.272524,-0.0971985,-1.73618,-0.593613,-0.775017,-0.507217
"Marin, DCLM",primary,M>=256,8,,-0.527817,-0.628084,-0.383876,0.0674758,999,0.527817,0.383876,0.628084,-0.542045,-0.0142282,-0.148929,0.021166,-0.659201,-0.131384,-0.229933,-0.0735431,-1.04701,-0.519196,-0.672247,-0.439373
"Marin, Nemotron-CC",primary,M<16,54,-1.39471,-0.10621,-0.114191,-0.0727118,0.0105656,999,0.10621,0.0727118,0.114191,-0.0922526,0.0139578,-0.0063131,0.0633073,-0.0979531,0.00825731,-0.00822602,0.0687194,-0.0732613,0.0329491,0.00208172,0.0650879
"Marin, Nemotron-CC",primary,16-64,20,1.25741,0.0553003,0.0218702,0.0861556,0.0172591,999,-0.0553003,-0.0861556,-0.0218702,0.0609494,0.00564915,-0.0257976,0.0371913,0.00832171,-0.0469785,-0.0648662,0.0019715,-0.254146,-0.309446,-0.358565,-0.227512
"Marin, Nemotron-CC",primary,64-256,13,2.54145,-0.0904314,-0.105644,-0.00321713,0.0294296,999,0.0904314,0.00321713,0.105644,-0.0763886,0.0140428,-0.0481845,0.0396231,-0.144438,-0.0540067,-0.101906,-0.0121025,-0.567097,-0.476665,-0.573669,-0.417272
"Marin, Nemotron-CC",primary,"256-1,024",6,3.69239,-0.396487,-0.412846,-0.301546,0.0333809,999,0.396487,0.301546,0.412846,-0.392675,0.00381242,-0.0898253,0.040107,-0.471409,-0.0749219,-0.151604,-0.0202909,-1.03948,-0.642996,-0.782269,-0.578134
"Marin, Nemotron-CC",primary,">=1,024",2,4.54278,-1.00186,-1.34748,-0.787841,0.143129,999,1.00186,0.787841,1.34748,-0.99871,0.00314543,-0.113378,0.0479029,-1.09147,-0.0896172,-0.190324,-0.0231502,-1.75466,-0.752804,-0.918499,-0.676686
"Marin, Nemotron-CC",primary,M>=256,8,,-0.547829,-0.627236,-0.43552,0.0534111,999,0.547829,0.43552,0.627236,-0.544184,0.00364567,-0.0956219,0.0418896,-0.626425,-0.0785957,-0.161319,-0.0210623,-1.21828,-0.670448,-0.81561,-0.603057
Llama 3,primary,M<16,70,-1.27226,0.0537486,0.0210489,0.0718534,0.012977,999,-0.0537486,-0.0718534,-0.0210489,0.27319,0.219441,0.151464,0.248864,0.416622,0.362873,0.268218,0.383074,0.374123,0.320374,0.227797,0.335076
Llama 3,primary,16-64,38,0.561089,0.0446119,0.0210238,0.0522088,0.0084881,999,-0.0446119,-0.0522088,-0.0210238,0.0414951,-0.00311674,-0.0226501,0.0206729,-0.0878375,-0.132449,-0.177991,-0.109558,-0.156066,-0.200678,-0.251158,-0.183943
Llama 3,primary,64-256,16,1.87511,0.134037,0.0606758,0.155713,0.0251572,999,-0.134037,-0.155713,-0.0606758,-0.0784963,-0.212534,-0.25493,-0.134,-0.401295,-0.535333,-0.572046,-0.473777,-0.459316,-0.593353,-0.641703,-0.542407
Llama 3,primary,"256-1,024",2,2.88691,0.00578585,-0.145467,0.129784,0.0718862,999,-0.00578585,-0.129784,0.145467,-0.37837,-0.384156,-0.446864,-0.255729,-0.848013,-0.853799,-0.906161,-0.73732,-0.895561,-0.901347,-0.965717,-0.8004
Llama 3,primary,M>=256,2,,0.00578585,-0.145467,0.129784,0.0718862,999,-0.00578585,-0.129784,0.145467,-0.37837,-0.384156,-0.446864,-0.255729,-0.848013,-0.853799,-0.906161,-0.73732,-0.895561,-0.901347,-0.965717,-0.8004
"Marin, Comma",corner_largestM,M<16,65,-1.63661,-0.13633,-0.169715,-0.0286445,0.040156,999,0.13633,0.0286445,0.169715,-0.0595518,0.0767782,0.00250924,0.113876,-0.0676673,0.0686626,0.00656237,0.11632,-0.0483448,0.0879851,0.0112589,0.135741
"Marin, Comma",corner_largestM,16-64,18,0.871199,0.0403582,0.00868915,0.0711181,0.0158453,999,-0.0403582,-0.0711181,-0.00868915,0.0394223,-0.000935884,-0.0365888,0.0321001,0.00400188,-0.0363563,-0.0659073,0.000773908,-0.134656,-0.175014,-0.193378,-0.125549
"Marin, Comma",corner_largestM,64-256,9,1.84277,-0.120709,-0.142768,-0.0109444,0.0398783,999,0.120709,0.0109444,0.142768,-0.117125,0.0035831,-0.0397974,0.0391932,-0.191085,-0.0703763,-0.107394,-0.0295705,-0.416247,-0.295539,-0.316126,-0.230042
"Marin, Comma",corner_largestM,"256-1,024",3,2.68455,-0.438877,-0.471987,-0.288483,0.0513586,999,0.438877,0.288483,0.471987,-0.438947,-6.92405e-05,-0.0526798,0.046198,-0.540929,-0.102051,-0.152188,-0.0483758,-0.836065,-0.397188,-0.426601,-0.306758
"Marin, Comma",corner_largestM,M>=256,3,,-0.438877,-0.471987,-0.288483,0.0513586,999,0.438877,0.288483,0.471987,-0.438947,-6.92405e-05,-0.0526798,0.046198,-0.540929,-0.102051,-0.152188,-0.0483758,-0.836065,-0.397188,-0.426601,-0.306758
"Marin, DCLM",corner_largestM,M<16,66,-1.31212,-0.0599289,-0.0811893,-0.014017,0.0177333,999,0.0599289,0.014017,0.0811893,-0.0497424,0.0101866,-0.0120159,0.0394752,-0.0605015,-0.000572532,-0.0251809,0.0404331,-0.063034,-0.0031051,-0.0254675,0.0369214
"Marin, DCLM",corner_largestM,16-64,19,1.21372,0.0346325,0.00610374,0.0637257,0.0155271,999,-0.0346325,-0.0637257,-0.00610374,0.0112388,-0.0233937,-0.0361161,0.00410676,-0.0246008,-0.0592333,-0.0846441,-0.0251783,-0.129749,-0.164381,-0.195114,-0.119657
"Marin, DCLM",corner_largestM,64-256,9,2.32894,-0.0808151,-0.109148,-0.00106948,0.0291269,999,0.0808151,0.00106948,0.109148,-0.117638,-0.0368226,-0.0572886,-0.00328549,-0.181272,-0.100457,-0.151587,-0.052526,-0.342553,-0.261738,-0.320067,-0.195487
"Marin, DCLM",corner_largestM,"256-1,024",2,3.21146,-0.388258,-0.436074,-0.269999,0.0436113,999,0.388258,0.269999,0.436074,-0.439135,-0.0508766,-0.0826786,-0.00556605,-0.523382,-0.135124,-0.206209,-0.0699981,-0.72794,-0.339681,-0.422744,-0.254835
"Marin, DCLM",corner_largestM,M>=256,2,,-0.388258,-0.436074,-0.269999,0.0436113,999,0.388258,0.269999,0.436074,-0.439135,-0.0508766,-0.0826786,-0.00556605,-0.523382,-0.135124,-0.206209,-0.0699981,-0.72794,-0.339681,-0.422744,-0.254835
"Marin, Nemotron-CC",corner_largestM,M<16,65,-1.32697,-0.0631784,-0.0680856,-0.0330819,0.00933228,999,0.0631784,0.0330819,0.0680856,-0.0647556,-0.0015772,-0.0194862,0.0597412,-0.0632373,-5.894e-05,-0.0194461,0.0634061,-0.0644589,-0.0012805,-0.0217096,0.0503284
"Marin, Nemotron-CC",corner_largestM,16-64,18,1.17607,0.0204163,-0.00167972,0.0496608,0.0137635,999,-0.0204163,-0.0496608,0.00167972,0.0301151,0.00969875,-0.0193296,0.0389455,-0.0329386,-0.0533549,-0.0813497,-0.00807594,-0.180746,-0.201162,-0.234871,-0.155536
"Marin, Nemotron-CC",corner_largestM,64-256,9,2.27755,-0.0798041,-0.0962559,-0.0323575,0.0221001,999,0.0798041,0.0323575,0.0962559,-0.0657046,0.0140995,-0.035179,0.0315849,-0.169641,-0.0898366,-0.149633,-0.028959,-0.399189,-0.319385,-0.390204,-0.265979
"Marin, Nemotron-CC",corner_largestM,"256-1,024",3,3.21945,-0.304092,-0.338671,-0.253408,0.0217444,999,0.304092,0.253408,0.338671,-0.292932,0.0111602,-0.0593994,0.0304454,-0.4292,-0.125108,-0.212619,-0.043553,-0.724672,-0.42058,-0.520541,-0.352786
"Marin, Nemotron-CC",corner_largestM,M>=256,3,,-0.304092,-0.338671,-0.253408,0.0217444,999,0.304092,0.253408,0.338671,-0.292932,0.0111602,-0.0593994,0.0304454,-0.4292,-0.125108,-0.212619,-0.043553,-0.724672,-0.42058,-0.520541,-0.352786
