alpha,beta,ssr,tilt_range,tau_own,tau_ref,delta_ssr,lr_gaussian
0.85,1.0554,3.94486,862.87,inf,inf,3.9252,174338
0.85,1.2,3.94486,862.87,inf,inf,3.9252,174338
0.85,1.5,3.94486,862.87,inf,inf,3.9252,174338
0.8588,0.04,1.16489,0.380675,2.33281,2.43656,1.14523,50865.5
0.8588,0.06,0.381873,0.515458,3.07107,3.3398,0.362218,16087.9
0.8588,0.08,0.0460692,0.470219,2.72303,3.00439,0.0264137,1173.17
0.8588,0.0941,0.0198524,0.697377,4.3219,5.11158,0.000196954,8.74773
0.8588,0.1,0.0199351,0.720047,4.49055,5.39,0.000279589,12.418
0.8588,0.12,0.0210147,0.787939,5.00286,6.31784,0.00135925,60.3714
0.8588,0.14,0.0233229,0.876595,5.78516,7.77402,0.00366746,162.891
0.8588,0.16,0.0268504,0.997756,7.09002,10.3216,0.00719491,319.563
0.8588,0.18,0.0315837,1.17487,9.60212,15.6209,0.0119282,529.794
0.8588,0.2,0.0375056,1.46465,15.9049,30.7702,0.0178502,792.817
0.8588,0.3,0.110104,569.471,inf,inf,0.0904486,4017.28
0.8588,0.5,0.934497,273.451,6.28831e+174,6.82065e+277,0.914841,40632.8
0.8588,0.8,3.45058,61.0049,8.78425e+31,9.61142e+61,3.43092,152385
0.8588,1,4.0358,462.812,1.8411e+216,inf,4.01615,178378
0.8588,1.0554,4.0358,1.57643e+77,inf,inf,4.01615,178378
0.8588,1.2,4.0358,1185.33,inf,inf,4.01615,178378
0.8588,1.5,4.0358,1185.33,inf,inf,4.01615,178378
0.95,0.04,1.50226,0.373465,2.12649,2.3958,1.48261,65850.2
0.95,0.06,0.520052,0.503246,2.70886,3.24573,0.500397,22225.2
0.95,0.08,0.0693751,0.384289,2.10895,2.45725,0.0497196,2208.3
0.95,0.0941,0.0205135,0.613098,3.23622,4.19687,0.000857979,38.1072
0.95,0.1,0.020117,0.680467,3.65511,4.91331,0.00046152,20.4985
0.95,0.12,0.0201515,0.746277,4.03461,5.73111,0.000496034,22.0314
0.95,0.14,0.0217264,0.831932,4.60195,7.00272,0.00207092,91.98
0.95,0.16,0.0248283,0.948457,5.52305,9.19728,0.00517282,229.751
0.95,0.18,0.0294387,1.1176,7.22867,13.662,0.00978319,434.521
0.95,0.2,0.035534,1.39079,11.2319,25.8869,0.0158785,705.245
0.95,0.3,0.110106,683.858,inf,inf,0.0904504,4017.37
0.95,0.5,0.934497,788.554,inf,inf,0.914841,40632.8
0.95,0.8,3.45058,1822.29,inf,inf,3.43092,152385
0.95,1,4.99867,878.383,inf,inf,4.97901,221143
0.95,1.0554,4.99867,513.03,1.60782e+222,inf,4.97901,221143
0.95,1.2,4.99867,609.173,1.26699e+246,inf,4.97901,221143
0.95,1.5,4.99867,609.173,9.28407e+215,inf,4.97901,221143
1.05,0.04,1.89019,0.366529,1.95919,2.35724,1.87053,83080
1.05,0.06,0.68519,0.491358,2.42378,3.15671,0.665534,29559.8
1.05,0.08,0.102373,0.418232,2.09643,2.66033,0.0827171,3673.89
1.05,0.0941,0.0225851,0.579015,2.75158,3.87521,0.00292962,130.119
1.05,0.1,0.0214032,0.645433,3.0725,4.52667,0.00174775,77.6264
1.05,0.12,0.0200976,0.709082,3.36056,5.25349,0.000442157,19.6384
1.05,0.14,0.0206874,0.791647,3.78293,6.37289,0.00103193,45.8332
1.05,0.16,0.0231539,0.903446,4.45176,8.27804,0.00349845,155.384
1.05,0.18,0.0274721,1.06458,5.6464,12.0682,0.00781664,347.177
1.05,0.2,0.0336107,1.32151,8.2847,22.0135,0.0139552,619.823
1.05,0.3,0.110108,740.251,inf,inf,0.0904528,4017.47
1.05,0.5,0.934497,464.969,3.6258e+260,inf,0.914841,40632.8
1.05,0.8,3.45058,195.267,4.77711e+91,2.49216e+198,3.43092,152385
1.05,1,5.54017,464.78,8.47618e+196,inf,5.52052,245194
