cell,statistic,corpus,scheme,n_rep,noise_free_value,mean_estimate,mean_bias,mc_sd,mc_sd_se,mean_boot_se,factor,factor_mc_se,coverage,coverage_mc_se,mean_halfwidth,truth,kappa,noise_sd,rho_trunk,applied_factor,coverage_calibrated,coverage_calibrated_mc_se,reject_zero,reject_zero_mc_se,mde80_oracle,mde80_uncalibrated,reject_zero_calibrated,reject_zero_calibrated_mc_se,mde80_calibrated
chin_s002_r5,q3,pooled,cr2cv,300,-0.005020870187642183,-0.02007493311201594,-0.015054062924373758,0.02744762549994531,0.001122416875072227,0.018186826147326907,1.5092037102900195,0.06884796822378478,0.6633333333333333,0.02728383051199753,0.03154951336744605,chin,1.0,0.002,0.5,1.75,0.8866666666666667,0.01830199341500709,,,,,,,
chin_s002_r5,diff_mf_F,edu-web,wcu,150,0.005364272544945647,0.006784662573832634,0.0014203900288869862,0.010324529673855576,0.0005980839456082874,0.004743513500591698,2.176557455263427,0.14496978941463406,0.56,0.04052982440952177,0.008014714118523173,chin,1.0,0.002,0.5,1.6406726604174067,0.7466666666666667,0.03551108329855676,0.5133333333333333,0.04081031097016392,0.028925047466328676,0.01798645668331371,0.3333333333333333,0.03849001794597505,0.02394286452962874
chin_s002_r5,diff_mf_F,edu-web,cr2cv,150,0.005364272544945647,0.006784662573832634,0.0014203900288869862,0.010324529673855576,0.0005980839456082874,0.0070578401680533535,1.462845492107994,0.0942267277177481,0.72,0.03666060555964672,0.012290867004666655,chin,1.0,0.002,0.5,1.6406726604174067,0.8933333333333333,0.02520435000668058,0.3466666666666667,0.038857765323367814,0.028925047466328676,0.022522453635778525,0.14,0.028331372481167703,0.03138495071727444
chin_s002_r5,diff_mf_P,edu-web,wcu,150,-0.002692362045903729,-0.0016307211195145921,0.0010616409263891368,0.010481894216906582,0.0006071998288281421,0.004695159660552741,2.2324894092467544,0.1294291226998944,0.5,0.040824829046386304,0.008010457118335573,chin,1.0,0.002,0.5,1.6406726604174067,0.76,0.03487119154832539,0.46,0.04069397989875161,0.029365917609672228,0.018024126201662723,0.26,0.03581433604950211,0.023919816355876408
chin_s002_r5,diff_mf_P,edu-web,cr2cv,150,-0.002692362045903729,-0.0016307211195145921,0.0010616409263891368,0.010481894216906582,0.0006071998288281421,0.008224012739469544,1.2745474197286655,0.07465353330802932,0.7266666666666667,0.03638884648004314,0.014319551436591483,chin,1.0,0.002,0.5,1.6406726604174067,0.9,0.02449489742783178,0.2866666666666667,0.036922340923338806,0.029365917609672228,0.02494055119762882,0.09333333333333334,0.023751803050466466,0.03526740575458555
chin_s002_r5,diff_mf_P6,edu-web,wcu,150,-0.0006179191482243995,0.0005375952693858859,0.0011555144176102854,0.0068436880304347785,0.00039644420317948694,0.003525111195591696,1.9414105401818547,0.1122832013695541,0.5733333333333334,0.040383348236801946,0.006091406965298986,chin,1.0,0.002,0.5,1.6406726604174067,0.8133333333333334,0.031814275854530276,0.4266666666666667,0.040383348236801946,0.019173173730745622,0.012668882603219231,0.20666666666666667,0.033061110644336145,0.017095348340469944
chin_s002_r5,diff_mf_P6,edu-web,cr2cv,150,-0.0006179191482243995,0.0005375952693858859,0.0011555144176102854,0.0068436880304347785,0.00039644420317948694,0.005771406592628376,1.1857920457685294,0.06841658876871146,0.7866666666666666,0.03344868928395872,0.010269974861160098,chin,1.0,0.002,0.5,1.6406726604174067,0.9466666666666667,0.018346459947155818,0.18666666666666668,0.031814275854530276,0.019173173730745622,0.01707154071477683,0.06,0.019390719429665314,0.024318669137267424
chin_s010_r5,mf_F,edu,wcu,150,0.6950091542213758,0.6853701032589394,-0.00963905096243634,0.03634293283481131,0.0021052895726439255,0.015279533431641946,2.3785368183788766,0.17246771376256864,0.43333333333333335,0.04046031434674028,0.025607927639373765,chin,1.0,0.01,0.5,1.743444986930914,0.7266666666666667,0.03638884648004314,,,,,,,
chin_s010_r5,mf_F,edu,cr2cv,150,0.6950091542213758,0.6853701032589394,-0.00963905096243634,0.03634293283481131,0.0021052895726439255,0.026552746301882982,1.3687071168316047,0.08991475051869159,0.7066666666666667,0.037174264295691525,0.0468611139826776,chin,1.0,0.01,0.5,1.743444986930914,0.8933333333333333,0.02520435000668058,,,,,,,
chin_s010_r5,mf_F,web,wcu,150,0.68964488167643,0.6765688047882878,-0.013076076888142269,0.028983181014488775,0.001678950596783101,0.013209644175351845,2.1940924849867725,0.13583180652664242,0.49333333333333335,0.04082120001139568,0.02239719980639732,chin,1.0,0.01,0.5,1.743444986930914,0.7066666666666667,0.037174264295691525,,,,,,,
