sample,objective,sigma_star,obj,LR,LR_KB,kappa,E,a_share,kappa_at_bound
full design (n=240),gauss,0.88,0.018752183979582254,330.6665489404339,,2.887025280834842,1.8103422668493179,0.6599142558958908,False
full design (n=240),gauss,0.9,0.021201643489942246,360.13098347787974,,3.754421978054691,1.7992131278063923,0.7065607484822454,False
full design (n=240),gauss,0.92,0.023746056132373815,387.332045235547,,5.530117774357725,1.7806290628418708,0.7762326764899413,False
full design (n=240),gauss,0.94,0.026366917668987393,412.458520428271,,12.633804578547705,1.746392526693377,0.8906972303816717,False
full design (n=240),gauss,0.96,0.02910578789766149,436.17698734426256,,182.87353712663827,1.7334919029002083,0.99,False
full design (n=240),gauss,0.98,0.03231000435525065,461.24255456150956,,299.99999999999994,1.77558681570884,0.9870310545381016,True
full design (n=240),gauss,0.99,0.034089064152810156,474.10648709540146,,299.99999999999994,1.7959225332114417,0.9728140787000406,True
on-path band (n=41),huber,0.05,0.00013300346372066053,24.343698686350372,16.486557069692257,0.01726573654938539,1.738123902844446,0.5171131195408285,False
on-path band (n=41),huber,0.1,0.00011499327564900879,12.412574303930363,7.963856265508481,0.036205045110073414,1.737168763108496,0.5133110518667579,False
on-path band (n=41),huber,0.15,0.0001052486920078334,5.151670363462684,3.031336020066828,0.057363069067775704,1.736751974271066,0.5114240751781537,False
on-path band (n=41),huber,0.2,0.00010125010470465424,1.9756213616548461,0.608410612835701,0.08193705343312872,1.7438888261716765,0.5092344870081638,False
on-path band (n=41),huber,0.25,9.957934509017607e-05,0.6112253596495478,0.30102452542767966,0.10952668998519598,1.7466994462306193,0.5061510915031439,False
on-path band (n=41),huber,0.3,9.896391955215379e-05,0.10287212153012759,0.13202741319787445,0.14128319327569533,1.749751967079354,0.5030503713502142,False
on-path band (n=41),huber,0.35,9.884313051737358e-05,0.0027270348955339635,0.012338003835488116,0.17781311001459904,1.751214605125097,0.49887364080513297,False
on-path band (n=41),huber,0.4,9.897103712199754e-05,0.10876941968549068,0.12808934922858425,0.219932975054151,1.749943380997324,0.4932007400285278,False
on-path band (n=41),huber,0.45,9.918070605718994e-05,0.2823016715491178,0.20214546048700882,0.26938097913623477,1.7472596987810853,0.4859502536907037,False
on-path band (n=41),huber,0.5,9.941303451584441e-05,0.4741601082317962,0.27553636201320353,0.32847283330665483,1.743590790650528,0.4771467005484329,False
on-path band (n=41),huber,0.55,9.964037560563338e-05,0.6614663940870471,0.32652617162540143,0.4006165354112584,1.7389916735283422,0.4661235856861104,False
on-path band (n=41),huber,0.6,9.984519090351257e-05,0.8298481033146363,0.40526575589091784,0.4908615445155526,1.7329714256934428,0.4523049227539212,False
on-path band (n=41),huber,0.61,9.988267979462505e-05,0.8606308788639773,0.4175237068622415,0.5117334818235618,1.7315267736070747,0.44910915324985035,False
on-path band (n=41),huber,0.62,9.991893173436661e-05,0.8903869861213679,0.42863684595604223,0.5337347163582232,1.729987778088504,0.4457433915532496,False
on-path band (n=41),huber,0.63,9.995391409526119e-05,0.9190907713778473,0.4386000251111831,0.5569660640796743,1.7283469367006545,0.4421941931304203,False
on-path band (n=41),huber,0.64,9.998759358474238e-05,0.9467160323416515,0.4474143221810517,0.581541536957253,1.7265957921082777,0.4384465165985171,False
on-path band (n=41),huber,0.65,0.00010001993558437215,0.9732354739223971,0.45505789175787364,0.607590588927005,1.72472517879239,0.4344840279675527,False
on-path band (n=41),huber,0.66,0.00010005090349106338,0.9986201664712627,0.4615140803235779,0.6352609165257704,1.7227245654461825,0.4302882800118766,False
on-path band (n=41),huber,0.67,0.00010008045804833234,1.0228389964940054,0.46675741908721474,0.6647219747680929,1.720582210670384,0.4258388186431802,False
on-path band (n=41),huber,0.68,0.0001001085566544058,1.0458580988815696,0.4713170570313709,0.6961693146687133,1.7182848663247958,0.4211127149823627,False
