m_label,m,g_label,g,L,phi,rho,p,s_fleet
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,2.0,0.5410106403333613,10.416666666666666,1.0,0.19038761252967862
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,2.0,0.5410106403333613,10.416666666666666,2.0,0.3198749895004169
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,1.0,1.0,0.4685107195500038
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,1.0,2.0,0.6380759953779155
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,4.424778761061947,1.0,0.16612481536874824
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,4.424778761061947,2.0,0.2849177260947265
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,8.130081300813009,1.0,0.0978191202157028
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,8.130081300813009,2.0,0.17820626078453253
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,10.416666666666666,1.0,0.07802195606837911
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,10.416666666666666,2.0,0.14475021706038455
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,1.0,1.0,0.3454755346771446
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,1.0,2.0,0.5135367024864465
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,4.424778761061947,1.0,0.10657557260399364
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,4.424778761061947,2.0,0.19262231200929186
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,8.130081300813009,1.0,0.06096470025503201
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,8.130081300813009,2.0,0.11492314539848023
All 2019-2025,1.781510745139944,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,10.416666666666666,1.0,0.04822761084669736
