cell,label,estimator,param,truth,R,mean,median,bias,mc_se_bias,median_bias,sd,rmse,mae,q05,q95,wald_computable,wald_cover,wald_median_width,boot_R,boot_cover,boot_median_width,corner_share,wald_cover_mcse,boot_cover_mcse,share_obj_above_truth,median_obj_minus_truth
opt_s0.3_sd0.015,"(iv) Optimizing labs s=0.3, noise sd=0.015",primal,gamma,0.17828649103139016,500,0.16012988768043118,0.16500969909251667,-0.01815660335095896,0.0016346143561908571,-0.013276791938873503,0.03655108817439811,0.040779557720544424,0.021704988046295337,0.08890191917423237,0.21082065653970936,0.986,0.9918864097363083,0.15034581636297556,,,,0.0,0.00404030402645845,,0.0,-4.343291420927473e-05
opt_s0.3_sd0.015,"(iv) Optimizing labs s=0.3, noise sd=0.015",primal,sigma_star,0.7370283018867925,500,0.7314691029763563,0.7317674139672378,-0.005559198910436313,0.0012003036607280545,-0.005260887919554702,0.02683960579029775,0.027382994770960012,0.018826961137177356,0.6904437282319349,0.7747414778931895,0.986,0.9594320486815415,0.11211590037781381,,,,0.0,0.008885363291393545,,0.0,-4.343291420927473e-05
opt_s0.3_sd0.015,"(iv) Optimizing labs s=0.3, noise sd=0.015",primal,lnMstar,2.8979598554678856,500,3.007326539651992,3.009567415832511,0.10936668418410661,0.16397876384632973,0.11160756036462582,3.6666766282677816,3.6646404370554615,2.593448915161269,-3.0421125894825884,8.922084643298925,0.986,0.9087221095334685,14.562273106657573,,,,0.0,0.012971042579351812,,0.0,-4.343291420927473e-05
opt_s0.3_sd0.015,"(iv) Optimizing labs s=0.3, noise sd=0.015",dual,alpha,0.3478,500,0.3532768277182029,0.35125512964792444,0.005476827718202958,0.0019458307228979528,0.0034551296479244376,0.04351009769107379,0.043810249779469276,0.030033967749347273,0.2861191081416178,0.4273767522618013,,,,,,,,,,,
opt_s0.3_sd0.015,"(iv) Optimizing labs s=0.3, noise sd=0.015",dual,beta,0.3658,500,0.371570963843746,0.37128291196319235,0.005770963843745979,0.002042646614737041,0.005482911963192338,0.045674966845618475,0.04599276263545682,0.030030551514611786,0.2993141067395963,0.44901009295086264,,,,,,,,,,,
opt_s0.3_sd0.015,"(iv) Optimizing labs s=0.3, noise sd=0.015",dual,a,0.5126121076233184,500,0.5126223604463328,0.5125980889242254,1.0252823014255452e-05,0.00037614970617475186,-1.4018699092954723e-05,0.008410963127233176,0.008402554209679369,0.005624030204896768,0.49823620842337374,0.5264207961903588,,,,,,,,,,,
opt_s0.3_sd0.015,"(iv) Optimizing labs s=0.3, noise sd=0.015",dual,gamma,0.17828649103139016,500,0.18104534356027768,0.1800939663940141,0.002758852528887501,0.0009867322935543218,0.0018074753626239198,0.02206400483981741,0.0222139131228267,0.014772086985277627,0.14585325402055652,0.21838257236403197,,,,,,,,,,,
opt_s0.3_sd0.015,"(iv) Optimizing labs s=0.3, noise sd=0.015",dual,sigma_star,0.7370283018867925,500,0.7347571981361141,0.7349994568608224,-0.0022711037506783836,0.0010672592139218198,-0.0020288450259701163,0.02386464151942179,0.02394869484684196,0.016244329352775144,0.6957336465754227,0.7739412444391274,,,,,,,,,,,
opt_s0.3_sd0.015,"(iv) Optimizing labs s=0.3, noise sd=0.015",dual,lnMstar,2.8979598554678856,500,2.897905258623961,2.896105426957355,-5.459684392477371e-05,0.006985307131546137,-0.0018544285105304148,0.1561962158985123,0.15603995105775956,0.09883523902743407,2.647751260563267,3.1619167192696773,,,,,,,,,,,
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",primal,alpha,0.3478,500,0.7788360244155952,0.3681742328141717,0.43103602441559513,0.04420344184119396,0.020374232814171722,0.9884190079636817,1.0774090427397118,0.1669003241439851,0.06242199567145527,3.293195310824715,0.202,0.9306930693069307,0.7211585305994346,,,,0.696,0.02527149218658031,,0.018,-4.451280401430592e-05
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",primal,beta,0.3658,500,1.230675972112418,0.6583842640969353,0.8648759721124182,0.05060081361764722,0.2925842640969353,1.1314685896585623,1.4232607541074715,0.3272048611481517,0.2748234831328226,3.415443925248153,0.202,0.8910891089108911,1.8744007388696027,,,,0.696,0.030998132951008,,0.018,-4.451280401430592e-05
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",primal,a,0.5126121076233184,500,0.5972820618076121,0.7443626773055131,0.08466995418429366,0.01411965172138098,0.23175056968219465,0.31572501067629793,0.3265760538425709,0.36701772451611286,0.0871060703371418,0.9418679526650816,0.202,0.5346534653465347,0.5650210195674695,,,,0.696,0.049632225372638304,,0.018,-4.451280401430592e-05
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",primal,gamma,0.17828649103139016,500,0.23249657100270046,0.2504157849666049,0.054210079971310325,0.003818808822942184,0.07212929393521475,0.08539116121174682,0.10107324019126038,0.09797433706697783,0.05265145917464823,0.3381864065369309,0.202,0.9900990099009901,0.39884509640627186,,,,0.696,0.009851853368415738,,0.018,-4.451280401430592e-05
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",primal,sigma_star,0.7370283018867925,500,0.5427608725498319,0.572017463937996,-0.19426742933696062,0.006797436403066059,-0.1650108379487964,0.1519952986998737,0.24656885404771034,0.1650108379487964,0.34118466997885455,0.7649304989710833,0.202,0.7821782178217822,0.4485133516717887,,,,0.696,0.04107171383200665,,0.018,-4.451280401430592e-05
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",primal,lnMstar,2.8979598554678856,500,-0.8786035364900133,-3.3549302136268135,-3.7765633919578994,1.1174305370093591,-6.252890069094699,24.986506408870216,25.245579465897546,21.566837591580505,-37.307139655640505,34.44131179674405,0.202,0.48514851485148514,11.67848271589688,,,,0.696,0.04972990746944577,,0.018,-4.451280401430592e-05
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",dual,alpha,0.3478,500,0.3463613758547366,0.34522328100869176,-0.0014386241452634437,0.0016154494165403616,-0.0025767189913082356,0.03612254709596622,0.03611507124891534,0.02455322752242145,0.28695290161549436,0.4015067761552176,,,,,,,,,,,
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",dual,beta,0.3658,500,0.36427289313491507,0.3631123399767236,-0.001527106865084883,0.0017016073015634371,-0.002687660023276417,0.0380490959730583,0.038041691502030454,0.026184517904776466,0.30197595732201205,0.42374250207238695,,,,,,,,,,,
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",dual,a,0.5126121076233184,500,0.5125982748445947,0.5125932832957848,-1.3832778723755102e-05,2.3514355809490468e-05,-1.8824327533639718e-05,0.0005257969803713779,0.0005254530287340099,0.0003560862702127743,0.5117750531360689,0.5134839548697614,,,,,,,,,,,
