rep,chi|val1,wcu|val1|lo,wcu|val1|hi,wcu|val1|se,wcu|val1|p_wcr,wcu|val1|se_wcr,cr2|val1|lo,cr2|val1|hi,cr2|val1|se,cr2|val1|p_wcr,cr2|val1|se_wcr,chi|val2,wcu|val2|lo,wcu|val2|hi,wcu|val2|se,wcu|val2|p_wcr,wcu|val2|se_wcr,cr2|val2|lo,cr2|val2|hi,cr2|val2|se,cr2|val2|p_wcr,cr2|val2|se_wcr
61,0.23499128606701358,0.21264361179226948,0.2568172556140069,0.012077970472137512,0.03,0.1262468310091513,0.204521352646166,0.2635597730881815,0.017072516964201288,0.03,0.13408137590114302,0.24164586095023033,0.22894065130852542,0.2557110264804038,0.007242274565729798,0.02,0.11956028028207999,0.22670290920996838,0.25700925317076784,0.008265524750032272,0.03,0.1291609197386957
63,0.19358547669393467,0.18039624255113978,0.20731678021879102,0.00695925197256558,0.01,0.10974816893634809,0.17694246706512679,0.20995442645734524,0.008863176628049082,0.03,0.11596804814837781,0.21165261223157472,0.19862964650453244,0.2218162278213267,0.006555617741041234,0.01,0.11421026111294237,0.19613373499926756,0.22625567273491104,0.00852488936246824,0.01,0.11892129655472565
64,0.21382092934556862,0.18942527737328574,0.2326922170422499,0.012304599323759125,0.02,0.12156040601508751,0.18340728819454302,0.23775858197417327,0.014718600851055379,0.04,0.12573025834583207,0.22751016297749516,0.20722750834666445,0.24770877747605952,0.011536490135259656,0.03,0.12054352378670986,0.20418631816742344,0.25091248948991784,0.012637816538124673,0.03,0.12905359799678626
65,0.2482229725008196,0.2358156803740888,0.2616718600548691,0.007110916312217155,0.02,0.13938579547304192,0.23465482038848373,0.26107755763365487,0.007567647593341068,0.03,0.14918711545416882,0.2310549444462282,0.2205800606881967,0.24655113905058865,0.00743843630488585,0.01,0.1403022747675388,0.21549184227318446,0.2510916989763823,0.009981369004594827,0.04,0.1496912697061364
66,0.21583950295075915,0.19109918229750034,0.24151506104762274,0.01368647533820837,0.02,0.11492565199858527,0.1876443867623434,0.24487228298056726,0.01580051235095982,0.02,0.12154475986878448,0.24982523551729674,0.22417575730281214,0.2784541919459683,0.013546759380940056,0.01,0.1291832373550202,0.21913057654454665,0.28417644554364063,0.016875261677282538,0.01,0.13549417432170696
67,0.23716963867180763,0.21843580593365142,0.2586171093944675,0.010062838664878232,0.01,0.12619831756740293,0.21766468281660972,0.2611796854401326,0.011184131692674125,0.01,0.131146064035727,0.23887842752133093,0.2219313053530908,0.2593842902685682,0.009995468280150435,0.03,0.1393461634219948,0.21842597633802624,0.2633092658779531,0.011968436613604519,0.05,0.14840422132976422
68,0.2073788098866638,0.1845912529606344,0.22953686655339428,0.012292580962088916,0.01,0.10819052287204292,0.18273580884167698,0.23198404341584972,0.013354548477680295,0.02,0.1148454582519963,0.22408227383524082,0.20384010259193283,0.24267475138754935,0.011271293745343141,0.01,0.12455564447606984,0.19793297420156708,0.2476642621316983,0.013365384948425511,0.03,0.1388617644038748
70,0.19746732225410035,0.18077698911460435,0.2187926683908496,0.010403394191454394,0.01,0.10643278212882566,0.17818434469172967,0.22245622200582868,0.012180081406404478,0.05,0.11441546310975027,0.19764176738456385,0.17724991308194732,0.2152871744628205,0.010438237625556158,0.01,0.11095555678667468,0.17452503047109716,0.217364367482254,0.012197187397108797,0.01,0.11642872586639098
69,0.22321761753794878,0.20192997443902416,0.24435347818537836,0.010530444123030697,0.01,0.11169059414538704,0.1994531693831314,0.24647867421366348,0.011570714557323511,0.02,0.12705210833602917,0.2054891173037685,0.1848882286859317,0.22574673942916185,0.01116583187259277,0.03,0.12803601183270857,0.1814332421012042,0.2305249964733384,0.014077827404799206,0.07,0.1412488725309446
71,0.23544001842251294,0.214049677955161,0.25739094665440676,0.011303361695557757,0.01,0.11650230952507501,0.2138548568189173,0.2581990705397822,0.011823947088415141,0.02,0.12451112675404151,0.2368850615332132,0.2090215959494054,0.26646882313402925,0.01464159602477723,0.02,0.12592329428595062,0.20577390985623856,0.2714108996857054,0.01719536530806757,0.04,0.13790076682277752
