set,variant,members,k,mu_fixed,se_fixed,Q,df,p_Q,I2,tau2,tau,mu_re,se_re,lo_re,hi_re,se_hksj,lo_hksj,hi_hksj,pi_lo,pi_hi
"model-free sigma*, IsoFLOP designs and Farseer's local path",leave out Llama 3,"Chinchilla; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC; Porian, RefinedWeb; Porian, OpenWebText2; Farseer (local path)",7,0.6173201182107012,0.006954988972739882,185.7267474114937,6,2.0604441340194225e-37,0.9676944754397357,0.010803073177244875,0.10393783323335577,0.6440937222863573,0.04013882163492074,0.5654216318819126,0.722765812690802,0.04013882163492074,0.5458775639368753,0.7423098806358394,0.3576820114643612,0.9305054331083534
"model-free sigma*, IsoFLOP designs and Farseer's local path","leave out Marin, Comma","Chinchilla; Llama 3; Marin, DCLM; Marin, Nemotron-CC; Porian, RefinedWeb; Porian, OpenWebText2; Farseer (local path)",7,0.6156323315935711,0.00686947241585479,179.39563661057355,6,4.559833112207871e-36,0.9665543704776688,0.010098204015022216,0.10048982045472175,0.6384105346822732,0.0388157350212011,0.562331694040719,0.7144893753238273,0.0388157350212011,0.543431852647993,0.7333892167165533,0.36149234338993447,0.9153287259746119
"model-free sigma*, IsoFLOP designs and Farseer's local path","leave out Marin, DCLM","Chinchilla; Llama 3; Marin, Comma; Marin, Nemotron-CC; Porian, RefinedWeb; Porian, OpenWebText2; Farseer (local path)",7,0.6151038581408342,0.006858242600819774,176.7848440995768,6,1.6341225365635182e-35,0.9660604390010922,0.009903757921942116,0.09951762618723436,0.6366669569983061,0.03844701420524106,0.5613108091560336,0.7120231048405786,0.03844701420524106,0.5425905022983624,0.7307434116982499,0.3624215232164389,0.9109123907801733
"model-free sigma*, IsoFLOP designs and Farseer's local path","leave out Marin, Nemotron-CC","Chinchilla; Llama 3; Marin, Comma; Marin, DCLM; Porian, RefinedWeb; Porian, OpenWebText2; Farseer (local path)",7,0.6134688304769744,0.006939266752452154,174.69136513702728,6,4.5461980106129887e-35,0.9656537116457151,0.010082244469776156,0.1004103802889729,0.6375750456899687,0.0388274476983737,0.5614732482011563,0.7136768431787811,0.0388274476983737,0.5425677037671063,0.7325823876128311,0.3608364777008021,0.9143136136791352
"model-free sigma*, IsoFLOP designs and Farseer's local path","leave out Porian, RefinedWeb","Chinchilla; Llama 3; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC; Porian, OpenWebText2; Farseer (local path)",7,0.6409555080215914,0.007264546505501054,142.0715148056982,6,3.661950629408866e-28,0.957767748107664,0.009038098767574004,0.09506891588513043,0.6646223063059915,0.03693093060401187,0.5922376823221283,0.7370069302898548,0.03693093060401187,0.5742555745372221,0.7549890380747609,0.40244825780511684,0.9267963548068662
"model-free sigma*, IsoFLOP designs and Farseer's local path","leave out Porian, OpenWebText2","Chinchilla; Llama 3; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC; Porian, RefinedWeb; Farseer (local path)",7,0.6570018108043025,0.00761704882048155,94.67185354819013,6,3.235669504078043e-18,0.9366231907887399,0.006400356126890537,0.08000222576210325,0.6663699456640279,0.03144357634521475,0.604740536027407,0.7279993553006487,0.03144357634521475,0.58943028606254,0.7433096052655157,0.445403732569199,0.8873361587588566
"model-free sigma*, IsoFLOP designs and Farseer's local path",leave out Farseer (local path),"Chinchilla; Llama 3; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC; Porian, RefinedWeb; Porian, OpenWebText2",7,0.5936269010493092,0.0076786745172057825,138.2781694032412,6,2.3134253717660982e-27,0.9566092028416789,0.009653226638175996,0.09825083530523288,0.6374732902510404,0.038129935605404015,0.5627386164644486,0.7122079640376322,0.038129935605404015,0.5441726989347824,0.7307738815672984,0.3665588592545211,0.9083877212475597
"model-free sigma*, IsoFLOP designs and Farseer's local path",one estimate per study (inverse-variance within study),Hoffmann et al. (2022); Grattafiori et al. (2024); Marin (2026); Porian et al. (2024); Li et al. (2025),5,0.6209426541916093,0.0066496851990652675,188.45503307727117,4,1.1383399619614841e-39,0.978774777544095,0.011254448690673474,0.10608698643412147,0.6498786039840402,0.048170247614965585,0.5554649186587076,0.7442922893093727,0.048170247614965585,0.5161365557773033,0.783620652190777,0.27908848881284415,1.0206687191552362
"model-free sigma*, excluding Porian et al. (unannealed constant-LR profiles)",all technologies,"Chinchilla; Llama 3; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC; Farseer (local path)",6,0.6946911145346345,0.008584593727956693,4.055610758772282,5,0.541437487905096,0.0,0.0,0.0,0.6946911145346345,0.008584593727956693,0.6778653108278394,0.7115169182414296,0.008584593727956693,0.6726237138312315,0.7167585152380375,0.6708564612985375,0.7185257677707315
"model-free sigma*, excluding Porian et al. (unannealed constant-LR profiles)",leave out Chinchilla,"Llama 3; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC; Farseer (local path)",5,0.6970290485025754,0.009044866483932875,3.3819981660274325,4,0.4960460310487951,0.0,0.0,0.0,0.6970290485025754,0.009044866483932875,0.679301110194067,0.7147569868110838,0.009044866483932875,0.6719164732260924,0.7221416237790584,0.6682442465789988,0.725813850426152
