key,label,group,form,n_conv,in_set,sensitivity,a,sigma_star,S2,Mstar_1e21,Mstar_1e24,share_M_extrap,share_C_extrap,n,med_w,share_gt1,med_s,med_w_lo,med_w_hi,share_gt1_lo,share_gt1_hi,med_s_lo,med_s_hi,B
meta_mfraw,"Meta Llama 3: model-free curvature, raw",Meta Llama 3,model-free curvature,total,False,True,0.46322087290540404,0.6528016950166154,0.5318587675764959,18.84725216090587,31.32728828763813,0.45454545454545453,0.935064935064935,77,4.962888249612719,0.922077922077922,0.798504429335471,4.46366851474535,5.536779072495704,0.922077922077922,0.961038961038961,0.7759689983094648,0.8193895787049679,999
marin_comma_mf,Marin comma: own path + model-free curvature,Marin,model-free curvature,total,True,False,0.40492945874824543,0.6999688390497418,0.4286350251785096,15.602979492075674,58.02708913227573,0.2077922077922078,1.0,77,3.0306258403887085,0.8831168831168831,0.6700351502738656,2.3023428007063194,4.943964456462444,0.8701298701298701,0.948051948051948,0.5656597725532244,0.7977331736215563,999
marin_comma_mfbc,"Marin comma: model-free curvature, ra2 estimator bias-corrected",Marin,model-free curvature,total,False,True,0.4049294587482455,0.6749903229391557,0.481502720876994,15.602979492075592,58.02708913227542,0.2077922077922078,1.0,77,3.474756306852615,0.8831168831168831,0.7122100338294556,2.887579107467473,5.50030058055443,0.8701298701298701,0.948051948051948,0.6536891408518413,0.8181917434856182,999
marin_comma_mfraw,"Marin comma: model-free curvature, raw",Marin,model-free curvature,total,False,True,0.40492945874824543,0.649708815729694,0.5391510408811228,15.602979492075674,58.02708913227573,0.2077922077922078,1.0,77,4.033545653335981,0.8831168831168831,0.7520791665831423,3.278473669570566,6.745743369799061,0.8701298701298701,0.948051948051948,0.6949800112033294,0.8517583579788378,999
marin_dclm_mf,Marin dclm: own path + model-free curvature,Marin,model-free curvature,total,True,False,0.4235790714856966,0.7125881529740448,0.40333514643264623,11.318740052026937,32.532965830540526,0.2077922077922078,1.0,77,3.492776535342124,0.922077922077922,0.7136948241946294,2.282613462802001,6.012100109436911,0.8831168831168831,1.0,0.5619050370085698,0.8336687699949809,999
marin_dclm_mfbc,"Marin dclm: model-free curvature, ra2 estimator bias-corrected",Marin,model-free curvature,total,False,True,0.4235790714856966,0.6618293022356259,0.5109636225263083,11.318740052026937,32.532965830540526,0.2077922077922078,1.0,77,4.87656366557452,0.922077922077922,0.7949375690387531,3.383749201474356,8.698263670439605,0.8831168831168831,1.0,0.7044698198590229,0.8850344898064396,999
marin_dclm_mfraw,"Marin dclm: model-free curvature, raw",Marin,model-free curvature,total,False,True,0.4235790714856966,0.6287677751563282,0.5904122945094851,11.318740052026937,32.532965830540526,0.2077922077922078,1.0,77,6.238889573184473,0.922077922077922,0.8397150665563748,4.089904691540722,12.175954006200895,0.8831168831168831,1.0,0.7554955212428476,0.9178708766775585,999
marin_nemotron_mf,Marin nemotron: own path + model-free curvature,Marin,model-free curvature,total,True,False,0.4223734822719467,0.7049250317361109,0.4185905663431606,12.017043134544993,35.120179458955,0.2077922077922078,1.0,77,3.5527310975209576,0.922077922077922,0.7185264033357929,2.383526963977658,5.516893832552411,0.8831168831168831,0.987012987012987,0.5804535011669265,0.8187385789862801,999
marin_nemotron_mfbc,"Marin nemotron: model-free curvature, ra2 estimator bias-corrected",Marin,model-free curvature,total,False,True,0.4223734822719467,0.6719323192181971,0.48824512737162934,12.017043134544993,35.120179458955,0.2077922077922078,1.0,77,4.3870980929068075,0.922077922077922,0.7720588920460133,3.1457100753820266,6.615202980045238,0.8831168831168831,0.987012987012987,0.682106735219964,0.8488329589256225,999
marin_nemotron_mfraw,"Marin nemotron: model-free curvature, raw",Marin,model-free curvature,total,False,True,0.4223734822719467,0.6439738967827555,0.5528579729643139,12.017043134544993,35.120179458955,0.2077922077922078,1.0,77,5.335327743876348,0.922077922077922,0.812570089785439,3.6608778874989967,8.494373134971125,0.8831168831168831,0.987012987012987,0.7268414599990041,0.8822749093872826,999
meta_mf8,Meta Llama 3: path on ra1's 8 bracketed budgets + ra1 curvature,Meta Llama 3,model-free curvature,total,False,True,0.5006500270028927,0.6595077631182621,0.5162823789546223,14.9275310887356,14.794075212861259,0.45454545454545453,0.935064935064935,77,6.468788811010996,1.0,0.8454115555144067,,,,,,,0
deepseek,DeepSeek LLM law + reference curvature,DeepSeek LLM,published law,ds,True,False,0.5243,0.7005534232668366,0.42744288556435484,19.45463116848766,13.906665276662359,,1.0,77,4.567216973792544,1.0,0.7810482826329103,3.9607095417565503,5.307730564675926,1.0,1.0,0.7475196939325226,0.8115955584441126,399
minicpm,MiniCPM law (published),MiniCPM,published law,nonemb,True,False,0.4423076923076923,0.7936507936507936,0.26,191.86999999999998,425.7561418557327,0.8831168831168831,0.948051948051948,77,1.1681508098768125,0.6233766233766234,0.1439461484382696,,,,,,,0
