n,scheme,estimator,vs,param,diff,sd_diff,z,p,lo,hi,corr,B
245,cluster,lad_log,huber,beta,-0.0012119389426255012,0.004599185524908925,-0.2635116448470516,0.7921562493407801,-0.009691760620024385,0.011336738714401193,0.998816291173164,400
245,cluster,lad_log,huber,a,0.0021632948468173208,0.004494516721017533,0.4813186780908367,0.6302900240847046,-0.008920690588855109,0.00896573324758139,0.997787765100651,400
245,cluster,lad_log,huber,gamma,-0.001505081868366176,0.0012947064915214467,-1.162488856140291,0.24503694870459725,-0.0026695782709466806,0.002556537307962823,0.9981430618022833,400
245,cluster,lad_log,huber,sigma_star,0.0013268856707614463,0.0012485239342977072,1.0627635036150247,0.2878892142298246,-0.002547107896867912,0.0022549848838430337,0.9985870123421602,400
245,cluster,lad_log,huber,Mstar_1e+21,-0.25093759801963955,0.7122084193655691,-0.3523373091309047,0.724585311151166,-1.3065123265899095,1.464752475112905,0.9968466428891358,400
245,cluster,lad_log,huber,Mstar_5.76e+23,-0.2922189049466697,4.315496400940911,-0.06771385671482821,0.9460134185669414,-7.567011431552736,10.977382951920857,0.9945927488593412,400
245,cluster,lad_log,huber,w_chin70b,0.022823460813504726,0.05164594374305527,0.44192165268688216,0.6585459014720554,-0.08481212450280388,0.1330547600012382,0.9974468611896219,400
245,cluster,gauss_log,huber,alpha,0.02278497902014459,0.022136830392707356,1.0292791974252447,0.30334849575459377,-0.011115234883613592,0.0720756674814292,0.8287153773836005,400
245,cluster,gauss_log,huber,beta,0.15899894835747236,0.06802806723852188,2.337255118537851,0.019425922724279905,-0.006845830117947361,0.18990080724557662,0.9603182961398566,400
245,cluster,gauss_log,huber,a,0.05726352553087455,0.024494062104981937,2.337853365662346,0.01939485614199723,-0.010819856531763115,0.07571076320078188,0.9612806566166175,400
245,cluster,gauss_log,huber,gamma,0.034173046330206625,0.016906470265814377,2.0212998806324474,0.0432487315200012,-0.00010865675987353664,0.052557869835225104,0.9531721143043859,400
245,cluster,gauss_log,huber,sigma_star,-0.04347515384053113,0.018703021163391512,-2.3244989919397367,0.020098765531215042,-0.05454280575744435,0.0004734893021308564,0.9590888848579778,400
245,cluster,gauss_log,huber,Mstar_1e+21,-5.872429294443993,3.6869043779298787,-1.5927804717683625,0.11120944747232779,-11.514766005610229,2.4639179975131147,0.9313981906430662,400
245,cluster,gauss_log,huber,Mstar_5.76e+23,-4.771288285894734,9.08660831672377,-0.5250901237938524,0.5995205413747047,-28.685167993160533,7.3126210704282855,0.9748055950186572,400
245,cluster,gauss_log,huber,w_chin70b,1.5373660668489062,0.9868627188135326,1.5578317404645934,0.11927313970636712,-0.08765289177449603,3.0927573884166994,0.9393653147062462,400
245,cluster,nls_lev,huber,alpha,0.01912308522454914,0.02467696138810072,0.7749367891692829,0.43837701195437107,-0.017743168750238257,0.07532164798599876,0.8086605187329219,400
245,cluster,nls_lev,huber,beta,0.20834750841921484,0.0806050939023547,2.5847933217670804,0.00974373854733931,0.003723508084576296,0.2442520385786321,0.9414790874457009,400
245,cluster,nls_lev,huber,a,0.07759271069460638,0.02879154861211643,2.6949821886952208,0.0070392393754541436,-0.0020620407808923935,0.10062368725949479,0.943415009389724,400
245,cluster,nls_lev,huber,gamma,0.039385688918940204,0.018022070468936804,2.1854142112487107,0.028858489815345056,0.002955239242533405,0.06124523932477423,0.9453483639621603,400
245,cluster,nls_lev,huber,sigma_star,-0.05358118699764247,0.02107859309240494,-2.541971694351313,0.011022909987627496,-0.06505138863179083,-0.002532092227113784,0.9466776177026808,400
245,cluster,nls_lev,huber,Mstar_1e+21,-8.171877024122704,4.173974417226758,-1.9578167490427991,0.050251519352876056,-14.959337721794869,1.0716828376810072,0.9035475292730678,400
245,cluster,nls_lev,huber,Mstar_5.76e+23,-5.613942152197221,13.439455915011374,-0.4177209395751398,0.6761511607432577,-50.35383949323424,1.8269780733822114,0.9538499093910917,400
245,cluster,nls_lev,huber,w_chin70b,2.7249007900769655,1.3999055901544768,1.9464889698570873,0.0515960316280806,-0.01910673053787801,4.155387836474461,0.8873339650515952,400
