dataset,null,bootstrap,cov,d_a,d_lnNstar_ref,d_gamma,d_Lstar_ref,W_slope,p_slope_chi2,p_slope_boot,W_path,p_path_chi2,p_path_boot,W_frontier,p_frontier_chi2,p_frontier_boot,W_all,p_all_chi2,p_all_boot,B,se_a_ols,sd_a3_strat,rse_a3_strat,t_a_ols_plus_a3,p_a_ols_plus_a3
Chinchilla n=245,"A3 (this fit), analytic",stratified pairs,sd,-0.0792796004986197,0.050688903016094855,-0.042853959824463994,-0.004055802878070391,1.6357568163639291,0.20090864536140987,0.046822742474916385,9.358493356798485,0.009286006602210583,0.023411371237458192,12.715448273539103,0.0017333069960418375,0.010033444816053512,19.349580722577016,0.0006708899518328463,0.016722408026755852,298,0.0271499756477868,0.03228523879783236,0.03464294748225822,-1.801225385839933,0.07166736269391154
Chinchilla n=245,"A3 (this fit), design-consistent",stratified pairs,robust,-0.07548561102236906,0.02342249611431768,-0.04049677422641504,-0.004031363774854579,5.35063493705111,0.020714725966177603,0.05351170568561873,11.590980077281047,0.0030412397364859454,0.05351170568561873,16.80015746800463,0.00022484962017138858,0.010033444816053512,24.80442362079889,5.5076245187670954e-05,0.033444816053511704,298,0.0271499756477868,0.04514154992842301,0.02973099102340323,-1.8748458553417704,0.060813932669193216
Chinchilla n=245,"A3 (this fit), design-consistent",stratified pairs,sd,-0.07548561102236906,0.02342249611431768,-0.04049677422641504,-0.004031363774854579,1.2415845403695687,0.2651658926557855,0.05351170568561873,1.3322363800960708,0.5136987935568702,0.0802675585284281,13.085992804503144,0.001440166708574592,0.010033444816053512,13.568379890929155,0.008807997187793314,0.013377926421404682,298,0.0271499756477868,0.04514154992842301,0.02973099102340323,-1.8748458553417704,0.060813932669193216
Chinchilla n=245,"Hoffmann (fixed), analytic",stratified pairs,robust,0.028867417102568738,0.17696373392053744,-0.0004603020858049145,-0.010778173387937517,4.308885220997998,0.03791379895413078,0.10033444816053512,61.66422572889029,4.071772618633915e-14,0.030100334448160536,12.681055420576643,0.0017633714420088528,0.020066889632107024,72.32739309439906,7.318550090033392e-15,0.033444816053511704,298,,,,,
Chinchilla n=245,"Hoffmann (fixed), analytic",stratified pairs,sd,0.028867417102568738,0.17696373392053744,-0.0004603020858049145,-0.010778173387937517,0.2904352110695161,0.5899417717183242,0.10033444816053512,20.12042598660939,4.274693789625528e-05,0.013377926421404682,14.055029322521056,0.0008871338711689148,0.013377926421404682,34.043279359630034,7.301130589267554e-07,0.016722408026755852,298,,,,,
Chinchilla n=245,"Hoffmann (fixed), design",stratified pairs,robust,0.027399130133609284,0.1371084051201521,0.0006961584209402849,-0.012177197532472928,2.0220748887925946,0.15502718097444915,0.2040133779264214,20.25533185903631,3.995862838318476e-05,0.07023411371237458,15.767950242106044,0.0003767325189812687,0.030100334448160536,35.76645111444801,3.2321387992565135e-07,0.06354515050167224,298,,,,,
Chinchilla n=245,"Hoffmann (fixed), design",stratified pairs,sd,0.027399130133609284,0.1371084051201521,0.0006961584209402849,-0.012177197532472928,0.017221786600816264,0.8955919368944011,0.2040133779264214,3.0411543793463363,0.21858568513436347,0.06688963210702341,16.237291679954314,0.0002979318347788758,0.020066889632107024,21.125732721538913,0.0002989998240075886,0.026755852842809364,298,,,,,
Chinchilla n=245,"Besiroglu (fixed), analytic",stratified pairs,robust,-0.027247334327831885,0.08822520614137375,-0.02390288989655734,-0.010642550899050196,3.838814372835454,0.05007892175340556,0.11705685618729098,20.336641168048125,3.8366702995331766e-05,0.04013377926421405,18.159296179389376,0.0001139617046993506,0.010033444816053512,33.14380840356654,1.1161749652025564e-06,0.03678929765886288,298,,,,,
Chinchilla n=245,"Besiroglu (fixed), analytic",stratified pairs,sd,-0.027247334327831885,0.08822520614137375,-0.02390288989655734,-0.010642550899050196,0.2587506525348857,0.6109797752018116,0.11705685618729098,10.356459260792432,0.005637978890769891,0.020066889632107024,18.497787359055007,9.62180411890995e-05,0.010033444816053512,27.181188393390045,1.8270604361192354e-05,0.016722408026755852,298,,,,,
Chinchilla n=245,"Besiroglu (fixed), design",stratified pairs,robust,-0.02783516860724955,0.05477477668201303,-0.022518869440068978,-0.011271447745982321,3.557554041562706,0.05927502199038375,0.13712374581939799,9.517087447813772,0.008578092376812665,0.10702341137123746,20.429691581888083,3.6622571831384994e-05,0.016722408026755852,25.556526075183307,3.887454741958032e-05,0.06020066889632107,298,,,,,
