sample,technology,n_era1,n_era2,gmCE_era1,gmCE_era2,medM_era1,medM_era2,years_between,allocative_gain,allocative_lo,allocative_hi,physical_compute_growth,ho_algorithmic_gain,residual_technical,allocative_share_of_algorithmic,share_lo,share_hi
All language models,Besiroglu,32,186,0.7008243211641573,0.5871741478488808,47.04502391817623,97.6033464004561,2.6295892252171598,0.8378335769990269,0.662227505743783,1.0587944084711953,7.100650389328672,12.409406334386635,14.811302238369288,-0.0702556966565353,-0.19849417235127553,0.017356176376014054
All language models,Hoffmann (TeX),32,186,0.6915826807108084,0.7171419441429465,47.04502391817623,97.6033464004561,2.6295892252171598,1.03695763954914,0.8906573603750073,1.2238802833659934,7.100650389328672,12.409406334386635,11.967129476747125,0.014410058082952957,-0.045321185347202086,0.09654438664721554
All language models,Hoffmann (rounded),32,186,0.6766944389619529,0.7404109732681924,47.04502391817623,97.6033464004561,2.6295892252171598,1.0941585014411828,0.9292273252514774,1.319741142070921,7.100650389328672,12.409406334386635,11.341507028498567,0.03573047148113278,-0.026156942331331524,0.12692313935869934
All language models,Farseer grid,32,186,0.610332133240962,0.6515998814148964,47.04502391817623,97.6033464004561,2.6295892252171598,1.0676152309969262,0.8745297757151657,1.3071425841725925,7.100650389328672,12.409406334386635,11.62348191941668,0.025979186146924647,-0.05667082115963253,0.12906632876577162
All language models,m1: llama_3,32,186,0.7134902539144252,0.552723807080076,47.04502391817623,97.6033464004561,2.6295892252171598,0.774676043642733,0.6732741618038334,0.9286171519208357,7.100650389328672,12.409406334386635,16.01883320934297,-0.10137579171037794,-0.23058786726930014,-0.02187202123637885
All language models,m1: marin_202603__comma__llama_2,32,186,0.4399438754486132,0.5924339841544966,47.04502391817623,97.6033464004561,2.6295892252171598,1.3466126413292794,0.9785962296680858,1.8949088295833043,7.100650389328672,12.409406334386635,9.215275390654998,0.11816463386823257,-0.010854276778264678,0.2955316745270495
All language models,m1: marin_202603__dclm__llama_2,32,186,0.4404151071618276,0.547557859909542,47.04502391817623,97.6033464004561,2.6295892252171598,1.24327674279426,0.935761135848069,1.767486648969938,7.100650389328672,12.409406334386635,9.981210061483608,0.08646191791787611,-0.026222511445639345,0.2672306193304588
All language models,m1: marin_202603__nemotron__llama_2,32,186,0.46586512956209447,0.5497203086535867,47.04502391817623,97.6033464004561,2.6295892252171598,1.179998831787034,0.8640446215282775,1.615984272290951,7.100650389328672,12.409406334386635,10.516456457497817,0.06572023888185315,-0.05531634358725068,0.21391135092695648
All language models,m1: misfitting__fineweb_c4__transformer,32,186,0.5200658370198357,0.32637631704949305,47.04502391817623,97.6033464004561,2.6295892252171598,0.6275673074773509,0.48857347356400394,0.8403981908290371,7.100650389328672,12.409406334386635,19.773825351529315,-0.18499611672351102,-0.36684655138407807,-0.051564105429808924
All language models,m2: farseer (all),32,186,0.7572469972573772,0.6405061386714755,47.04502391817623,97.6033464004561,2.6295892252171598,0.8458351647365818,0.7441898697579679,0.9507296188812847,7.100650389328672,12.409406334386635,14.671187545449582,-0.06648155119954728,-0.15776279478835983,-0.014238015862658028
