mx,mz,hx,hz,loocv_rmse,conv
0.08,0.08,0.08011961556364959,0.13241804112582736,0.003182774666253758,emb
0.08,0.1,0.08011961556364959,0.16552255140728422,0.0011975988897657964,emb
0.08,0.125,0.08011961556364959,0.20690318925910525,0.0008755176428011658,emb
0.08,0.15,0.08011961556364959,0.24828382711092628,0.000856962621734952,emb
0.08,0.175,0.08011961556364959,0.28966446496274734,0.000852631850127219,emb
0.08,0.2,0.08011961556364959,0.33104510281456845,0.0008459085792765126,emb
0.08,0.25,0.08011961556364959,0.4138063785182105,0.0008386469097338154,emb
0.08,0.3,0.08011961556364959,0.49656765422185256,0.0008318313238407553,emb
0.08,0.45,0.08011961556364959,0.7448514813327789,0.0008104556419818179,emb
0.08,0.6,0.08011961556364959,0.9931353084437051,0.0008239335721258549,emb
0.08,0.8,0.08011961556364959,1.3241804112582738,0.0009045488236326474,emb
0.08,1.0,0.08011961556364959,1.655225514072842,0.001013486866116513,emb
0.1,0.08,0.10014951945456199,0.13241804112582736,0.002886068879636294,emb
0.1,0.1,0.10014951945456199,0.16552255140728422,0.0017634476226172078,emb
0.1,0.125,0.10014951945456199,0.20690318925910525,0.001038419981832919,emb
0.1,0.15,0.10014951945456199,0.24828382711092628,0.000907918549559034,emb
0.1,0.175,0.10014951945456199,0.28966446496274734,0.0008691176359518665,emb
0.1,0.2,0.10014951945456199,0.33104510281456845,0.0008492082032144068,emb
0.1,0.25,0.10014951945456199,0.4138063785182105,0.0008282149784915387,emb
0.1,0.3,0.10014951945456199,0.49656765422185256,0.000817532851963441,emb
0.1,0.45,0.10014951945456199,0.7448514813327789,0.0008009847542354627,emb
0.1,0.6,0.10014951945456199,0.9931353084437051,0.0008173387493267152,emb
0.1,0.8,0.10014951945456199,1.3241804112582738,0.000895429766741817,emb
0.1,1.0,0.10014951945456199,1.655225514072842,0.0009979567766910651,emb
0.125,0.08,0.12518689931820248,0.13241804112582736,0.002232577309092238,emb
0.125,0.1,0.12518689931820248,0.16552255140728422,0.001604403004344289,emb
0.125,0.125,0.12518689931820248,0.20690318925910525,0.0011831290431112702,emb
0.125,0.15,0.12518689931820248,0.24828382711092628,0.0010226935870767282,emb
0.125,0.175,0.12518689931820248,0.28966446496274734,0.0009556802508323367,emb
0.125,0.2,0.12518689931820248,0.33104510281456845,0.0009214525340521259,emb
0.125,0.25,0.12518689931820248,0.4138063785182105,0.0008861063480058227,emb
0.125,0.3,0.12518689931820248,0.49656765422185256,0.000867639510787649,emb
0.125,0.45,0.12518689931820248,0.7448514813327789,0.0008425154615436149,emb
0.125,0.6,0.12518689931820248,0.9931353084437051,0.0008526490417849544,emb
0.125,0.8,0.12518689931820248,1.3241804112582738,0.0009204544312318568,emb
0.125,1.0,0.12518689931820248,1.655225514072842,0.001012769459857067,emb
0.15,0.08,0.15022427918184297,0.13241804112582736,0.001849952127495839,emb
0.15,0.1,0.15022427918184297,0.16552255140728422,0.001520958683293998,emb
0.15,0.125,0.15022427918184297,0.20690318925910525,0.0012546627108555334,emb
0.15,0.15,0.15022427918184297,0.24828382711092628,0.0011132844699653659,emb
0.15,0.175,0.15022427918184297,0.28966446496274734,0.0010414682567905268,emb
0.15,0.2,0.15022427918184297,0.33104510281456845,0.0010015791500401212,emb
0.15,0.25,0.15022427918184297,0.4138063785182105,0.0009594082638413624,emb
0.15,0.3,0.15022427918184297,0.49656765422185256,0.0009366976338786395,emb
0.15,0.45,0.15022427918184297,0.7448514813327789,0.0009048972493858626,emb
0.15,0.6,0.15022427918184297,0.9931353084437051,0.0009090923590022989,emb
0.15,0.8,0.15022427918184297,1.3241804112582738,0.0009668163543823934,emb
0.15,1.0,0.15022427918184297,1.655225514072842,0.0010495491095695014,emb
0.175,0.08,0.17526165904548346,0.13241804112582736,0.0018310436008753602,emb
0.175,0.1,0.17526165904548346,0.16552255140728422,0.0015396317550566293,emb
0.175,0.125,0.17526165904548346,0.20690318925910525,0.0013149178891312015,emb
0.175,0.15,0.17526165904548346,0.24828382711092628,0.0011886068925809831,emb
0.175,0.175,0.17526165904548346,0.28966446496274734,0.0011184790769155858,emb
0.175,0.2,0.17526165904548346,0.33104510281456845,0.001076775343984171,emb
0.175,0.25,0.17526165904548346,0.4138063785182105,0.0010309781979837027,emb
0.175,0.3,0.17526165904548346,0.49656765422185256,0.001005850172863569,emb
0.175,0.45,0.17526165904548346,0.7448514813327789,0.000970181331220114,emb
0.175,0.6,0.17526165904548346,0.9931353084437051,0.0009705058270732372,emb
0.175,0.8,0.17526165904548346,1.3241804112582738,0.0010203920190783007,emb
0.175,1.0,0.17526165904548346,1.655225514072842,0.0010951904772853265,emb
0.2,0.08,0.20029903890912398,0.13241804112582736,0.0018547607494226544,emb
0.2,0.1,0.20029903890912398,0.16552255140728422,0.0015895585377843076,emb
0.2,0.125,0.20029903890912398,0.20690318925910525,0.001374192969002464,emb
0.2,0.15,0.20029903890912398,0.24828382711092628,0.0012541041140039103,emb
0.2,0.175,0.20029903890912398,0.28966446496274734,0.0011854808382676376,emb
0.2,0.2,0.20029903890912398,0.33104510281456845,0.0011429964362420987,emb
0.2,0.25,0.20029903890912398,0.4138063785182105,0.0010946484698857637,emb
0.2,0.3,0.20029903890912398,0.49656765422185256,0.001067676922714442,emb
0.2,0.45,0.20029903890912398,0.7448514813327789,0.0010293784509141893,emb
0.2,0.6,0.20029903890912398,0.9931353084437051,0.001027153725259096,emb
0.2,0.8,0.20029903890912398,1.3241804112582738,0.0010711454908639993,emb
0.2,1.0,0.20029903890912398,1.655225514072842,0.0011397087533351672,emb
0.25,0.08,0.25037379863640497,0.13241804112582736,0.0018786073382059227,emb
0.25,0.1,0.25037379863640497,0.16552255140728422,0.0016617296222603106,emb
0.25,0.125,0.25037379863640497,0.20690318925910525,0.0014653504601601945,emb
0.25,0.15,0.25037379863640497,0.24828382711092628,0.0013513928127784959,emb
0.25,0.175,0.25037379863640497,0.28966446496274734,0.0012841756644347375,emb
0.25,0.2,0.25037379863640497,0.33104510281456845,0.0012408792288187186,emb
0.25,0.25,0.25037379863640497,0.4138063785182105,0.0011894075663827237,emb
0.25,0.3,0.25037379863640497,0.49656765422185256,0.0011600311310446666,emb
0.25,0.45,0.25037379863640497,0.7448514813327789,0.0011186881414246754,emb
0.25,0.6,0.25037379863640497,0.9931353084437051,0.0011135137254739932,emb
0.25,0.8,0.25037379863640497,1.3241804112582738,0.0011496625130707901,emb
0.25,1.0,0.25037379863640497,1.655225514072842,0.0012097443431818068,emb
0.3,0.08,0.30044855836368595,0.13241804112582736,0.001850081780669556,emb
0.3,0.1,0.30044855836368595,0.16552255140728422,0.0016755789322588513,emb
0.3,0.125,0.30044855836368595,0.20690318925910525,0.00150603230757392,emb
0.3,0.15,0.30044855836368595,0.24828382711092628,0.0014020894013501049,emb
0.3,0.175,0.30044855836368595,0.28966446496274734,0.001338577924855508,emb
0.3,0.2,0.30044855836368595,0.33104510281456845,0.001296550024844885,emb
