path,corpus,C,Mstar_point,Mstar_lo,Mstar_hi
Chinchilla,Chinchilla,3.238157867260654e+23,20.341617120366696,7.4550520716429265,55.503487178246786
Chinchilla,Chinchilla,3.558821827323667e+23,20.335262992114124,7.368995761726272,56.11659096158495
Chinchilla,Chinchilla,3.9112400685237754e+23,20.32891084870601,7.28387547478214,56.73691398561391
Chinchilla,Chinchilla,4.2985571112815014e+23,20.322560689522327,7.199683584488356,57.3645311120528
Chinchilla,Chinchilla,4.7242288673736816e+23,20.316212513943274,7.116412388757822,57.99951834772059
Chinchilla,Chinchilla,5.192053475979802e+23,20.309866321349233,7.034054119843985,58.64195284301066
Chinchilla,Chinchilla,5.706205193318726e+23,20.30352211112077,6.952600953744887,59.29191289120779
Chinchilla,Chinchilla,6.271271638263124e+23,20.297179882638666,6.8720450189552365,59.94947792859843
Chinchilla,Chinchilla,6.892294726262693e+23,20.290839635283863,6.792378404612174,60.61472853533028
Chinchilla,Chinchilla,7.574815656817099e+23,20.28450136843752,6.713593168077016,61.287746436979724
Chinchilla,Chinchilla,8.324924355908131e+23,20.27816508148099,6.635681341991939,61.968614506789585
Chinchilla,Chinchilla,9.149313814550806e+23,20.271830773795802,6.5586349408476945,62.657416768541836
Chinchilla,Chinchilla,1.0055339808309722e+24,20.26549844476371,6.482445967095796,63.354238400033125
Chinchilla,Chinchilla,1.1051086530639786e+24,20.259168093766622,6.40710641683601,64.05916573712446
Chinchilla,Chinchilla,1.2145438725677078e+24,20.252839720186657,6.332608285107956,64.77228627833526
Chinchilla,Chinchilla,1.3348160964099922e+24,20.246513323406138,6.258943570813163,65.49368868995975
Chinchilla,Chinchilla,1.4669984769412952e+24,20.240188902807564,6.186104281292407,66.22346281167873
Chinchilla,Chinchilla,1.612270437205652e+24,20.23386645777364,6.114082436581102,66.9616996626484
Chinchilla,Chinchilla,1.7719281945725733e+24,20.227545987687247,6.042870073363949,67.70849144804377
Chinchilla,Chinchilla,1.9473963264890736e+24,20.221227491931476,5.972459248648667,68.46393156604005
Chinchilla,Chinchilla,2.140240481549499e+24,20.214910969889598,5.902842043177018,69.22811461521405
Chinchilla,Chinchilla,2.3521813493001533e+24,20.20859642094509,5.834010564590261,70.00113640235016
Chinchilla,Chinchilla,2.5851100134270264e+24,20.202283844481606,5.765956950364886,70.78309395063636
Chinchilla,Chinchilla,2.8411048253184294e+24,20.195973239883017,5.698673370533366,71.57408550823746
Chinchilla,Chinchilla,3.1224499485601947e+24,20.189664606533345,5.6321520302037245,72.37421055723183
Chinchilla,Chinchilla,3.431655739830329e+24,20.183357943816844,5.566385171890729,73.18356982290251
Chinchilla,Chinchilla,3.771481148045482e+24,20.177053251117943,5.501365077670676,74.00226528336937
Chinchilla,Chinchilla,4.1449583316203347e+24,20.170750527821266,5.437084071170867,74.83040017955534
Chinchilla,Chinchilla,4.555419713491735e+24,20.164449773311638,5.3735345194042665,75.66807902547649
Chinchilla,Chinchilla,5.006527715311645e+24,20.15815098697405,5.310708834459004,76.51540761884706
Chinchilla,Chinchilla,5.502307436117898e+24,20.15185416819371,5.248599475051812,77.37249305199411
Chinchilla,Chinchilla,6.047182567064595e+24,20.145559316356014,5.18719894795388,78.23944372307257
Chinchilla,Chinchilla,6.646014862668316e+24,20.139266430846543,5.126499809297066,79.1163693475756
Chinchilla,Chinchilla,7.304147520760034e+24,20.132975511051086,5.066494665767863,80.0033809701349
Chinchilla,Chinchilla,8.027452858208859e+24,20.126686556355587,5.007176175696075,80.90059097660406
Chinchilla,Chinchilla,8.822384707813212e+24,20.120399566146222,4.948537050044737,81.80811310642142
Chinchilla,Chinchilla,9.696036003881734e+24,20.114114539809336,4.890570053307251,82.72606246524848
Chinchilla,Chinchilla,1.0656202070321382e+25,20.107831476731477,4.833268004317582,83.65455553787787
Chinchilla,Chinchilla,1.1711450175933854e+25,20.10155037629939,4.776623776978758,84.59371020140932
Chinchilla,Chinchilla,1.2871195977540668e+25,20.09527123789998,4.720630300914704,85.54364573868939
Chinchilla,Chinchilla,1.414578753301565e+25,20.088994060920378,4.6652805620501425,86.5044828520126
Chinchilla,Chinchilla,1.5546597633847485e+25,20.082718844747887,4.610567603122914,87.47634367708017
Chinchilla,Chinchilla,1.7086125281087578e+25,20.076445588770017,4.556484524132898,88.45935179721616
Chinchilla,Chinchilla,1.8778107210122194e+25,20.070174292374464,4.503024482731397,89.45363225783653
Chinchilla,Chinchilla,2.0637640459370323e+25,20.063904954949095,4.450180694554629,90.45931158117133
Chinchilla,Chinchilla,2.2681317076550408e+25,20.05763757588199,4.3979464335047815,91.4765177812382
Chinchilla,Chinchilla,2.4927372164458835e+25,20.051372154561424,4.34631503198181,92.50538037906401
Chinchilla,Chinchilla,2.739584658722764e+25,20.045108690375844,4.295279881069032,93.54603041815693
Chinchilla,Chinchilla,3.010876578883865e+25,20.038847182713905,4.244834430675381,94.59860048022436
Chinchilla,Chinchilla,3.309033631943984e+25,20.03258763096445,4.194972189636939,95.66322470113955
Chinchilla,Chinchilla,3.6367161823004575e+25,20.026330034516494,4.145686725780332,96.74003878715367
Chinchilla,Chinchilla,3.996848041352849e+25,20.020074392759266,4.0969716659503455,97.82918003135468
Llama 3,Llama 3,4.7943562070580553e+20,14.970899267540096,11.451802362658487,19.571401756780077
Llama 3,Llama 3,5.2691252919292874e+20,14.982591697636243,11.37683320132512,19.731154531819307
Llama 3,Llama 3,5.790909173827414e+20,14.994293259643513,11.30037244848502,19.89570090553365
Llama 3,Llama 3,6.364363571100397e+20,15.006003960694027,11.222609806188686,20.06486537063684
Llama 3,Llama 3,6.994605242336852e+20,15.01772380792547,11.143718631718185,20.238489127785712
Llama 3,Llama 3,7.687257641641479e+20,15.029452808481112,11.063857057367748,20.416428967865023
Llama 3,Llama 3,8.448501095000014e+20,15.04119096950979,10.983169121871107,20.598556142666474
Llama 3,Llama 3,9.285127945441747e+20,15.052938298165932,10.901785882388179,20.78475525504936
Llama 3,Llama 3,1.0204603159043935e+21,15.064694801609551,10.81982648566703,20.974923189967495
Llama 3,Llama 3,1.121513093254583e+21,15.076460487006255,10.73739918449998,21.168968100243525
Llama 3,Llama 3,1.2325727896892612e+21,15.088235361527245,10.654602291263178,21.366808455301907
Llama 3,Llama 3,1.3546303569881748e+21,15.10001943234932,10.571525064517477,21.56837215688277
Llama 3,Llama 3,1.4887748775766254e+21,15.111812706654893,10.488248527663863,21.773595722743842
Llama 3,Llama 3,1.636203282075602e+21,15.12361519163198,10.404846220753168,21.982423537251012
Llama 3,Llama 3,1.79823102914845e+21,15.135426894474215,10.32138488796373,22.194807166344127
Llama 3,Llama 3,1.9763038429370906e+21,15.147247822380843,10.237925104156588,22.41070473346881
Llama 3,Llama 3,2.172010612817358e+21,15.159077982556738,10.154521844432645,22.630080352550145
Llama 3,Llama 3,2.38709757057404e+21,15.170917382212401,10.07122500085694,22.852903613843484
Llama 3,Llama 3,2.6234838714941403e+21,15.182766028563965,9.988079850562293,23.0791491184503
Llama 3,Llama 3,2.883278718403943e+21,15.194623928833192,9.905127479359768,23.30879605737222
Llama 3,Llama 3,3.1688001814421113e+21,15.206491090247491,9.822405164812023,23.541827831147266
Llama 3,Llama 3,3.482595881492157e+21,15.218367520039916,9.739946722500719,23.77823170633763
Llama 3,Llama 3,3.82746572182614e+21,15.230253225449166,9.65778281896501,24.017998505392267
Llama 3,Llama 3,4.206486870787132e+21,15.242148213719597,9.575941254521643,24.26112232667419
Llama 3,Llama 3,4.6230412184232956e+21,15.25405249210122,9.494447218910098,24.507600291709274
Llama 3,Llama 3,5.080845552060751e+21,15.265966067849709,9.41332352244626,24.75743231697359
Llama 3,Llama 3,5.583984720062655e+21,15.277888948226408,9.332590805120596,25.01062090778365
Llama 3,Llama 3,6.136948079684588e+21,15.289821140498328,9.252267725844625,25.267170972086014
Llama 3,Llama 3,6.744669554239401e+21,15.301762651938159,9.172371133833849,25.527089652158732
Llama 3,Llama 3,7.412571656989091e+21,15.313713489824266,9.092916223917516,25.790386172434285
Llama 3,Llama 3,8.146613874576143e+21,15.325673661440705,9.013916677384346,26.05707170183579
Llama 3,Llama 3,8.953345841704042e+21,15.337643174077215,8.935384789809508,26.32715922918106
Llama 3,Llama 3,9.839965781529052e+21,15.349622035029235,8.857331587159196,26.6006634503589
Llama 3,Llama 3,1.0814384733208795e+22,15.361610251597893,8.779766931335338,26.877600666115498
Llama 3,Llama 3,1.1885297139690485e+22,15.37360783109003,8.7026996162025,27.157988689409134
Llama 3,Llama 3,1.3062258425572094e+22,15.385614780818182,8.626137455030989,27.441846761399717
Llama 3,Llama 3,1.435577025724007e+22,15.397631108100606,8.550087360193217,27.72919547523661
Llama 3,Llama 3,1.5777374246033762e+22,15.40965682026127,8.474555415863861,28.020056706894426
Llama 3,Llama 3,1.7339754930521411e+22,15.421691924629862,8.399546944396697,28.31445355238456
Llama 3,Llama 3,1.9056852956766462e+22,15.433736428541796,8.325066566981873,28.61241027073901
Llama 3,Llama 3,2.0943989466458862e+22,15.445790339338213,8.251118259125363,28.91395223222542
Llama 3,Llama 3,2.301800280278646e+22,15.457853664365992,8.177705401437287,29.219105871306745
Llama 3,Llama 3,2.5297398753832875e+22,15.469926410977743,8.104830826166172,29.52789864390934
Llama 3,Llama 3,2.780251567407727e+22,15.482008586531824,8.03249685987236,29.84035898860644
Llama 3,Llama 3,3.0555705957324807e+22,15.49410019839234,7.960705362594213,30.156516291364053
Llama 3,Llama 3,3.3581535480295394e+22,15.506201253929145,7.8894577638256385,30.476400853531167
Llama 3,Llama 3,3.690700279644502e+22,15.518311760517848,7.818755095591955,30.800043862787632
Llama 3,Llama 3,4.0561780035819214e+22,15.53043172553982,7.748598022882872,31.127477366791737
Llama 3,Llama 3,4.457847766041458e+22,15.5425611563822,7.678986871676281,31.4587342492939
Llama 3,Llama 3,4.899293543737954e+22,15.554700060437892,7.609921654763792,31.793848208506496
Llama 3,Llama 3,5.384454222632004e+22,15.566848445105574,7.541402095568908,32.132853737539
Llama 3,Llama 3,5.917658743407212e+22,15.579006317789707,7.473427650130373,32.475786106726765
Llama 3,Llama 3,6.503664727287097e+22,15.591173685900529,7.405997527407033,32.82268134769756
Llama 3,Llama 3,7.14770092683726e+22,15.603350556854068,7.339110708045977,33.17357623903456
Llama 3,Llama 3,7.855513880528936e+22,15.615536938072147,7.272765961742426,33.5285082934079
Llama 3,Llama 3,8.633419187348125e+22,15.62773283698238,7.206961863308102,33.88751574605863
Llama 3,Llama 3,9.488357858958048e+22,15.639938261018187,7.1416968075541,34.25063754452973
Llama 3,Llama 3,1.0427958252228062e+23,15.65215321761879,7.076969023084779,34.61791333954796
Llama 3,Llama 3,1.1460604134734092e+23,15.664377714229225,7.01277658509037,34.98938347696973
Llama 3,Llama 3,1.2595509490558286e+23,15.676611758300337,6.949117427218362,35.365088990711335
Llama 3,Llama 3,1.3842800733857293e+23,15.688855357288801,6.885989352596564,35.745071596591295
Llama 3,Llama 3,1.5213607063765157e+23,15.701108518657097,6.823390044074381,36.12937368701872
Llama 3,Llama 3,1.6720159766841528e+23,15.713371249873543,6.761317073743075,36.51803832646805
Llama 3,Llama 3,1.8375901353108697e+23,15.72564355841231,6.69976791179063,36.911109247684436
Llama 3,Llama 3,2.0195605499466425e+23,15.73792545175336,6.638739934741913,37.30863084857007
Llama 3,Llama 3,2.2195508870702516e+23,15.75021693738255,6.578230433130813,37.71064818970581
Llama 3,Llama 3,2.4393455994297862e+23,15.762518022791546,6.518236618646844,38.11720699246522
