set,series,tau,share
S1,all models,5.825212357624258,0.42857142857142855
S1,all models,5.847094125004713,0.42857142857142855
S1,all models,5.86905808882957,0.42857142857142855
S1,all models,5.891104557860704,0.42857142857142855
S1,all models,5.9132338420198165,0.42857142857142855
S1,all models,5.935446252392797,0.42857142857142855
S1,all models,5.9577421012340945,0.42857142857142855
S1,all models,5.9801217019711075,0.42857142857142855
S1,all models,6.002585369208589,0.42857142857142855
S1,all models,6.025133418733072,0.42857142857142855
S1,all models,6.047766167517304,0.42857142857142855
S1,all models,6.070483933724709,0.42857142857142855
S1,all models,6.093287036713856,0.42857142857142855
S1,all models,6.116175797042946,0.42857142857142855
S1,all models,6.139150536474323,0.42857142857142855
S1,all models,6.162211577978998,0.42857142857142855
S1,all models,6.185359245741187,0.42857142857142855
S1,all models,6.208593865162864,0.42857142857142855
S1,all models,6.2319157628683435,0.42857142857142855
S1,all models,6.255325266708867,0.42857142857142855
S1,all models,6.2788227057672135,0.42857142857142855
S1,all models,6.3024084103623235,0.42857142857142855
